	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Rebeca Linares818	But like the merchant, he was willing to sell “everything” in order to obtain the treasure.	Salon Hair Coloring - Four Basic Rules For Perfect Results 	536	88	False	0.56477606
1	High-pouvwa egzeyat gaz tib 30 * 12.5L	Peter’s Denial of Jesus	DF168-30D emergency lighting module is designed to convert a wide range of max 200w LED lights, making lights can continuously has 100% power output when main power failure happens. 	739	523	False	0.580523
2	kay» pwodwi yo » Ekipman Medikal » Perinatal Swen » chof tibebe	3:Living the Legacy-2 (Rete eritaj-2) 	60W 9600lm High Power Intelligent All In One ... 	810	581	False	0.46841598
3	Nenpòt moun k al chèche dlo verite a nan men yo pap rive jwenn verite sa a.	He is forced to wait, and he is not looking forward to the outcome.	“If you go preaching, don’t come back.	77	918	False	0.50325537
4	4) Netwaye glas vial / veso ou oswa asire w ke li se relativman esteril.	5. The jamming disatnce is just as it is decribed, so I trust them as I have bought serval products here and all of them works well! 	3 As Christians, we are happy and peaceable because we have God’s holy spirit, and its fruitage includes joy and peace.	70	901	False	0.700011
5	Nouvèl, Atik, videyo	"Pi bon konpitè ap swiv lojisyèl ak Poukisa ou ta desann yo The best relationships are always based on one key thing: trust. It doesn’t matter whether it is a romantic one between lovers and family members or a business one that exists between employees and their boss, without trust there is no chance that the relationship will be a long one. Sadly, the realities of the world we live in and the selfish times of ""I"" rather than ""us"" makes it a must to not trust one another. This why looking for the pi bon konpitè ap swiv software has become the favorite pastime of a considerable number of people going online. "	(Acts 14:5-7, 19-22) He trusted that some individuals would respond appreciatively.	449	212	False	0.6598817
6	Shipping komèsan (Navigation Bridge Vizibilite) Règleman 1998. Enstitisyon legal No 1419	32HQ Hit 	CORA Physical Therapy also offers a full range of physical therapy services, including Kinesio Taping, to a wide variety of clients – athletes as well as non-athletes – through a continually growing network of physical therapy clinics throughout Florida, North Carolina, South Carolina, and Georgia. Book an appointment with one of our physical therapists and see how we can help you get back to life quickly and safely, no matter the injury. 	749	327	False	0.39999318
7	Yo trè elastik epi fò	You stop noticing the good things he does and tend to focus more on what he isn’t doing.”	"Already in the third broadcast between Argentina and Iceland to the ""First Channel Ultra HD» it seemed to me, that something was in the clear picture is missing. For the first time this idea was still while watching the match Russia - Saudi Arabia, but it finally became clear to all in the match against the Argentines, losers. at the same time, it became clear the difference between the picture on the ""First Channel UHD» and ""Channel HD». "	181	376	False	0.46781301
8	Fè:) Èske yo pral pibliye nan vBET 3.3.0 - tou usernames pa pral tradui nan ki moun ki sou entènèt:)	Depression: Does a therapist or an app help? 	Extraction of lentinan 	767	75	False	0.47493577
9	amoxicillin endikasyonlar alexebeauty.com amoxicillin 500 mg	Official page: Camtasia Studio 	Nagoya 	741	299	False	0.4544791
10	Angle >> Lang ou Si okenn nan lang ki anwo yo se pou ou, tanpri voye yon imèl bay sales@extendoffice.com pou enfòme nou ki lang ou pral tradwi lojisyèl nou an, epi konnen si ou ka jwenn lisans gratis pou li.	"Q35. What does the crossed out fare next to the ""Ticket Price"" mean? "	Could you assist?	410	465	False	0.35252428
11	5 ane garanti 3000-6500K dirije Segondè Bay Limyè Fitting ranplase 250W-1000W metal lanp Halogen Ekivalan	Look at the people, at their faces and their eyes.	Radio Russia 	861	816	False	0.46882808
12	Pwoteksyon chato la	PMIC - Power Distribution Switches, Load Drivers - Electronic Components Distributor _ Infinite-Electronic.hk 	The combination of traditional Chinese medicine and modern western medicine is the integration of the whole and the concrete. The combination of macroscopic and microscopic is a combination of unity and dialectics. It is the most beneficial for the human body to recover. 	949	292	False	0.42401242
13	HGH UK pri - HGH founisè soti nan Thailand	Offshore Bank Account Setup Process 	Dad Gold 	350	15	False	0.435933
14	Piske Yewou pa t vle pou okenn adoratè Baal rate rasanbleman sa a, li te fè yo tout vini nan tanp Baal la e li te fè yo abiye yon fason ki t ap pèmèt yo rekonèt yo.	1. Providing a wide range of Lab Consumables. 	HS102-4K Plus One channel UHD capture card Captures one of the following SDI + embedded audio HDMI + embedded audio 	929	596	False	0.5279056
15	4/7301 - Odiseo Bichir	What are some features of our times that make them calamitous?	Reference Art.NR10200 	392	202	False	0.23358595
16	Ki sa ki règleman yo nan Layout a PCB nan eta a? - Lachin Fastpcba Teknoloji	If you want to wholesale 16ch h.264 hdmi&bnc video hdmi encoder iptv from a such factory, Mine Technology is one of the leading H.264 HDMI & CVBS Encoder manufacturers and suppliers. 	Played: 88425 times 	479	183	False	0.6264801
17	Ki pa Peye-baton babekyou gri Mat	Hot Tags: Color TFT LCD Display BDT-T3554-03, China, manufacturers, suppliers 	If you want to wholesale 16ch h.264 hdmi&bnc video hdmi encoder iptv from a such factory, Mine Technology is one of the leading H.264 HDMI & CVBS Encoder manufacturers and suppliers. 	932	479	False	0.43966508
18	1279 6-pyès Vignette elit pou Mariage favè Vintage stil 3.3 cm x 5.5 cm	Eclipse Aerospace Like 	Rodolphe Belmer 	55	791	False	0.71432364
19	12. a) Pandan gwo tribilasyon an, ki bagay tris ki pral rive nenpòt moun Bondye te chwazi pou al nan syèl yon lè men ki pa kenbe entegrite l anvan dènye so a? b) Ki jan bagay yo ap fini pou moun ki montre yo menm jan ak fi vyèj ki sòt yo?	Kick the referee game online free 	Egyptair All 	589	968	False	0.22756112
20	Jwèt Sponjbob anba dlo restoran sou entènèt	11747 V 30000 3/4, DVB-S2 - CH7630 (with a dark screen squeaker) has started, Open (BAKILI) 	CORA Physical Therapy also offers a full range of physical therapy services, including Kinesio Taping, to a wide variety of clients – athletes as well as non-athletes – through a continually growing network of physical therapy clinics throughout Florida, North Carolina, South Carolina, and Georgia. Book an appointment with one of our physical therapists and see how we can help you get back to life quickly and safely, no matter the injury. 	538	327	False	0.56642294
21	GoWISE USA a se fèt nan USA a ak manifaktire nan Lachin sèvi ak analiz Bioelectrical enpedans (BIA) voye yon ti kouran elektrik nan kò ou mezire rezistans nan diferan frekans bay yon estime anpil grès nan kò, dlo ak zo dansite. Sa a teknoloji mezi gen pou sèvi toupatou ak soufri de kèk limit nannan nan estimasyon. The GoWISE bathroom scale attempts to minimise errors and improving accuracy all for the price of regular weight only scales.	Welcome to visit our factory! ( titanium and titanium alloy products) 	Site Protected 21.10.2016 2005 - 2014 Rikoooo.com All Rights Reserved _ CNIL 1528113 	283	330	False	0.5894904
22	37 pwen	More Features _ Free Download _ Only $39.00 for hundreds of functions 	the Stormsteeg and Geldersekade In the Hague 	633	673	False	0.5117767
23	Kòd: AUGUST15	Gofle 	Purchase Advertising Space on Ferryto.com 	149	629	False	0.50660944
24	"2015 Siksè devlope Rubber "" Teflon "" kouch aplikasyon, eksklizif ansanm ak US konpayi DuPont"	THE Saharan silver ant (Cataglyphis bombycina) is one of the most heat-tolerant land animals known.	What precious quality will we consider in the next article?	747	43	False	0.49878073
25	Ki jan kretyen yo nan premye syèk la bay egzanp antanke moun ki te konn chante lè y ap adore Bondye?	If you discover about Splash Plugin Review today, then you missed out the dime sale, Nevertheless I managed to get a distinctive option for you! Kevin costs $47 for Splash Plugin, however, if you obtain it by way of my affiliate link, you may get a $10 price reduction, which means the plugin will undoubtedly cost you $37! That’s a steal! 	Lucks kazino £ 205 Depo Bonus - Kenbe gaye ou! £, AUD, CAD, € NZD, swedish kouron, more100 	368	270	False	0.23580122
26	Pandan ke premye Miraj a te delivre nan 1960s yo byen bonè, anpil egzanp te toujou nan sèvis atravè mond lan nan byen bonè ven-premye syèk la, 40 ane pita. Yo toujou pou yo te lajman modènize. (Wikipedia)	MMORPG Games Online 	We are planning to give the necessary instructions for many popular browsers: Maxthon, Netscape, Flock, Rockmelt, Comodo, etc. But we do not have enough devices to test and capture the screenshots. Please help us, we need you. 	576	955	False	0.48474693
27	Li te di tou: “Nou vin tankou fatra monn nan, tankou rejè tout bagay, jis kounye a.” — 1 Kor. 4:11-13.	telephone 	Fullmetal alchmiz 	979	369	False	0.92921174
28	15 Gen yon okazyon ki te rive kote Moyiz genlè te manke dousè.	So as long as you maintain a complete heart toward Jehovah, he will never give up on you.​—1 Chron. 28:9.	10 We have ample reason to believe that Jehovah continues to help people.	551	502	False	0.27519095
29	หน้า หลัก » kas Sekirite » 3M H-700 Segondè nan kask	A selection of striking, beautiful watches for ladies. From sweet Richard Mille to timeless stylish Rolex ladies watch. 	CORA Physical Therapy also offers a full range of physical therapy services, including Kinesio Taping, to a wide variety of clients – athletes as well as non-athletes – through a continually growing network of physical therapy clinics throughout Florida, North Carolina, South Carolina, and Georgia. Book an appointment with one of our physical therapists and see how we can help you get back to life quickly and safely, no matter the injury. 	33	327	False	0.45026493
30	Apre script debaz la te fèt, Lè sa a, li chanje amelyorasyon nan script la nan ke li Parameterize (Anpeche Done Caching) epi kreye pwen verifikasyon (chèk Repons sèvè). Sa a pral ajoute entèlijans ak fleksibilite nan yon script. Sa a Kou Vugen se fèt yo bay men-sou konesans k ap travay pou tcheke konpòtman an nan aplikasyon anba chaj lou lè l sèvi avèk zouti automatisation.	2.Professional manufacturer with 12 years experience 	"Specifications 1. Consists of a feeding system, conditioner, an extruder for a high pressure and temperature and temperature process and finally a cutter system; 2. Screw adopts modular design with single and / or double flight screws; The ""split-barrel"" design enables quick and easy...Read More "	842	695	False	0.33034432
31	Yon seleksyon nan varyete yo pi byen nan amaranthe _ Magazin Jòn Pen	the Battle of France 	Best Skateboard Shoes, High Top Skateboard Shoes, Skateboard Shoes, Sports Shoes, Leather Skateboard Shoes, Women/'s Skateboarding Shoes, 	656	496	False	0.52231085
32	Kòd HS:8207709000	I was a staunch Catholic.	Identifying the use of output encoding – and coming back out! 	120	641	False	0.33911836
33	Vyolèt Monroe	No one may post our copyrighted publications on other Internet sites	He is determined to stay in the race.	133	18	False	0.54480636
34	Thomas rann li kont li ka bezwen pale ak pitit fi l la plizyè fwa e l ka bezwen fè anpil tan ap fè sa.	Play Maze and Address - The Line Game 	Alexandre 	444	159	False	0.6112211
35	Creole 0.9.7.0 – Korèksyon ak karakteristik tout otou, ak SuperProxy alfa	7.5W fast charging wireless charging pad for ip... 	10 We have ample reason to believe that Jehovah continues to help people.	606	502	False	0.24764538
36	11862 V 28000 3/4, DVB-S2 / 8PSK - Televizyon 1000 Aksyon soti nan sak la, paramèt nouvo emisyon, pa gen okenn chanèl	Variable pitch wind turbine is a patented product and pioneer in wind turbine industry. 	The manual included in this pack is in Czech, however, Rikoooo has found a translated one by Lukasz Kacprzykowski. Download it below 	800	880	False	0.47690988
37	exactspy-app pou Someones Lekti mesaj tèks se sou sit wèb la ki pi repote pou bay sèvis mobil espyonaj epi li gen ladan plizyè kalite zouti pou swiv dosye mobil nan nenpòt ki moun, ki gen ladan rele mòso bwa, mòso bwa kle, mesaj tèks ak GPS kote. Li ka ba ou tout mesaj yo tèks ansanm ak detay ak ou ka swiv yo san yo pa nenpòt ki konplikasyon.	Mt Adams and Mt St. Helens FSX & P3D Hawaii Photoreal Vol 1 + Vol 2 + Vol 3 FSX & P3D Photoreal Mt Everest plus Mesh FSX & P3D Grand Paradis Italy - Photoreal FSX & P3D Grand Canyon KGCN V2 FSX & P3D Newsletter 	CORA Physical Therapy also offers a full range of physical therapy services, including Kinesio Taping, to a wide variety of clients – athletes as well as non-athletes – through a continually growing network of physical therapy clinics throughout Florida, North Carolina, South Carolina, and Georgia. Book an appointment with one of our physical therapists and see how we can help you get back to life quickly and safely, no matter the injury. 	414	327	False	0.43558574
38	Lè Reyabam te vin wa ann Izrayèl, li t ap montre l saj si l te suiv konsèy ansyen yo.	Brave: Spot the Difference 	(2 Chron. 18:4-6) But what happened when Jehoshaphat associated with Ahab, who had no love for Jehovah?	543	969	False	0.67056763
39	Twalèt founisè tiyo manifakti wholesale pou Ahmedabad	5) Situational Psychogenic Anejaculation: A Case Study (2014) 	(Verse 12) Can you imagine the grief of that widowed mother?	464	203	False	0.51826763
40	UFO 135W Ki ap dirije grandi Limyè	That is how one 13-year-old girl felt when she received a pet dog as a gift.	The manual included in this pack is in Czech, however, Rikoooo has found a translated one by Lukasz Kacprzykowski. Download it below 	926	880	False	0.48023117
41	Se poutèt sa Bib la di: “Moun ki konn non w ap met konfyans yo nan ou.”	China Dark Grey Quartz Stone Countertops For Kitchen Manufacturers and Factory - Wholesale Products - Thinking Industries Corporation Limited 	Vet Chewie needs to be at least G8, preferably G9 sway RNG in your favor 	669	564	False	0.45236194
42	Kontakte Nou Kilès Nou Ye	PAGE 26	In this extraordinary adventure games you have to perform common tasks, regular student. For example - to wake up, take a shower, go to school. That's just constantly you will interfere with the various obstacles that you must overcome. 	59	668	False	0.53468704
