	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Alás nueve ya acabá el party.	The party finished at nine.	Daniel thanked the policemen.	394	81	False	0.91465425
1	A las siete le pirmi ta salé na casa.	He always leaves home at seven.	I have to rehearse.	251	785	False	0.7377219
2	Amó aquel de tuyo plano?	Was that your plan?	It would be nice if it stopped raining.	363	853	False	0.75771594
3	Andá yo jugá afuera. Siguí tu cumigo?	I'm going outside to play. Are you coming with?	We need paper.	362	152	False	0.7923006
4	Antes más ta preferí yo el cha negro que el café, pero recientemente ta bebé ya yo un buen cantidad de ambos dos.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	I said you could leave.	614	855	False	0.886338
5	Aparte de vos, todo kita pobre.	Apart from you, we are all poor.	Tom picked a needle up off the floor.	845	79	False	0.93809736
6	Aqui yo ta trabajá.	I work here.	A burglar broke into the bank last night.	709	105	False	0.84624135
7	Ay acabá tu cortá cun el magá pono aquí?	Are you going to cut down all the trees here?	What is the price of this watch?	754	690	False	0.9173951
8	Ay discutí kitá cunese luego.	We will discuss that later.	Where did you boil them?	419	156	False	0.85862005
9	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	Don't forget to give us a ring when you arrive in Kyoto.	792	12	False	0.98133016
10	Ay man miss yo cun ustedes todo.	I will miss you all.	Is this your car?	564	424	False	0.9220649
11	Ay quedá tu famoso.	You will be famous.	I said you could leave.	676	855	False	0.9157065
12	Ay quedá yo na casa.	I'll stay home.	Daniel thanked the policemen.	124	81	False	0.9523145
13	Ay tené gayót yo mucho cuidáo.	I will be very careful.	It would be nice if it stopped raining.	949	853	False	0.63275516
14	Bien bueno manejá si Tom.	Tom is a pretty good driver.	A lion is strong.	27	18	False	0.8625293
15	Bien claro el luna.	The moon's so bright.	The fork is small.	14	930	False	0.97505045
16	Bien sensitivo yo na calor.	I am very sensitive to heat.	It would be nice if it stopped raining.	95	853	False	0.6744659
17	Borles el mujer.	The woman is naked.	Tom is holding a knife.	714	447	False	0.69877565
18	Busy yo este día.	I've been busy today.	I hear that you kissed my girlfriend.	276	967	False	1.0435636
19	Caliente el cha.	The tea is hot.	It would be nice if it stopped raining.	588	853	False	0.6863023
20	Casáo kamé de Tom.	Tom and I are married.	It would be nice if it stopped raining.	474	853	False	0.71674395
21	"""Casáo ya yo"", ya contestá si Mary."	"""I'm already married,"" replied Mary."	Few students use pencils these days.	57	507	False	0.7936952
22	Cascá dos ságuing.	Peel two of the bananas.	He's in the hospital.	482	627	False	0.94772947
23	Colorao de suyo maga uñas.	Her nails are red.	It would be nice if it stopped raining.	193	853	False	0.638782
24	Color verde el falda.	The skirt is green.	I'm a person.	736	451	False	0.81428945
25	Cosa ay pasá cumigo?	What'll happen to me?	How much?	946	301	False	0.9550787
26	Cosa cuntigo ya hablá?	What were you told?	It would be nice if it stopped raining.	309	853	False	0.45196652
27	¿Cósa de usted nombre?	What is your name?	You're a slob.	246	408	False	0.84895885
28	Cosa el color de tuyo pelo?	What color is your hair?	Do you know Tom's secret?	470	146	False	0.89668334
29	¿Cósa el de tuyo etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	I'm sorry, but I'll have to go home now.	290	959	False	0.832984
30	Cosa el noticia?	What's the news?	Do you know where Tom went?	164	428	False	0.8520509
31	Cosa el precio desté reloj?	What is the price of this watch?	Bend your knees.	690	975	False	1.0175602
32	¿Cósa hora vos usualmente ta salé na casa?	What time do you usually leave home?	Who owns this house?	300	59	False	0.91961265
33	Cosa tu hacé luego de noche?	What are you going to do tonight?	Cockfighting is illegal in many countries.	923	631	False	0.9602183
34	Cosa tu hacé si nuay yo?	What would you do without me?	Few students use pencils these days.	114	507	False	0.74399686
35	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	What is the price of this watch?	425	690	False	1.046562
36	Cosa tu ta esperá?	What are you waiting for?	I'm afraid of earthquakes.	41	865	False	0.80388176
37	Cosa ya man ya pasá cun tuyo perro?	What's become of your dog?	How much?	583	301	False	0.8307284
38	Cristiano si Barack Obama.	Barack Obama is a Christian.	My legs hurt.	732	887	False	0.7878908
39	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	I wanted to be a bus driver when I was five.	Father wants me to study abroad while I am young.	166	182	False	0.9429835
40	Cuando tu andá na Armenia?	When will you go to Armenia?	We are to meet at noon.	840	212	False	0.69911814
41	¿Cuándo?	When?	It would be nice if it stopped raining.	854	853	False	0.69684315
42	Cuanto cebollón?	How many onions?	It would be nice if it stopped raining.	671	853	False	0.82451284
43	Cuanto el un kilo de uvas?	How much is a kilo of grapes?	It would be nice if it stopped raining.	545	853	False	0.8094286
44	¿Cuánto este sombrero?	How much is this hat?	It would be nice if it stopped raining.	765	853	False	0.75868535
45	¿Cuánto?	How much?	Daniel thanked the policemen.	301	81	False	0.86611795
46	¿Cuántos años ya evos?	How old are you?	I like to comb my hair with this comb.	704	820	False	0.8831034
47	"""¿Cuántos años ya tú?"" ""Yo diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	They did what they were told.	538	563	False	0.8165479
48	"""¿Cuántos años ya usted?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	Daniel thanked the policemen.	898	81	False	0.61072636
49	"""¿Cuántos años ya vos?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	What is the price of this watch?	411	690	False	0.815969
50	Cují cunaquel pato y después llevá aquí.	Catch that duck and bring it here.	I saw a dog.	376	509	False	1.0262439
51	Dale cumigo el vino.	Give me the wine.	I said you could leave.	315	855	False	0.85066366
52	Dale yo cuntigo prestá este libro.	I'll lend you this book.	They did what they were told.	836	563	False	0.9013747
53	Day off de suyo mañana.	Tomorrow is his day off.	I'm afraid of earthquakes.	127	865	False	1.0060868
54	De mio aquél pantalón.	Those are my pants.	I don't give a damn about it!	943	744	False	1.0275414
55	De mio quel boss aquel coche na ya mirá tu ara lang.	The car you saw a while ago is my boss'.	A burglar broke into the bank last night.	890	105	False	0.9135406
56	De quien esté lápiz?	Whose pencil is this?	He has a long neck.	208	332	False	0.95186114
57	De quien esté vino?	Whose wine is this?	Do you know what Tom did yesterday?	941	21	False	0.96375287
58	Descansá kitá na jardín embés allá adentro.	Let's take a rest in the garden instead of indoors.	The car you saw a while ago is my boss'.	495	890	False	0.98313165
59	Después comé mediodia ya virá yo na oficina.	After lunch, I returned to the office.	It would be nice if it stopped raining.	32	853	False	0.65566444
60	De tuyo esté lápiz?	Is this pencil yours?	I like to comb my hair with this comb.	502	820	False	0.85278285
61	De tuyo esté páyung?	Is this your umbrella?	Crazy!	174	648	False	0.8607104
62	De tuyo estos las cosas?	Are these your things?	You're a slob.	224	408	False	0.8073008
63	Diútay el tenedor.	The fork is small.	What's wrong?	930	864	False	0.98232126
64	Dol puerco si Tom si ta comé.	Tom eats like a pig.	I cried all night.	706	9	False	0.82196915
65	Donde el baño?	Where is the bathroom?	We need paper.	481	152	False	0.8111737
66	Donde el CR?	Where's the restroom?	Who owns this house?	397	59	False	0.92686415
67	Donde el cuchillo?	Where's the knife?	The bird was looking for worms.	752	145	False	0.9414232
68	Donde el ponô?	Where is the tree?	It would be nice if it stopped raining.	641	853	False	0.8743267
69	Donde el presidente?	Where's the president?	We need paper.	817	152	False	0.7019286
70	Dos barco de pasajero ya sumí.	Two passenger ships were sunk.	Let him speak.	320	511	False	0.7069211
71	Dos veces yo ya andá na América.	I have been to the U.S. twice.	I said you could leave.	629	855	False	0.83515525
72	El Dios lang sabe!	God only knows!	It would be nice if it stopped raining.	725	853	False	0.74891806
73	Ele na hospital.	He's in the hospital.	Where's Tom's umbrella?	739	236	False	0.81693566
74	El maga usuarios de Tatoeba ta llamá Tatoebians.	The users of Tatoeba are called Tatoebians.	It would be nice if it stopped raining.	825	853	False	0.64185023
75	El medicamentos de Tom es no hay na baño.	Tom's medication's not in the bathroom.	I don't want to hurt her.	730	990	False	0.5849978
76	El que tiene buyug tiene tamén miel.	He who has bees also has honey.	It would be nice if it stopped raining.	861	853	False	0.750074
77	Enbuenamente ba tu ya durmí anoche, Steve?	Did you sleep well last night, Steve?	How much?	589	301	False	0.9167776
78	Escogí un gente.	Choose one person.	They drank coffee.	590	312	False	0.8370744
79	Esté el cosa yo ya comé este día.	Here is what I ate today.	The fork is small.	527	930	False	0.86644137
80	Este maga tiempo poco estudiante ya lang ta usá lápiz.	Few students use pencils these days.	We need paper.	507	152	False	0.81784844
81	Eu nunca estive na Espanha.	I've never been to Spain.	Tom stopped breathing.	48	357	False	1.0015709
82	¿Evos, cuántos años ya?	How old are you?	Have you decided whether or not you're going to sell your house?	488	602	False	0.7327944
83	Evos un haragán.	You're a slob.	Where did you boil them?	596	156	False	0.90945554
84	Favor, quitá de tuyo camisa.	Please take off your shirt.	The soup in the pot tasted very salty.	759	30	False	0.67974734
85	Grande de tuyo pututuy.	Your penis is big.	Few students use pencils these days.	469	507	False	0.79123294
86	Habla tu el verdad.	Tell the truth.	We need paper.	277	152	False	0.7656894
87	Haragán vos.	You're a slob.	We need paper.	664	152	False	1.0021915
88	Hay estudía vos.	You will study.	It would be nice if it stopped raining.	696	853	False	0.8060396
89	Hindê, cansao yo.	No, I'm tired.	Please take off your shirt.	731	759	False	0.67450273
90	Hindê esté makarisas.	This isn't funny.	Daniel thanked the policemen.	410	81	False	0.98817456
91	Hindé inglés el cosa yo ta escribí.	What I write is not English.	He counted to 100.	330	844	False	1.0142697
