	bert-base-multilingual-cased_acc	bert-base-multilingual-cased_cos	mt5-base_acc	mt5-base_cos	random_acc	random_cos	xlm-roberta-base_acc	xlm-roberta-base_cos
cbk-eng_sample1	15,2	0,88	6,0	0,507	0,0	1,0	3,3	0,006
cbk-eng_sample2	15,1	0,866	6,6	0,514	0,0	1,0	3,9	0,006
cbk-eng_sample3	17,3	0,883	6,9	0,51	0,1	1,0	4,4	0,006
deu-eng_sample1	56,3	0,743	31,6	0,453	0,1	1,0	45,9	0,006
deu-eng_sample2	56,9	0,737	27,5	0,444	0,1	1,0	42,6	0,006
deu-eng_sample3	53,8	0,742	29,0	0,452	0,3	1,0	44,1	0,006
fra-eng	49,4	0,699	32,3	0,484	0,1	1,0	33,7	0,006
gcf-eng	12,75	1,065	6,86	0,622	0,0	1,0	4,9	0,008
gcf-fra	2,4	0,761	2,1	0,473	0,1	1,0	1,8	0,006
hat-eng_sample1	22,9	0,692	35,4	0,428	0,0	1,0	18,7	0,007
hat-eng_sample2	25,0	0,668	39,4	0,433	0,0	1,0	17,6	0,006
hat-eng_sample3	23,7	0,672	38,8	0,42	0,0	1,0	19,1	0,007
hat-fra_sample1	31,5	0,737	43,3	0,395	0,0	1,0	13,6	0,007
hat-fra_sample2	29,5	0,767	42,9	0,404	0,0	1,0	12,2	0,007
hat-fra_sample3	32,0	0,752	44,1	0,411	0,1	1,0	12,9	0,007
jam-eng	19,86	0,805	10,27	0,616	0,68	1,0	9,59	0,009
nor-eng_sample1	60,5	0,77	29,8	0,456	0,0	1,0	48,6	0,005
nor-eng_sample2	59,1	0,757	30,2	0,458	0,1	1,0	45,1	0,005
nor-eng_sample3	62,7	0,765	32,0	0,456	0,0	1,0	49,3	0,005
pap-eng_sample1	20,8	0,763	14,2	0,518	0,0	1,0	6,6	0,007
pap-eng_sample2	22,1	0,756	17,0	0,52	0,0	1,0	5,7	0,007
pap-eng_sample3	24,4	0,763	16,6	0,512	0,2	1,0	5,9	0,007
sag-eng_sample1	6,0	0,77	7,2	0,607	0,1	1,0	2,0	0,009
sag-eng_sample2	5,7	0,763	7,4	0,604	0,4	1,0	2,5	0,009
sag-eng_sample3	5,4	0,774	7,3	0,599	0,2	1,0	1,9	0,009
tpi-eng_sample1	7,7	0,74	7,6	0,642	0,2	1,0	3,7	0,008
tpi-eng_sample2	7,3	0,75	7,9	0,634	0,1	1,0	2,9	0,008
tpi-eng_sample3	6,7	0,754	7,3	0,637	0,0	1,0	3,2	0,008
