	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	[Nota] Pa mas informashon tokante di e sakrifisio di reskate di Hesus, wak kapítulo 5 di e buki Kiko Beibel Ta Siña Realmente? publiká pa Testigunan di Yehova.	(Exodus 3:13-15) Jehovah is still the name by which God is known to his servants around the earth.​—Isaiah 12:4, 5; 43:10-12.	Some cookbooks suggest using less water than we recommended.	874	877	False	0.506492
1	Pensamentunan cu ta kita bo trankilidad por poderá di bo asina tantu cu nan lo convencé bo cu bo mester a pasa por alto di algu of cu bo no a haci suficiente pa protehá bo famia.	He cooperated fully as its members listened to the matter, reached a decision, and assigned him to be one of their messengers.	The Assyrians would snatch them from their splendid ivory couches and drag them off into captivity.	843	710	False	0.79113245
2	Tin biaha, ora mi mama tabata riba kaminda pa salòn, mi tata tabata kore su tras i rank’é bai kas kuné.	If you are, you can be confident of divine support and can echo these words of the psalmist: “My help is from Jehovah.”​—Psalm 121:2.	On reading these articles, I saw how my prayers along with those of many others were heard.	924	571	False	1.1109124
3	Mi a hasi sigur ku kada un di nan a hasi un orashon personal promé ku nan a bai drumi.	Increasingly, this serious public-health problem is not considered to be “strictly psychological.”	Little wonder that Jesus was eager to tell people about the Kingdom!	56	282	False	0.76946497
4	Ta bon pa pone meta pa opservá tur e esfuerso ku bo kasá ta hasi pa boso famia i gradisié pa eseinan; sea ku nan ta poko òf hopi.—Prinsipio di Beibel: Romanonan 12:10.	8 Why should we remain alert to the danger of losing our appreciation for Jehovah’s goodness?	Before long, we were all attending meetings at the Kingdom Hall in Roseto degli Abruzzi, a city on the Adriatic coast of Italy.	69	289	False	0.86550283
5	(Job 2:6, 7; Mateo 9:32, 33; 12:22; 17:14-18) Tambe nan por ciega mente di hende.	Be not content with one flower of truth. . . .	However, they were forbidden to drink any alcoholic beverages while engaging in their priestly duties.	276	90	False	0.53713584
6	Mas importante ku e kosto finansiero di mal uso di alkohòl ta e kosto den sufrimentu humano.	They resulted in bickering and arguing over words, creating a spiritually unhealthy atmosphere.	The Bible explains that Jehovah created humans so that they could populate the earth and care for it, being its stewards.	583	187	False	0.9051676
7	Na prinsipio di siglo 19, ora ku e misioneronan di Sosiedat Misionero di Lònden a yega Tahiti, e pueblo polinesio tabata adorá vários dios.	(Psalm 65:6) Yes, high and alone above Africa, Kilimanjaro stands as a lofty testimony to the power of the Grand Creator.	NOVEMBER 20, 2002, was a lovely day in the Ecuadoran city of Riobamba.	225	979	False	0.5327884
8	Sabiendo cu Satanas ta tratando di venená bo punto di bista i actitud tambe mester hací bo ta cauteloso tocante e música cu bo ta scoge.	What a heartwarming foregleam of what Jesus will do in the new world!	It will prove that you’ve got the strength to go against the flow of Satan’s world.	832	970	False	0.92970335
9	Ora e graduadonan kompletá e kurso di ocho siman, ta asigná nan pa sirbi kaminda tin un nesesidat, sea den nan propio pais òf den eksterior.	I explained who we were, and they eventually let us go.”	Why do some fathers leave home?	833	662	False	0.92263377
10	21 Awe, casi tur Testigo di Jehova ta dje “multitud grandi” cu Revelacion 7:9-17 ta profetisá di dje.	How quickly we can forget the kind deeds others do for us!	(Ecclesiastes 12:1, 13; Acts 5:29) A family member who feels that his influence in the family is somehow being diminished because of our loyalty to Jehovah may take offense.	339	311	False	0.7962514
11	E ta responsabel pa tur inhustisia, diskriminashon i opreshon.”	Yet, there are conflicting ideas about who Jesus was.	Distress caused by wars, food shortages, earthquakes, and disease epidemics would increase.	673	427	False	1.0542177
12	Su deseo tabata kasi meskos ku di e salmista David, kende a kanta: ‘Un kos mi a deseá di Yehova, esei lo mi buska: ku mi por keda den e kas di Yehova tur e dianan di mi bida, pa kontemplá e bunitesa di Yehova, i pa meditá den su tèmpel.’—Salmo 27:4.	There have been cases, though, when the gowns of brides and bridesmaids were immodest, being very low-cut or see-through.”	A bitter rivalry persisted between the two women, and that jealousy carried over to the children of the household.​—Genesis 29:16-35; 30:1, 8, 19, 20; 37:35.	741	569	False	0.7663734
13	Sin embargo, un comerciante a apreciá e trabou cu nos tabata haci asina tantu cu el a duna nos fruta i berdura tur siman.	Others have not done anything so bad, but they wonder whether some of their choices in life were really the best.	Though not related to one another, these three elderly widows live in the same city and have been good friends for several years.	389	36	False	0.86080956
14	DIOS ta skucha tur orashon?	Thousands are finding happiness in a life of “godly devotion along with self-sufficiency”	How do some make room for Bible reading and study, and with what benefits?	725	973	False	0.73257816
15	Migarda: Ku esei na mente, laga nos lesa di un otro okashon ora e pueblo di Dios tabata sufri.	CAN YOU ANSWER?	This is perhaps exaggerated but nevertheless true enough to cause concern.	498	770	False	1.0635238
16	Nan no ta personanan cu ta bini acerca n’e fila dje ungínan, sino ta reemplasá esnan cu lo por a cai for dje berdad.”	But caring parents need to make sure that it is not their children who are sacrificed.	Some cookbooks suggest using less water than we recommended.	880	877	False	0.8195243
17	E korant ta bisa ku “e mihó defensa ta di desaroyá wesunan mas sólido posibel den e promé 30 añanan di bida dor di hasi ehersisio i kome òf bebe sufisiente kalsio.”	Lemuel’s mother begins with several questions that heighten our interest: “What am I saying, O son of mine, and what, O son of my belly, and what, O son of my vows?”	It will prove that you’ve got the strength to go against the flow of Satan’s world.	728	970	False	1.0224864
18	Aunke e declaracion aki no ta científico, e ta revelá un otro cos cu tambe ta asombroso: Fotosíntesis tin mester dje muraya di cel den cua e proceso por tuma lugá sin peliger, i continuacion dje proceso ta rekerí reproduccion di cel.	Violence Against Women	However, they were forbidden to drink any alcoholic beverages while engaging in their priestly duties.	252	90	False	0.8318409
19	De echo, esei mester motivá nos pa pidié mustra nos “exactamente con [nos por] conta nos dianan di tal manera cu nos por trece un curason di sabiduria aden.”	Consider again the three scenarios we mentioned earlier.	In fact, I continued thinking and praying for some days.	345	591	False	0.88844836
