Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Sauten Hailans em i wanpela provins long Papua Niugini .,Sauten Hailans,Papua Niugini,Q849801,Q691,P131,P17,FALSE
Shikoku ( o Sikoku ) em i bikpela ailan long Siapan .,Shikoku,Siapan,Q13991,Q17,P131,P36,FALSE
Kyushu ( o Kiusiu ) em i bikpela ailan long Siapan .,Kyushu,Siapan,Q13987,Q17,P131,P39,FALSE
Westen Provins em i wanpela provins bilong Papua Niugini .,Westen Provins,Papua Niugini,Q849790,Q691,P131,P131,TRUE
Oro em i wanpela provins long Papua Niugini .,Oro,Papua Niugini,Q753686,Q691,P131,P17,FALSE
Wes Niu Briten em i wanpela provins long Papua Niugini .,Wes Niu Briten,Papua Niugini,Q667468,Q691,P131,P131,TRUE
Isten Hailans em i wanpela provins long Papua Niugini .,Isten Hailans,Papua Niugini,Q849812,Q691,P131,P36,FALSE
Stockholm i kapitol bilong Suwidan .,Stockholm,Suwidan,Q1754,Q34,P1376,P131,FALSE
Vilnius i kapitol bilong Lituwenia .,Vilnius,Lituwenia,Q216,Q37,P1376,P131,FALSE
Bratislava em i kapitol bilong kantri Slovakia .,Bratislava,Slovakia,Q1780,Q214,P1376,P17,FALSE
Oslo i kapitol bilong Nowe .,Oslo,Nowe,Q585,Q20,P1376,P131,FALSE
Busares i kapitol bilong Romenia .,Busares,Romenia,Q19660,Q218,P1376,P39,FALSE
Bagdad em i kapitol bilong Irak .,Bagdad,Irak,Q1530,Q796,P1376,P17,FALSE
Budapest em i kapitol bilong Hangari .,Budapest,Hangari,Q1781,Q28,P1376,P131,FALSE
Mosko o Moskva em i kapitol bilong Rasia .,Mosko,Rasia,Q649,Q159,P1376,P131,FALSE
Madrid i kapitol bilong Spen .,Madrid,Spen,Q2807,Q29,P1376,P131,FALSE
Talin i kapitol bilong Estonia .,Talin,Estonia,Q1770,Q191,P1376,P17,FALSE
Brussels emi kapitol bilong kantri Beljiam .,Brussels,Beljiam,Q239,Q31,P1376,P36,FALSE
Port Vila i kapitol bilong Vanuatu .,Port Vila,Vanuatu,Q37806,Q686,P1376,P17,FALSE
Westen Provins em i wanpela provins bilong Papua Niugini .,Westen Provins,Papua Niugini,Q849790,Q691,P17,P131,FALSE
Oro em i wanpela provins long Papua Niugini .,Oro,Papua Niugini,Q753686,Q691,P17,P17,TRUE
Sandaun em i wanpela provins long Papua Niugini .,Sandaun,Papua Niugini,Q753689,Q691,P17,P17,TRUE
Morobe em i wanpela provins long Papua Niugini .,Morobe,Papua Niugini,Q853664,Q691,P17,P17,TRUE
Milen Be em i wanpela provins long Papua Niugini .,Milen Be,Papua Niugini,Q874962,Q691,P17,P17,TRUE
Sauten Hailans em i wanpela provins long Papua Niugini .,Sauten Hailans,Papua Niugini,Q849801,Q691,P17,P17,TRUE
Is Sepik em i wanpela provins long Papua Niugini .,Is Sepik,Papua Niugini,Q690880,Q691,P17,P17,TRUE
Simbu em i wanpela provins long hailans bilong Papua Niugini .,Simbu,Papua Niugini,Q599448,Q691,P17,P30,FALSE
Isten Hailans em i wanpela provins long Papua Niugini .,Isten Hailans,Papua Niugini,Q849812,Q691,P17,P36,FALSE
Wes Niu Briten em i wanpela provins long Papua Niugini .,Wes Niu Briten,Papua Niugini,Q667468,Q691,P17,P131,FALSE
.au em i Intanet kod bilong kantri Ostrelia .,.au,Ostrelia,Q37420,Q408,P17,P361,FALSE
.ro em i Intanet kod bilong kantri Romenia .,.ro,Romenia,Q42677,Q218,P17,P361,FALSE
.al em i Intanet kod bilong kantri Albenia .,.al,Albenia,Q38291,Q222,P17,P361,FALSE
.no em i Intanet kod bilong kantri Nowe .,.no,Nowe,Q41060,Q20,P17,P361,FALSE
.ru em i Intanet kod bilong kantri Rasia .,.ru,Rasia,Q36541,Q159,P17,P361,FALSE
