	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Lè Jewova gade nou sou tè a, se pa koulè po moun li wè, men se moun li wè.	Lorsque Jéhovah nous regarde depuis les cieux, il ne voit qu’une seule race : la race humaine.	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	950	627	False	0.008571029
1	Ti jwèt foutbòl sided fèt yo devlope tranzisyon rapid nan faz la atake nan peyi. Moutre sipò rapid alantou foutbòl la ak vann san preskripsyon atake taktik.	Petits jeux de football face conçues pour développer transition rapide dans la phase attaquant de possession. Coach soutien rapide autour du football et contre attaquer tactiques. 	Stator enduit de poudre Machine Factory, Fournisseurs _ Chine Stator revêtement poudre fabricants de machines 	884	576	False	0.006011486
2	Materyèl Avant PU, tounen ak bò pvc	Matériel PU avant, arrière et pvc latéral 	Écriture réutilisable eau Tissu chinois magique Wate ... 	391	824	False	0.0053133965
3	Gen kèk ti tradiktè ki opere dirèkteman siyal estasyon paran an pou yon lòt frekans pou retransmèt, san okenn lòt pwosesis siyal lokal oswa demodulasyon. W07BA (yon repeteur 16-Watt pou WSYR-TV nan Syracuse, New York) se te yon moso senp nan aparèy emisyon, chanjman siyal estasyon prensipal la soti nan chanèl nèf chanèl sèt yo kouvri yon ti fon nan DeWitt. Syracuse te vin tounen yon zile UHF, prensipal ABCsignal WSYR-TV te vin tounen yon 100 kW emisyon dijital sou kanal 17, e pa gen ankò yon siyal kanal 9 pou bay repeater a.	Certains petits traducteurs convertissent directement le signal d'une station mère en une autre fréquence pour la rediffusion, sans autre traitement ou démodulation de signal local. W07BA (un répéteur 16-watt pour WSYR-TV à Syracuse, New York) était un simple appareil de radiodiffusion, déplaçant le signal de la station principale du canal neuf au canal sept pour couvrir une petite vallée de DeWitt. Syracuse est devenue une île UHF, le signal principal ABC de WSYR-TV est devenu une émission numérique 100 kW sur le canal 17 et il n’ya plus de signal 9 sur la chaîne pour alimenter le répéteur. 	La chaîne a également sous forme codée accessible par satellite Belintersat 1 (51,5° E) dans la phrase Pantelio, mais à en juger du faible débit – il est plutôt une version SD. 	762	323	False	0.008428335
4	Men sa l di: “Gwo enkyetid m te genyen akoz tout nouvo responsablite sa yo m te dwe jere poukont mwen kounye a te twòp pou mwen.	Et l’argent n’était pas son seul sujet d’inquiétude. « Je croulais sous le poids de toutes les responsabilités qui, désormais, reposaient uniquement sur moi, se rappelle-​t-​elle.	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	300	627	False	0.006056547
5	Ki jan Jewova anseye pèp li a pou yo demontre kè sansib?	Comment Jéhovah nous apprend-​il à avoir de la compassion ?	Ophtalmologie ikwoskòp chiriji 	76	226	False	0.0075366497
6	Jean-Yves Jason se tou Direktè Productions Kritik, yon konpayi ki espesyalize nan pwodiksyon gwo evènman atistik ak pwomosyon la ak atizay ayisyen.	Jean-Yves Jason est également le chef de la direction des Productions Kritik, une entreprise spécialisée dans la production de grands événements artistiques et la promotion de l'art haïtien et de l'artisanat. 	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	269	627	False	0.0074700117
7	Adonijah	Adonija 	Brandi Belle 	526	637	False	0.0045534372
8	Pa egzanp, tout moun konnen kè a menm kote nan kò tout moun, se sa k fè chirijyen yo konnen ki kote l ye nan kò chak moun y ap swaye.	Par exemple, normalement le cœur humain est toujours à la même place dans le corps ; ainsi, un chirurgien sait où trouver le cœur de chacun de ses malades.	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	541	627	False	0.010270834
9	Sipòte pwodiksyon 2 RTMP (prensipal kouran, 2yèm kouran) nan diferan difizyon sèvè medya.	Prend en charge la sortie 2 RTMP (flux principal, 2e flux) vers un serveur de diffusion multimédia différent. 	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	545	627	False	0.006175041
10	Metòd tès: HPLC / UV	Méthode de détection: HPLC / UV 	Modèle: FX-3.9 	312	160	False	0.005435109
11	12 Menm jan an tou, Jewova ap beni jèn ki mete kouraj sou yo pou yo fikse objektif espirityèl e ki mete Wayòm nan an premye nan lavi yo.	12 Comme pour Moïse, Jéhovah bénira les jeunes qui, avec courage, se fixent des objectifs spirituels et donnent la priorité au Royaume de Dieu.	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	849	627	False	0.008836746
12	Bakersfield	Bakersfield 	Bakersfield 	661	661	True	0.0
13	Alonissos	Alonissos 	Alonissos 	494	494	True	2.3841858e-07
14	14 Pozisyon PhD nan Te an Ayiti Jeni ak Jeni seismoloji	14 Positions doctorat en génie sismique 	Écriture réutilisable eau Tissu chinois magique Wate ... 	89	824	False	0.008768201
15	Se Jezi Bondye te wenn, oubyen Bondye te chwazi pou l jwe yon wòl espesyal nan akonplisman pwomès Bondye fè yo.	Jésus a été oint, ou nommé par Dieu, pour jouer un rôle particulier dans l’accomplissement des promesses divines.	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	200	627	False	0.0067864656
16	Giko	Giko 	Giko 	177	177	True	0.0
17	Li te pran detèminasyon pou l obeyi Bondye ki te ba l enstriksyon ki te fè l jwenn anpil avantaj nan lavi a.	Il était déterminé à obéir au Dieu dont les ordres lui avaient valu tant de bienfaits.	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	73	627	False	0.007926226
18	Sou 28 fevriye, Hamburg konfime premye ka : yon manm nan anplwaye pedyatrik nan Lopital Inivèsite Hamburg-Eppendorf [1] .	Le 28 février, Hambourg confirme un premier cas : un membre du personnel pédiatrique de l'hôpital universitaire de Hambourg-Eppendorf[41]. 	pribudovi, zokrema, j'ai récemment vidileny dans fligel nombre okremy. Schasliva 	484	627	False	0.0057008266
