	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	(Eksodo 3:13-15, NW) Te awe Yehova ta e nòmber pa kua Dios ta konosí serka su sirbidónan rònt mundu.—Isaias 12:4, 5; 43:10-12, NW.	(Exodus 3:13-15) Jehovah is still the name by which God is known to his servants around the earth.​—Isaiah 12:4, 5; 43:10-12.	(Matt. 24:21; Rev. 7:9, 14) Until then, let us always remember that “God is a refuge for us.”​—Ps. 62:8.	874	705	False	0.31982708
1	El a koperá plenamente segun ku e miembronan di e kuerpo gobernante tabata skucha e asuntu, a tuma un desishon i a asigná é komo un di nan mensaheronan. (Echo.	He cooperated fully as its members listened to the matter, reached a decision, and assigned him to be one of their messengers.	Circumcision was to be done on the eighth day of life, which was ideal with regard to the blood’s ability to clot.​—wp18.1, p. 7.	843	288	False	0.7670126
2	Si ta asina, bo por konta ku e respaldo di Dios i bo por ripití e palabranan aki di e salmista: ‘Mi yudansa ta bin for di Yehova.’—Salmo 121:2.	If you are, you can be confident of divine support and can echo these words of the psalmist: “My help is from Jehovah.”​—Psalm 121:2.	For as often as you eat this loaf and drink this cup, you keep proclaiming the death of the Lord, until he arrives.”​—1 Corinthians 11:23-26.	924	654	False	0.49972034
3	Mas i mas eksperto ta mira e problema serio aki di salú públiko no djis komo un problema “puramente sikológiko.”	Increasingly, this serious public-health problem is not considered to be “strictly psychological.”	Increasingly, this serious public-health problem is not considered to be “strictly psychological.”	56	56	True	0.7918123
4	8 Si nos no tene kuidou, fásilmente nos por pèrdè nos apresio pa e bondat di Yehova. Dikon?	8 Why should we remain alert to the danger of losing our appreciation for Jehovah’s goodness?	If we are humble, we will appreciate and accept counsel, realizing that “the reproofs of discipline are the way of life.”	69	47	False	0.64067054
5	No keda kontentu ku djis ún flor di e bèrdat. . . .	Be not content with one flower of truth. . . .	But notice that “the peace of God . . . surpasses all understanding.”	276	286	False	0.86895216
6	I aunke algun di e ideanan akí riba nan mes no tabata kontra siñansa di Beibel, nan tabata kousa desunion; nan tabata pone hende debatí i pleita tokante palabra, kreando asina un ambiente insaludabel entre e kristiannan.	They resulted in bickering and arguing over words, creating a spiritually unhealthy atmosphere.	Paul, who as we have seen endured his share of hardship, wrote: “All those desiring to live with godly devotion in association with Christ Jesus will also be persecuted.” (2 Timothy 3:12) Regarding persecution, Peter said: “In fact, to this course you were called, because even Christ suffered for you, leaving you a model for you to follow his steps closely.” (1 Peter 2:21) Down to these “last days” of this system of things, Jehovah’s people continue to be objects of hatred and hostility.	583	609	False	0.9308634
7	(Salmo 65:6) Sí, haltu i su so riba Africa, Kilimanjaro ta pará como un testimonio sublime dje poder dje Magnífico Creador.	(Psalm 65:6) Yes, high and alone above Africa, Kilimanjaro stands as a lofty testimony to the power of the Grand Creator.	(Psalm 65:6) Yes, high and alone above Africa, Kilimanjaro stands as a lofty testimony to the power of the Grand Creator.	225	225	True	0.56303596
8	Ki un demostrashon maravioso di loke Hesus lo hasi den e mundu nobo!	What a heartwarming foregleam of what Jesus will do in the new world!	Their mission will be to bring “vengeance upon those who do not know God and those who do not obey the good news about our Lord Jesus.” (2 Thessalonians 1:7, 8) What an effect this action will have on mankind!	832	486	False	0.8144051
9	Mi a splika nan ken nos tabata, i finalmente nan a laga nos bai.”	I explained who we were, and they eventually let us go.”	For as often as you eat this loaf and drink this cup, you keep proclaiming the death of the Lord, until he arrives.”​—1 Corinthians 11:23-26.	833	654	False	0.7220187
