text,text_preprocessed,LEN
Año 1962 es la maga [[año]] del calendario.,Año es la maga año del calendario,7
El designada codigo postal y [[PSGC]] .,El designada codigo postal y PSGC,6
"Serbia (Србија; ""Srbija"") es un pais na [[Europa]] con las sus maga frontieras ay con [[Hungría]], [[Rumanía]], [[Bulgaria]], [[Macedonia del Norte]], [[Albania]], [[Bosnia y Hercegovina]], [[Croacia]] y [[Montenegro]].",Serbia es un pais na Europa con las sus maga frontieras ay con Hungría Rumanía Bulgaria Macedonia del Norte Albania Bosnia y Hercegovina Croacia y Montenegro,26
El ciudad capital y el ciudad mas importante es [[Belgrado]].,El ciudad capital y el ciudad mas importante es Belgrado,10
"Bielorusia (Рэспубліка Беларусь, Республика Беларусь) es un pais de Europa Oriental tiene frontieras con [[Lituania]] y [[Letonia]] el norte, [[Rusia]] el este, [[Ucrania]] el sur, y [[Polonia]] el oeste.",Bielorusia es un pais de Europa Oriental tiene frontieras con Lituania y Letonia el norte Rusia el este Ucrania el sur y Polonia el oeste,25
La capital y el ciudad mas grande es [[Minsk]].,La capital y el ciudad mas grande es Minsk,9
"San Jose es un departamento de [[Uruguay]] situado en el sur del pais, limita al norte con Flores, al este con [[Florida (Uruguay)]],[[Canelones]] y [[Montevideo]], al oeste con [[colonia]] y Soriano , y al sur con el río de la plata.",San Jose es un departamento de Uruguay situado en el sur del pais limita al norte con Flores al este con Florida Canelones y Montevideo al oeste con colonia y Soriano y al sur con el río de la plata,40
El [[Ciudad de Pagadian]] es dividido en 54 maga barangay.,El Ciudad_de_Pagadian es dividido en maga barangay,7
"Pagadian ya converti como un chartered city en Junio 21, [[1969]] del virtud de Acta Republica No.",Pagadian ya converti como un chartered city en Junio del virtud de Acta Republica No,15
"Tradicionalmente, ta estudia se el como ramas del filosofia, ma tambien puede ser considerado un ramas del [[matematica]] o del informatica.",Tradicionalmente ta estudia se el como ramas del filosofia ma tambien puede ser considerado un ramas del matematica o del informatica,21
"Ta puede el [[lenguaje]] ser usado de distinto maga forma: para demanda cualquier cosa, para aconseja a alguien, para describi cualquier cosa que ta mira ya nosotros con o simplemente para exprimi un sensacion, como cuando ta grita nosotros si ta toca nosotros fuego.",Ta puede el lenguaje ser usado de distinto maga forma para demanda cualquier cosa para aconseja a alguien para describi cualquier cosa que ta mira ya nosotros con o simplemente para exprimi un sensacion como cuando ta grita nosotros si ta toca nosotros fuego,44
