text,text_preprocessed,LEN
Woso () (Tok Polin: Warszawa) emi kapitol na big taun bilong kantri [[Polan]].,Woso emi kapitol na big taun bilong kantri Polan,9
Plak bilong [[Andora]] i mak olsem ofisel plak bilong kantri long 27 Ogas 1971.,Plak bilong Andora i mak olsem ofisel plak bilong kantri long Ogas,12
" emi wanpela taun long León provins, Castile na León, [[Spen]].",emi wanpela taun long León provins Castile na León Spen,10
"Nesenel Kapitol Distrik o NCD () emi sipesol distrik, olsem wanpela provins, bilong kapitol bilong [[Papua Niugini]], [[Pot Mosbi]].",Nesenel Kapitol Distrik o NCD emi sipesol distrik olsem wanpela provins bilong kapitol bilong Papua_Niugini Pot Mosbi,17
" emi wanpela taun long Burgos provins, Castile na León, [[Spen]].",emi wanpela taun long Burgos provins Castile na León Spen,10
"Narra em i ""First Class Municipality"" i stap long [[Palawan]] provins, [[Filipin]].",Narra em i First Class Municipality i stap long Palawan provins Filipin,12
"[[Narra]] i kisim narapla nem ""Rice Granary of [[Palawan]]"" as [[Narra]] em i nambawan ples we rais i wokim long [[Palawan]] ailan.",Narra i kisim narapla nem Rice Granary of Palawan as Narra em i nambawan ples we rais i wokim long Palawan ailan,22
"Rasa ailan i stap long Narra, we ""[[Katala]]/Abukay/Kalangay"" (Narra i gat planti tok ples) o Red Vented Cockatoo pisin i stap.",Rasa ailan i stap long Narra we KatalaAbukayKalangay o Red Vented Cockatoo pisin i stap,15
Narra i gat 23 [[Barangay]] (liklik hap),Narra i gat Barangay,4
Sol () emi [[kapitol]] na nambawan siti bilong Saut Korea.,Sol emi kapitol na nambawan siti bilong Saut Korea,9
"[[Sol]] i gat 9 milien manmeri long em, na i gat sampela taun klostu long [[Sol]] tu.",Sol i gat milien manmeri long em na i gat sampela taun klostu long Sol tu,16
[[Sol]] na ol taun klostu long em wantaim igat 21 milien manmeri.,Sol na ol taun klostu long em wantaim igat milien manmeri,11
" emi wanpela taun long Soria provins, Castile na León, [[Spen]].",emi wanpela taun long Soria provins Castile na León Spen,10
"[[Wikimedia Commons]] emi wanpela pat long [[Wikimedia Foundation]], kipim olgeta free photo na music .",Wikimedia_Commons emi wanpela pat long Wikimedia Foundation kipim olgeta free photo na music,13
"Ol Otodos, o Kristen Otodos, o Otodos Kristen ol i manmeri bilong wanpela lain bilong [[Kristen]].",Ol Otodos o Kristen Otodos o Otodos Kristen ol i manmeri bilong wanpela lain bilong Kristen,16
"Ol Kristen ol i manmeri ol i lotuim [[Jisas]], o Krais(t), na ol i ting olsem Jisas em i Got i kam long Graun.",Ol Kristen ol i manmeri ol i lotuim Jisas o Krais na ol i ting olsem Jisas em i Got i kam long Graun,24
"Ol Otodos i lain i ting olsem bikpela bos bilong [[Sios]] em i Krais, na Sios em i olsem bodi bilong Krais.",Ol Otodos i lain i ting olsem bikpela bos bilong Sios em i Krais na Sios em i olsem bodi bilong Krais,22
Planti Kristen Otodos ol i stap long Rusia na [[Gris]].,Planti Kristen Otodos ol i stap long Rusia na Gris,10
"Tok Hangari (Tok Hangari: ""magyar"") em i tokples bilong kantri [[Hangari]].",Tok Hangari em i tokples bilong kantri Hangari,8
"Sidni (Tok Inglis: ""Sydney"") stap wanpela biktaun bilong [[Niu Saut Wels]], [[Ostrelia]] na wanpela bigis biktaun bilong Ostrelia na Oseania.",Sidni stap wanpela biktaun bilong Niu_Saut_Wels Ostrelia na wanpela bigis biktaun bilong Ostrelia na Oseania,15
Daru em i [[Kapitol]] na taun bikpela tumas bilong [[Westen Provins]] long [[Papua Niugini]].,Daru em i Kapitol na taun bikpela tumas bilong Westen Provins long Papua Niugini,14
Daru em i no stap long [[Niugini]] [[ailan]]; em i stap long wanpela liklik ailan klostu long Niugini ol i kolim Daru Ailan.,Daru em i no stap long Niugini ailan em i stap long wanpela liklik ailan klostu long Niugini ol i kolim Daru Ailan,23
.id em i Intanet kod bilong kantri [[Indonisia]].,id em i Intanet kod bilong kantri Indonisia,8
"Plak bilong [[Hangari]] ([[Tok Hangari]]: ""Magyarország zászlaja"") i mak olsem ofisel plak bilong kantri long 1 Oktoba 1957.",Plak bilong Hangari i mak olsem ofisel plak bilong kantri long Oktoba,12
Spen em i wanpela [[kantri]] i stap insait long kontinen [[Yurop]].,Spen em i wanpela kantri i stap insait long kontinen Yurop,11
[[Madrid]] em i [[kapitol]] na nambawan bikpela taun bilong Spen.,Madrid em i kapitol na nambawan bikpela taun bilong Spen,10
Tokples bilong Spen i [[Tok Spen]].,Tokples bilong Spen i Tok_Spen,5
"Tok Rasia (""русский язык"", ""russkiy yazyk"") em i wanpela tokples we asples bilong em i kantri [[Rasia]].",Tok Rasia em i wanpela tokples we asples bilong em i kantri Rasia,13
[[Tok]] [[Rasia]] hat tumas lainim.,Tok Rasia hat tumas lainim,5
Quảng Bình em i wanpela provins i stap long [[Vietnam]].,Quảng Bình em i wanpela provins i stap long Vietnam,10
[[Đồng Hới]] em i [[kapitol]] bilong Quảng Bình.,Đồng_Hới em i kapitol bilong Quảng Bình,7
.al em i Intanet kod bilong kantri [[Albenia]].,al em i Intanet kod bilong kantri Albenia,8
