Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Sauten Hailans em i wanpela provins long Papua Niugini .,Sauten Hailans,Papua Niugini,Q849801,Q691,P131,P17,False
Shikoku ( o Sikoku ) em i bikpela ailan long Siapan .,Shikoku,Siapan,Q13991,Q17,P131,P36,False
Kyushu ( o Kiusiu ) em i bikpela ailan long Siapan .,Kyushu,Siapan,Q13987,Q17,P131,P39,False
Westen Provins em i wanpela provins bilong Papua Niugini .,Westen Provins,Papua Niugini,Q849790,Q691,P131,P131,True
Oro em i wanpela provins long Papua Niugini .,Oro,Papua Niugini,Q753686,Q691,P131,P17,False
Wes Niu Briten em i wanpela provins long Papua Niugini .,Wes Niu Briten,Papua Niugini,Q667468,Q691,P131,P131,True
Isten Hailans em i wanpela provins long Papua Niugini .,Isten Hailans,Papua Niugini,Q849812,Q691,P131,P36,False
Simbu em i wanpela provins long hailans bilong Papua Niugini .,Simbu,Papua Niugini,Q599448,Q691,P131,P30,False
Is Sepik em i wanpela provins long Papua Niugini .,Is Sepik,Papua Niugini,Q690880,Q691,P131,P17,False
Sandaun em i wanpela provins long Papua Niugini .,Sandaun,Papua Niugini,Q753689,Q691,P131,P17,False
Milen Be em i wanpela provins long Papua Niugini .,Milen Be,Papua Niugini,Q874962,Q691,P131,P17,False
Morobe em i wanpela provins long Papua Niugini .,Morobe,Papua Niugini,Q853664,Q691,P131,P17,False
Stockholm i kapitol bilong Suwidan .,Stockholm,Suwidan,Q1754,Q34,P1376,P131,False
Vilnius i kapitol bilong Lituwenia .,Vilnius,Lituwenia,Q216,Q37,P1376,P131,False
Bratislava em i kapitol bilong kantri Slovakia .,Bratislava,Slovakia,Q1780,Q214,P1376,P17,False
Oslo i kapitol bilong Nowe .,Oslo,Nowe,Q585,Q20,P1376,P131,False
Busares i kapitol bilong Romenia .,Busares,Romenia,Q19660,Q218,P1376,P39,False
Bagdad em i kapitol bilong Irak .,Bagdad,Irak,Q1530,Q796,P1376,P17,False
Budapest em i kapitol bilong Hangari .,Budapest,Hangari,Q1781,Q28,P1376,P131,False
Mosko o Moskva em i kapitol bilong Rasia .,Mosko,Rasia,Q649,Q159,P1376,P131,False
Madrid i kapitol bilong Spen .,Madrid,Spen,Q2807,Q29,P1376,P131,False
Talin i kapitol bilong Estonia .,Talin,Estonia,Q1770,Q191,P1376,P17,False
Brussels emi kapitol bilong kantri Beljiam .,Brussels,Beljiam,Q239,Q31,P1376,P36,False
Port Vila i kapitol bilong Vanuatu .,Port Vila,Vanuatu,Q37806,Q686,P1376,P17,False
Westen Provins em i wanpela provins bilong Papua Niugini .,Westen Provins,Papua Niugini,Q849790,Q691,P17,P131,False
Oro em i wanpela provins long Papua Niugini .,Oro,Papua Niugini,Q753686,Q691,P17,P17,True
Sandaun em i wanpela provins long Papua Niugini .,Sandaun,Papua Niugini,Q753689,Q691,P17,P17,True
Morobe em i wanpela provins long Papua Niugini .,Morobe,Papua Niugini,Q853664,Q691,P17,P17,True
Milen Be em i wanpela provins long Papua Niugini .,Milen Be,Papua Niugini,Q874962,Q691,P17,P17,True
Sauten Hailans em i wanpela provins long Papua Niugini .,Sauten Hailans,Papua Niugini,Q849801,Q691,P17,P17,True
Is Sepik em i wanpela provins long Papua Niugini .,Is Sepik,Papua Niugini,Q690880,Q691,P17,P17,True
Simbu em i wanpela provins long hailans bilong Papua Niugini .,Simbu,Papua Niugini,Q599448,Q691,P17,P30,False
Isten Hailans em i wanpela provins long Papua Niugini .,Isten Hailans,Papua Niugini,Q849812,Q691,P17,P36,False
Wes Niu Briten em i wanpela provins long Papua Niugini .,Wes Niu Briten,Papua Niugini,Q667468,Q691,P17,P131,False
.au em i Intanet kod bilong kantri Ostrelia .,.au,Ostrelia,Q37420,Q408,P17,P361,False
.ro em i Intanet kod bilong kantri Romenia .,.ro,Romenia,Q42677,Q218,P17,P361,False
