	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Pou nou aji ann amoni ak priyè sa a, nou bezwen veye pou nou byen suiv direksyon òganizasyon Jewova a ban nou ki soti nan Bib la e pou n fè sa san pèdi tan.	Si nous voulons agir en accord avec cette prière, nous devons prêter une attention particulière à toutes les directives que nous fournit l’organisation de Jéhovah et les appliquer sans tarder.	CAS-nro 	519	444	False	0.19763911
1	li kouri sou 6 pil AA.	Il fonctionne sur 6 piles AA. 	Lien vers carte de visite en haut Carte en haut Catégorie d&#39;activité 	278	356	False	0.10854101
2	Pou nou viv pou toutan, nou dwe gen lafwa nan Jezi	Pour vivre éternellement, nous devons exercer la foi en Jésus	Traitement de surface : impression thermique de transfert 	545	589	False	0.74662685
3	Y ap dirije travay predikasyon Wayòm nan nan lemonnantye e yo bay manje espirityèl alè.	Ces frères dirigent l’œuvre mondiale de proclamation du Royaume et fournissent de la nourriture spirituelle au bon moment.	suiveurs 	113	129	False	0.49114323
4	Tipik epesè nan panèl aliminyòm yo 1.5mm, 2.0mm, 2.5mm, 3.0mm, 3.5mm ak 4.0mm. Epesè ki anba a 2.0mm yo nòmalman itilize pou dekorasyon endividyèl (patisyon, ekran, plafon, taye, miray CLADDING, atizay ... elatriye), ak pi wo a 2.5mm yo pou itilizasyon deyò (fasad rido miray, balkon revòlt, ki gen fòm vole, kloti , pòtay ... elatriye).	L'épaisseur typique du panneau en aluminium est 1.5mm, 2.0mm, 2.5mm, 3.0mm, 3.5mm et 4.0mm. L'épaisseur inférieure à 2.0mm est normalement utilisée pour la décoration inddor (cloison, écran, plafond, garniture, revêtement de mur, art ... etc), et au-dessus de 2.5mm sont pour l'usage extérieur (mur rideau de façade, garde-corps de balcon, obturateur formé, clôture , porte ... etc). 	Bébé Chaîne de télévision, disponible sur la plate-forme satellite nc + et les réseaux câblés sélectionnés dans le pays, Je partais sur un transpondeur sur le satellite Eutelsat Hot Bird (13 ° E). 	711	362	False	0.4700657
5	Dam nan te oblije kouri kite peyi l apre sòlda rebèl yo ki nan peyi l te fin kidnape mari l ansanm ak pitit li e li pa t janm wè yo ankò.	Sa vie à elle aussi avait été menacée, sa maison avait été détruite par un incendie et elle avait été victime d’un viol collectif.	Ce sont parfois la crainte de la persécution, les inquiétudes au sujet des moyens d’existence, le désir de devenir riche ou la recherche des plaisirs égoïstes qui leur ont fait perdre leur zèle.	985	913	False	0.6430197
6	Labib chanje lavi moun	La Bible transforme des vies	▪ Que nous apprend le combat que Pierre a mené contre le doute et la crainte ?	911	607	False	0.41775107
7	Fevriye 28, 2009 par ofer 3 Kòmantè	février 28, 2009 par ofer 3 Commentaires 	14 On jetterait les sorts sur les vêtements du Messie. “ Ils se partagent mes vêtements, a écrit David, et sur mes habits ils jettent les sorts. ” (Ps. 22:18).	363	937	False	0.62203205
8	Pèsepsyon nan yon jou nan èdtan 24 se subjectif. Walter Rolfo, ...	La perception d'un jour d'heures 24 est subjective. Walter Rolfo, ... 	Hot Tags: Lyophilisé poudre de myrtille, fournisseur d'usine de Chine, de haute qualité, haute pureté, meilleure vente, excellent prix, poudre lyophilisée de myrtille, poudre lyophilisée de myrtilles, poudre de myrtille, poudre de myrtilles, poudre de myrtille séchée 	366	166	False	0.70471716
9	Kidonk, kòman kretyen ki selibatè jodi a kapab byen pwofite sitiyasyon sa a, kit yo se frè, sè, jèn oswa granmoun, kit yo te chwazi ret poukont yo, kit se sikonstans lavi a ki fè sa?	Comment les chrétiens célibataires d’aujourd’hui — frères ou sœurs, jeunes ou moins jeunes, seuls par choix ou par la force des choses — peuvent-​ils mettre à profit leur situation ?	Donc, en attirant l’attention sur l’union sexuelle entre “ les fils du vrai Dieu ” qui s’étaient matérialisés et “ les filles des hommes ”, de toute évidence le récit fait allusion à un événement sans précédent et anormal.	643	105	False	0.43189383
10	E se pou sa z moins 2.	Et c'est z moins 2.	Poubelle en osier rotin jardin 	793	29	False	0.45693254
11	Pitit ou yo deja konnen ou pa pafè.	Vos enfants savent déjà que vous n’êtes pas parfaits.	Search Engine Visibility vous aider à ajouter les bons mots clés et le texte de votre site, puis soumet votre site à Google, Yahoo!, Bing, et plus 100 autres moteurs et annuaires de recherche populaires. Utilisez nos suggestions d'experts de se déplacer en permanence votre site plus près du sommet des résultats de recherche. 	250	630	False	0.464041
12	Nan ki sans Bib la ka yon sous rekonfò pou moun k ap goumen kont santiman negatif ?	Comment la Bible peut-​elle consoler ceux qui luttent contre des sentiments négatifs ?	Si vous voulez voyager seul ou en famille, amis ou collègues, vous pouvez chercher un avion privé à louer dans le nord ou le sud Tallahassee, Floride et affréter un vol. D'autre part sont des gens comme vous qui aimeraient avoir leur animal de compagnie bien-aimé avec eux. Comme les moyens de vous assurer que tous les gens sont satisfaits, de nombreux fournisseurs aujourd'hui donnent la possibilité de prendre leurs animaux pour les personnes. Il y a aussi la possibilité de voyager quand, où et la façon dont on a besoin. une raison suffisante pour le choix de départ ou à se rendre à plusieurs milliers de places d'aéroport, avion assistance voyage charter semble soudain si désirable. 	956	776	False	3.5762787e-07
13	Èske w se yon abònen nan kanal YouTube nou an? Èske w se yon abònen nan kanal YouTube nou an? Wi Non	Êtes-vous abonné à notre chaîne YouTube? Êtes-vous abonné à notre chaîne YouTube? Oui Non 	Vie saine 	402	700	False	0.24950266
14	Ki jan egzanp sa a ki te yon pwofesi te reyalize ?	Comment cet exemple prophétique a-​t-​il trouvé son accomplissement ?	Quand nous, parents, nous montrons que nous avons le bon point de vue sur les tâches ménagères, cela aide nos filles à faire de même » (Stephanie).	3	888	False	0.4843676
15	$TITOL$nou	FINLANDE 	Nous arrive-​t-​il alors de tomber sur des choses qui éveillent en nous des désirs inconvenants et entravent notre lutte pour rester chastes ?	300	493	False	0.19319463
16	sid	Côte Sud 	32 Le saviez-​vous ?	524	620	False	0.25216055
17	Tout ansèyman kretyen yo nèt fòme “ verite bon nouvèl la ”.	L’ensemble des enseignements chrétiens constitue “ la vérité de la bonne nouvelle ”.	L'évaluation des stocks de carbone nécessite une cartographie, la collecte et l'analyse d'échantillons de sol / biomasse, la surveillance des mouvements de carbone entrant et sortant du système et la détermination des émissions évitées des activités de gestion. ref Il est important de noter que les écosystèmes de carbone bleu contiennent plus d'un pool de carbone, ce qui, une fois combinés, équivaut au stock de carbone total. 	247	492	False	0.0
18	Epitou, t ap gen moun k ap pale moun mal, yon seri moun k ap gaye move pawòl pou detwi bon repitasyon lòt moun genyen*.	Il y aurait aussi des calomniateurs*, c’est-à-dire des personnes qui disent des mensonges dans le but de détruire la réputation des autres.	Pulp 	268	948	False	0.05996585
19	Kreyòl Ayisyen	Sirène piézo 	'Section TV’ parler ouvertement sur 11720H (Faisceau de Russie), SR 28800, FEC 3/4 	170	462	False	0.32058096
20	Men sa Harald ekri : “ Antou, mwen te pase 14 ane nan lavi m nan kan konsantrasyon e nan prizon poutèt lafwa mwen gen nan Bondye.	Harald raconte : “ En tout, j’ai passé 14 années de ma vie dans les camps de concentration et les prisons à cause de ma foi en Dieu.	• Tremblements de terre de grande amplitude ;	360	753	False	0.4898796
21	Apre simwa, nou te deplase al viv nan vil Oswestry ki nan menm pwovens ak Shropshire paske n te gen posiblite lwe pwòp fèm pa nou.	Six mois plus tard, l’occasion nous ayant été offerte de louer une petite ferme, nous nous sommes installés à Oswestry, également dans le Shropshire.	Termes et conditions générales 	177	464	False	0.11406636
22	Poukisa kèk kretyen vin apresye enpòtans kat peyi biblik yo genyen (gade kare a) ?	Pourquoi certains chrétiens en sont-​ils venus à attacher plus de valeur aux cartes (voir l’encadré) ?	Actes des Apotres - La Bible en Francais et en Créole Haitien _ FouyeBible 	277	949	False	0.18034434
23	Jodi a, gen prèske uit milyon Temwen zele k ap fè tout sa yo kapab pou yo simaye mesaj Kris la nan plis pase 600 lang, e gen plis lang toujou k ap ajoute!	Aujourd’hui, près de huit millions de proclamateurs zélés font tout leur possible pour répandre le message de Christ en plus de 600 langues, et bientôt davantage !	Ne devrais-​tu pas faire tout ton possible dès maintenant pour être riche à l’égard de Dieu ?	742	734	False	0.46401548
24	LaurieLanne	reine-passion 	Jérusalem	175	637	False	0.28343654
25	filaman Pou enprime 3D	Tpu Filament 	Geler les longanes séchés, de collations santé naturelles, de bonne qualité avec le meilleur prix 	771	897	False	0.6106149
26	Port nan Tyne te enstale SOLASAFE® solèy nan kabinè operatè yo nan nouvo £ 6 milyon dola yo Lieber Container Gantry Crane. Sa a pral bay operatè teknik ak yon pi an sekirite, View glare-gratis nan zòn nan operasyonèl.	Le port de Tyne a installé SOLASAFE® écrans solaires dans la cabine des opérateurs de leur nouvelle £ 6 millions Liebherr Grue à portique à conteneurs. Cela permettra aux grutiers d'avoir une vue plus sûre et sans éblouissement de la zone d'exploitation. 	Votre Email (requis) 	967	735	False	0.24542737
27	pwopriyete 4.Chemical:	propriété 4.Chemical: 	Même si je savais que demain le monde irait en morceaux, je serais encore planter mon pommier. ~ Martin Luther 	859	848	False	0.32960057
28	Jezi te ba yo enstriksyon detaye sou fason pou yo akonpli ministè yo. Mete sou sa, li te avèti yo konsènan pwoblèm ak difikilte yo t apral rankontre (Matye 10:1-42 ; Lik 6:12-16).	À ces douze, Jésus a donné des instructions détaillées sur la manière d’effectuer leur ministère et il les a avertis des obstacles et des difficultés qui les attendaient (Matthieu 10:1-42 ; Luc 6:12-16).	SPYV016 - Enregistreur vocal ultra-fin OMG, 50 heures d'enregistrement 	318	983	False	0.31600523
29	Men, kèlkeswa sa n fè avè n, nou pap janm dezobeyi lòd Bondye bay ki di: “Nou pa dwe asasinen moun.” — Egz. 20:13, NW.	Mais quoi que vous nous fassiez, nous ne violerons pas cet ordre de Dieu : ‘Tu ne dois pas assassiner’” (Ex. 20:13).	Agents de transfert 1.Anti-redéposition et anti-colorant dans les détergents de blanchisserie 	718	246	False	0.6186464
30	1990-2170MHz 12DB 3G / 4G Yagi antèn N fenmèl sans pou LTE MIMO	1990-2170MHz 12 dB 3G / 4G Wireless femelle N antenne Yagi pour LTE MIMO 	Durée de vie mécanique : 2000times 	359	131	False	0.6433306
