,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
0,[[Akaki Minashvili]] es un georgiano politico.,Akaki_Minashvili es un georgiano politico,5,11,50.9,0,11-0
1,Natalia Morozova es una cantante de [[Ucrania]].,Natalia Morozova es una cantante de Ucrania,7,11,50.9,1,11-1
2,[[Maka Bochorishvili]] es un georgiano politico.,Maka_Bochorishvili es un georgiano politico,5,11,50.9,0,11-0
3,las areas del [[proyecto]].,las areas del proyecto,4,11,50.9,1,11-1
4,Monte Águila el primero es una ciudad na [[Chile]].,Monte Águila el primero es una ciudad na Chile,9,11,50.9,1,11-1
5,Es una maga estado situada en [[Europa]].,Es una maga estado situada en Europa,7,37,44.86666666666667,0,37-0
4,[[Anzor Bolkvadze]] es un georgiano politico.,Anzor_Bolkvadze es un georgiano politico,5,37,44.86666666666667,0,37-0
3,Chris Pine (ta nacida el 26 de agosto de [[1980]]) es una actor es estadounidense.,Chris Pine es una actor es estadounidense,7,37,44.86666666666667,0,37-0
2,la ciudad es un centro cultural importante en [[Filipinas]].,la ciudad es un centro cultural importante en Filipinas,9,37,44.86666666666667,2,37-2
1,"Episodes: Special features: ""[[Disney Channel]] Holiday"".",Episodes Special features Disney_Channel Holiday,5,37,44.86666666666667,1,37-1
0,[[Consejo]] de el Republica.,Consejo de el Republica,4,37,44.86666666666667,0,37-0
2,2005: [[Etapa]] de Daisy Duke.,Etapa de Daisy Duke,4,18,44.4,0,18-0
1,"El campus principa ay en la [[Salvador]], [[Brasil]].",El campus principa ay en la Salvador Brasil,8,18,44.4,0,18-0
4,El [[Ciudad de Pagadian]] es dividido en 54 maga barangay.,El Ciudad_de_Pagadian es dividido en maga barangay,7,18,44.4,1,18-1
0,[[Lima]] es la capital peruana ubicada junto al mar.,Lima es la capital peruana ubicada junto al mar,9,18,44.4,0,18-0
3,[[Ariana Grande]] es un cantante,Ariana_Grande es un cantante,4,18,44.4,0,18-0
10,Joana Vasconcelos es una artista plástica de [[Portugal]].,Joana Vasconcelos es una artista plástica de Portugal,8,27,42.88461538461539,2,27-2
3,"Belgrado (Београд; ""Beograd"") es el ciudad capital del [[Serbia]].",Belgrado es el ciudad capital del Serbia,7,27,42.88461538461539,2,27-2
12,Taekwonndo ay el arte marcial de la [[Corea]].,Taekwonndo ay el arte marcial de la Corea,8,27,42.88461538461539,3,27-3
9,También es un idioma oficial en la [[India]].,También es un idioma oficial en la India,8,27,42.88461538461539,2,27-2
1,El [[Partido Independentista]] propone un sistema economico social-demócrata.,El Partido_Independentista propone un sistema economico socialdemócrata,7,27,42.88461538461539,0,27-0
2,[[Nika Melia]] es un georgiano politico.,Nika_Melia es un georgiano politico,5,27,42.88461538461539,1,27-1
0,Buenavista esta dividida politicamente na 37 [[barangay]],Buenavista esta dividida politicamente na barangay,6,27,42.88461538461539,3,27-3
4,[[Zaal Udumashvili]] es un georgiano politico.,Zaal_Udumashvili es un georgiano politico,5,27,42.88461538461539,1,27-1
5,La capital y el ciudad mas grande es [[Budapest]].,La capital y el ciudad mas grande es Budapest,9,27,42.88461538461539,3,27-3
6,El Düsseldorf amo un ciudad del [[Alemania]].,El Düsseldorf amo un ciudad del Alemania,7,27,42.88461538461539,3,27-3
7,Fado es un estilo musical de [[Portugal]].,Fado es un estilo musical de Portugal,7,27,42.88461538461539,2,27-2
11,[[Gubaz Sanikidze]] es un georgiano politico.,Gubaz_Sanikidze es un georgiano politico,5,27,42.88461538461539,1,27-1
8,Pinamalayan tiene 37 maga [[barangay]]:,Pinamalayan tiene maga barangay,4,27,42.88461538461539,3,27-3
12,[[Sta]] del Mesa Heights.,Sta del Mesa Heights,4,3,42.68627450980392,0,3-0
13,Esta es un lista de [[Mexicanos-Americans]],Esta es un lista de MexicanosAmericans,6,3,42.68627450980392,1,3-1
14,[[Ramon Llull]] (c. 1232 – c. 1315) es un filosofo Mallorquin.,Ramon_Llull es un filosofo Mallorquin,5,3,42.68627450980392,1,3-1
15,Monalisa ou La Gioconda es un cuadro de [[Leonardo da Vinci]].,Monalisa ou La Gioconda es un cuadro de Leonardo_da_Vinci,9,3,42.68627450980392,4,3-4
8,Ya electa con Arroyo como senadora del año 1992 y [[1995]].,Ya electa con Arroyo como senadora del año y,9,3,42.68627450980392,0,3-0
16,Pekín es el capital de [[China]].,Pekín es el capital de China,6,3,42.68627450980392,0,3-0
17,[[Beka Liluashvili]] es un georgiano politico.,Beka_Liluashvili es un georgiano politico,5,3,42.68627450980392,3,3-3
7,El [[concejo]] municipal opera siete comisiones.,El concejo municipal opera siete comisiones,6,3,42.68627450980392,0,3-0
4,El Español es un lenguaje original castellano en [[mundo]].,El Español es un lenguaje original castellano en mundo,9,3,42.68627450980392,2,3-2
6,"Cataluña (""Catalunya"") es un pais de [[España]].",Cataluña es un pais de España,6,3,42.68627450980392,1,3-1
11,Moira Kelly (6 de March de [[1968]]) es una actor es estadounidense.,Moira Kelly es una actor es estadounidense,7,3,42.68627450980392,1,3-1
10,El Martes es el dia entre [[Lunes]] y [[Miercoles]].,El Martes es el dia entre Lunes y Miercoles,9,3,42.68627450980392,0,3-0
9,[[Mamuka Mdinaradze]] es un georgiano politico.,Mamuka_Mdinaradze es un georgiano politico,5,3,42.68627450980392,3,3-3
5,"Anggun Cipta Sasmi (n. [[Indonesia]], 1 de abril de [[1974]]) es un cantante [[Indonesia]].",Anggun Cipta Sasmi es un cantante Indonesia,7,3,42.68627450980392,1,3-1
0, Caracas - es el capital del nacion [[Venezuela]].,Caracas es el capital del nacion Venezuela,7,3,42.68627450980392,0,3-0
1,Su capital ay [[Honolulu]].,Su capital ay Honolulu,4,3,42.68627450980392,0,3-0
2,[[Camila Cabello]] es un cantante,Camila_Cabello es un cantante,4,3,42.68627450980392,1,3-1
3,El designada codigo telefonico y [[PSGC]] .,El designada codigo telefonico y PSGC,6,3,42.68627450980392,0,3-0
5,¿Son ellos parte del [[proyecto]] de Nación?,¿Son ellos parte del proyecto de Nación,7,15,42.46666666666667,0,15-0
3,Atimonan se subdivide político en 42 [[barangay]],Atimonan se subdivide político en barangay,6,15,42.46666666666667,1,15-1
2,De [[la Independencia]] a nuestros días.,De la_Independencia a nuestros días,5,15,42.46666666666667,0,15-0
1,Ciudad de Balanga tiene 25 maga [[barangay]],Ciudad de Balanga tiene maga barangay,6,15,42.46666666666667,1,15-1
0,[[Lela Tsurtsumia]] es un cantante,Lela_Tsurtsumia es un cantante,4,15,42.46666666666667,0,15-0
4,El Tbilisi amo el capital del'[[Georgia]].,El Tbilisi amo el capital delGeorgia,6,15,42.46666666666667,0,15-0
0,Es un empresario y [[político mexicano]].,Es un empresario y político_mexicano,5,14,42.333333333333336,1,14-1
