Unnamed: 0	Number	premise	hypothesis	label
0	1	10 o clock me a touch out fi grand market likkle more enuh	Mi plan fi guh grand market roun 10	entailment
1	2	Thunder and lightning already inna Portmore	Sun a shine bright inna Portmore	contradiction
2	3	Mi hungry bad	Mi tired suh till	neutral
3	4	Di ppl dem pan di road nuh have no weh a go. I need to come off the road. Mi presha	Last week mi an Shane duh road but wi neva av nuff money fi spen	neutral
4	5	Wah, police dem a gwaan wid beer tings	Di police dem deh down deh a drink beer	neutral
5	6	Hungry a kill mi	Tired a kill mi	neutral
6	7	She a diss mi formative years. Mi haffi seh supm	She neva haffi seh nutn	neutral
7	8	Me inna one meeting and me can't concentrate 🥴🙄	Me inna di church and me can't concentrate pon wah di pastor a seh	neutral
8	9	Need fi start sue Jamaican companies fi bad and overpriced service	Mi feel like seh di Jamaican hotel dem price dem nuh too bad	neutral
9	10	A cyaa my madda alone use to pack up clothes wah mi naw wear and give them weh WITHOUT CONSULTING ME.	My madda use to tek mi clothes dem and gi dem weh widdout mi permission	entailment
10	11	Mi Inna my bed, next week UWI see me.	Mi a guh UWI dis evenin	contradiction
11	12	Mi just a sleep dung the place so 😩	Mi a drop a sleep lef right and centre	entailment
12	13	Benz still deh ah di dealership	Toyota still deh a di dealership	neutral
13	14	Yow mi ago buy lotto tomorro	Tomorrow mi a guh buy lotto ticket	entailment
14	15	Mi not even undastan di proverb	Mi nuh fully get weh di proverb a seh	entailment
15	16	Adulting rough me nah lie	Adulting nuh easy at all	entailment
16	17	then it look like me haffi go start mek patty!! a patty and fruits this child wah eat alone	mi need fi learn fi mek patty! fruits and patty is all dis pikney eat	entailment
17	18	Man deven deh a di club and unu cya stop his picture	Mi nuh really tek picture wen mi deh inna di club	neutral
18	19	Mi bak a hat mi	Mi neck a hurt mi	neutral
19	20	As mi reach home mi wah sleep	Once mi reach mi house mi feel tiyad	entailment
20	21	Mi inna mi bed	Mi bed comfortable bad	neutral
21	22	Cyah believe Sting nuh keep again, is like all a di nice tings dem stop gwan when mi finally reach of age	Once yuh reach of age yuh realize seh adulthood is a different ball game	neutral
22	23	Mi sorry seh ano Zuma score  lol	Mi glad seh a nuh Zuma score	contradiction
23	24	Mi jus wake	Mi wake up long time	contradiction
24	25	Meeda like fi know too	Mi nuh wah know	contradiction
25	26	Mi gone back a mi bed gone sleep	Mi a guh back guh sleep	entailment
26	27	Definitely not lol. Dem thing deh a luxury now. Me link the box food shop in a me scheme.	Dem a scheme fi tek di man position but im nah guh mek dem do it	neutral
27	28	All now me nuh reach inna the portmore cinema. Need fi make the trod one of these days.	Mi guh portmore cinema every week from di year start. Mi feel like mi need fi stop guh.	contradiction
28	29	Zack's Smoke Shack a gwaan wid a bag a tings	Zack's Smoke Shack nah gwaan wid nutn	contradiction
29	30	Ukrainian ambassador a push badness inna tha speech yah nuh rawtid.	Ukranian ambassador speech did well tame	contradiction
30	31	I have a test tomorrow and before mi go study mia play Mario Kart🤦🏾‍♀️	Mi naav no more test or exam but mi still a look ova di lecture dem	contradiction
31	32	Bredda dem ah charge ppl $150 and $200 pon taxi from town to trees.	Roun $150 or $200 fi tek a taxi from town to trees	entailment
32	33	Mi neva call no name still..	Mi neva mention nuhbody specific	entailment
33	34	Unu a like the tweet but unu nah answer mi	Unu a answer mi but unu nah like di tweet	contradiction
34	35	Mi jus wah shave off mi eyebrow dem	Mi need fi shave before mi go di people dem event	neutral
35	36	Garbage collector dem fi get nuff money!	Teacha deserve fi get dem pay!	neutral
36	37	Nuff power inna prayer and psalms	Mi know seh mi granny always a pray fi me	neutral
37	38	About 5 fry dumplings deh inna the bag ennuh	Food deh inna di bag	entailment
38	39	In deh crowded.	In deh empty	contradiction
39	40	Di world wah wash off wid coconut water. Jesus.	Yuh heart wah wash off wid likkle coconut wata.	neutral
40	41	2 movies me watch since I got home. Mi have the people dem work fi do innuh.	From mi come home mi a do di people dem work	contradiction
41	42	Yu know seh me still siddung inna de car? Nuh waan go een.	Me siddung a scroll pan mi phone like mi nuh av work a mawnin	neutral
42	43	Better mi neva drink the tea, somehow I feel worse	From mi drink di tea mi feel betta	contradiction
43	44	First time mi a reach home before 6 inna months	Every day since di year start mi reach a mi yaad before 6	contradiction
44	45	Jeff just a jump yah so and deh so	Jeff just stan up one place	contradiction
45	46	Mi really nah feel fi come work Friday enugh	Mi excited fi come a work Friday	contradiction
46	47	Me nah go sleep early fi work again. I miss all the good stuff	Waking up early for work nah guh mek mi sleep weh an miss all weh a gwaan	entailment
47	48	know seh i bake for donjae over a week ago and all now him nuh collect it so that get nyam tonight	Everytime mi bake fi donjae him always quick fi come collect di food	contradiction
48	49	Fi billiasness, drink a likkle search-mi-heart tea	Fi sore troat, chew garlic wid some honey an lime	neutral
49	50	Jason mi deh cook and me nah mek u mek di likkle bickle bun up!	Jason neva eat cook food from da restaurant deh inna im life	neutral
50	51	JUST TOUCH DOWN INNA DI AIRPORT!!! MMMHMM	Just land inna di airport!	entailment
51	52	Mi fraid fi go over deh	Mi fraid fi eat dat	neutral
52	53	Something inna di fry chicken a mek people guh crazy	Di people dem mad ova di fry chicken	entailment
53	54	Di Chile a stare pan me, fraid fi seh sumn	Di pickney not even a look pan me	contradiction
54	55	Dem man ya no work pass sunset lol.	Long time now mi nuh get fi guh work	neutral
55	56	It’s been dry as a crisp now it wah come rain when man inna all white	Nuh rain neva did a fall but now it wah wet mi up when mi a wear full white	entailment
56	57	No paint shop nuh open 😩	All a di paint shop dem open	contradiction
57	58	Mi haffi go wake up early den	Mi need fi get up early den	entailment
58	59	Yuh know seh mi seriously ago invest inna one bicycle	Mi plan fi buy one bicycle	entailment
59	60	One ting bout Jamaicans...we nuh frighten fi celebrity	Jamaican people love fi guh foreign and come back a floss like dem a celebrity	neutral
60	61	One thing bout All That Matters, you will guh fi one ting and lef wid 30	All weh a gwaan mi plan fi buy nuff tings when mi guh a foreign	neutral
61	62	Mi nuh bada waa get married... ever	Mi cyaa wait fi get married	contradiction
62	63	price fi Honda stream gone up yah now	Honda stream dem a get more expensive	entailment
63	64	Dem ah tek libaty wid we...	Dem ah tek wi fi poppyshow...	entailment
64	65	Tbh not being ungrateful but me tired of food now. Me want go blue mountain, rafting and them things deh  tired of  eating I want experiences	Me wah fi experience places like Blue Mountain and do rafting, mi nuh really wah guh nuh more restaurant	entailment
65	66	mi a go get a helper back	mi neva hire a helper inna mi life yet	contradiction
66	67	Me waah some taste good food weh nah go bruck me but me nuh waah nuh rice	Mi love fi go Ribbiz cause dem pasta sell off!	neutral
67	68	Mi wah tek part inna your wedding	Mi wah yuh mek mi do sumn inna your wedding	entailment
68	69	Ready fi guh back a skl	Mi cyaa wait fi guh back a school	entailment
69	70	Mi hate group work dawg	Mi nuh like do group work	entailment
70	71	Long time mi nuh tek mi medicine...	Mi tek two panadol dis mornin	contradiction
71	72	Nah lie, me fully nervous fi da exam ya	Da exam ya nah stress mi. Mi know mi a guh pass	contradiction
72	73	Me waan sleep yah now	Me ready fi gah mi bed	entailment
73	74	Chelsea never cease fi disappoint me	Chelsea neva disappoint mi yet	contradiction
74	75	Mi need money fi the things Wey mi a plan do this holiday 🙁	Mi plan fi do tings weh cost money this holiday	entailment
75	76	We cyaa watch weh everybody else a do. Just haffi do our thing and make them see it.	Haffi guh see da movie deh wen dem release it. Mi hear seh it sell off!	neutral
76	77	Last year dem time ya me just a check inna I love soca	Mi guh I love soca last year	entailment
77	78	This is the worst game me ever watch this season 😂..better me go play some ball inna di morning ya	Dis a di best game mi watch from di season start	contradiction
78	79	A bare apple device inna Starbucks	Nuhbody inna Starbucks nah use nuh Apple device	contradiction
79	80	Match nuh done yet	Match done from long time	contradiction
80	81	Food deh a d house	Nutn fi eat nuh deh a di house	contradiction
81	82	All ah me fren dem ah lose weight and me ah ketch it	Mi fren dem normally guh gym wid mi inna di evening dem	neutral
82	83	Down town nah see me again fi a while. Nope	Mi a guh avoid down town fi now	entailment
83	84	Stop listen zip inna the morning bruv…bare rubbish dem yute ya chat…	Nah guh listen nuh more zip a mornin time cause a bere foolishness dem yute ya chat	entailment
84	85	Mi excited bout ball game lata	Mi nuh really a look fawud to di ball game lata	contradiction
85	86	We need fi send Kirk Wright over deh fi get we some on the scene reporting	Kirk Wright do most a di reporting fi di accident dung a Moore Town	neutral
86	87	A time fi me a get Clarks as present now	Full time now smaddy fi buy mi some Clarks as gift	entailment
87	88	Ready fi wash and rain start fall	Bout fi wash yah now and rain come down	entailment
88	89	Me tired fi talk	Me tired fi tek bus	neutral
89	90	Mi nuh like beg people favors. Not even my parents. Either me dweet miself or mah guh pay someone but beg? Nope	Mi always a beg people favors, especially mi family. If mi nuh affi duh it miself mi a guh ask yuh fi help me	contradiction
90	91	Why squaddie even bother wid that mask?  It ah hold up him chin but nah offer no protection whatsoever	Squaddie mask well secure pon him face. Him nah ramp bout di protection	contradiction
91	92	People dem can hardly sleep wid everything weh a gwan 😩	People a struggle fi rest wid all weh a guh down	entailment
92	93	saw a lot of people I knew yesterday but unnu walk too fast and me nah run dung nuhbody fi seh hi. Sigma is in February.	Neva really si nuhbody wah mi know yesterday	contradiction
93	94	Mi waa cook	Mi waa sleep	neutral
94	95	 mek we guh get some money	mek we guh len ar some money	neutral
95	96	Mi never born inna riches but my children will 👌🏼🙏🏼	Mi born inna riches suh my children a guh rich too	contradiction
96	97	4 panadol mi tek from morning	mi did tek some medicine dis morning	entailment
97	98	Chicken foot fi inna soup!	Chicken foot fi lef outta soup!	contradiction
98	99	Can’t wake early fi go work fi save my life	Mi struggle fi wake up early fi guh work a mornin time	entailment
99	100	One thing wid me me ago wake up inna the middle a the morning	One ting wid me me nah guh wake up till mi alarm ring a 12:30	contradiction
100	101	"I’m not gonna come on here and act like I know how to shop for men because I DON’T. Unu hard fi shop fa and every time we ask wah unu like, unu list the same 5 things. If unu doh know, how me must know??"	Man nuh easy fi shop fa cause dem nuh av nuh likkle variety wid di tings wah dem like. How mi suppose to know wah fi buy if you nuh know weh you waa?	entailment
101	102	Carry me wid you	Bring me wid you	entailment
102	103	is like this government a tease we wid the curfew	The government nah gwaan wid nutn fi di economy	neutral
103	104	Mi feel offended 😭	Mi feel fi some guinep	neutral
104	105	Full time me go shopping fi new clothes	Mi need fi guh get some new curtain	neutral
105	106	Mi want a big box food today.	Mi nuh feel fi eat nuh sushi today	neutral
106	107	Mi yeye dem a go glue on pon dat deh cricket field	Mi a guh watch a cricket match	entailment
107	108	Mi wi drop dung mek dem send mi home enuh	Mi nuh care ow bad tings a gwaan a work mi nah guh do nutn drastic fi risk di likkle job	contradiction
108	109	Mi need fi come go home guh watch this match	Dem play di match yesterday but di home team neva win	neutral
109	110	Mi love dat deh passage deh.	Mi hate dah passage deh.	contradiction
110	111	Mi feel like Drake and Davido a go di deh	Mi feel seh Drake and Davido a guh come	entailment
111	112	Me a di youngest inna the group everybody a at least thirty why dem naah mek me prospa 😩	Mi nuh older dan nuhbody else weh inna di group and dem naah mek me prospa	entailment
112	113	When the man drop foreva, mi did see a growth from the Artist weh nuff artist inna Dancehall neva show before.	The dancehall singer dem nah really put out nuh dancin tune like wah dem used to do inna Bogle days	neutral
113	114	One time me used to kill up mi self fi buy shoes and clothes fi Christmas and now mi juss deh yah	Mi use to always a shop fi clothes when Christmas come but mi nuh really too do dat nowadays	entailment
114	115	Reddit seh mi answer is against guidelines and mi might get ban lmao	Reddit might ban mi cause dem seh weh mi write nuh mesh wid dem guidelines	entailment
115	116	Me seh me tiyad fi a learn	Me love fi learn	contradiction
116	117	Cyaa tell wen last mi see a road ball game inna mi scheme	Long time dem nuh play ball game inna mi scheme 	entailment
117	118	Mi a labourite	Mi support JLP	entailment
118	119	Buff bay soon and mi still deh a Papine. Engine affi go get step out	Mi reach Buff Bay already but mi neva bodda drive chru Papine	contradiction
119	120	Mi nuh know if a how UTech teach it or what, but mi hate SQL and can’t use it to save my life	Nuhbady nuh bad wid SQL like me. Mi love use it	contradiction
120	121	Lef mi mother a di yaad a cook up some oxtail..... come back from ball game to bare plate inna sink and empty pot. Wah cuda cause this	Mi mother did a cook some oxtail before mi guh ball game but she neva lef none fi me	entailment
121	122	Feel fi mac n cheese	Feel fi a cheese cake	neutral
122	123	Guh outside fi hang out two shirts and the mosquito dem nearly nyam mi up	Mi guh out fi put mi clothes dem pon di line and a bere mosquito start bite me	entailment
123	124	"Mi nuh do too much talking. Me say weh me affi say one time and a it dat. 🥂"	From mi seh wah mi seh, mi done talk!	entailment
124	125	Tears nearly come to mi eyes when mi turn up Elizabeth Avenue and see that they resurfaced the road. Mi can finally start driving back there.	Mi glad seh dem fix Elizabeth Avenue. Mi can start use di road again	entailment
125	126	Nuff Toyota rush Deh yah inno.	Mi deh yah and mi nuh really si nuh Toyota rush.	contradiction
126	127	Bredren a tell me bout the company weh him work seh them put rat poison inna the vents to kill some rats, apparently nobody never know how it a guh go when the rat them dead	Bredren seh dem poison di rat dem weh deh inna di vents weh him work wid rat poison but dem nuh know wah fi do bout di dead rat dem	entailment
127	128	Mi actually neva knw smn did appen, oops	Mi actually did know seh sumn appen	contradiction
128	129	Fight fi weh u want never give up ute🌀	Di yute dem a fight up a Halfway Tree	neutral
129	130	Mi have more wata inna my backyard than Mona dam.	Mi backyard flood out.	entailment
130	131	Once a year mi guh church... New years eve	Every week church see mi	contradiction
131	132	De poor man neva last long. Him hair all start pick out	De man bruk suh till him cyaa afford fi trim im hair	neutral
132	133	I swear bruv.. mi nuh see sun since weekend	Di place bleak bad since last weekend	entailment
133	134	Feel fi some cornmeal porridge	Long time mi nuh cook cornmeal porridge	neutral
134	135	Mi nervous	Mi feel calm	contradiction
135	136	Mi seh.   Mi deh yah a struggle to go back to sleep	As mi close mi eye dem mi drop a sleep	contradiction
136	137	Mi feel sick 🤢	Mi nuh feel too too well	entailment
137	138	Mi stop drink!!!😩	Mi nuh drink nuh more!!	entailment
138	139	Watch nice oxtail weh nah cook in a mi house 🤣 mi rada by 8lb a turkey neck wid dah money yah... #disnuhsafe #moveframdeh	Wen me cook di turkey neck it taste betta it dan wen mi sista mek it cause mi use likkle Maggie seasoning	neutral
139	140	Mi miss unu yuh si lol	Mi long fi see unu	entailment
140	141	you affi careful a people weh wah inna everybody friend group	mi neva know seh dem deh inna di same fren group	neutral
141	142	Rain fall and mi bruk mi neck go tek up my clothes. As mi come inside rain stop and sun come out	Rain did a fall but mi leave di clothes pon di line and see it deh di sun end up come out few minutes lata	contradiction
142	143	need a country drive out wid my fren dem	most a mi fren dem live a town	neutral
143	144	From wah day me nuh stop screenshot (press gas and brake at the same time) me car when me a park	From wah day deh me a struggle fi park cause dem parking lot always full	neutral
144	145	Flow just da same, can't believe mi a say dis, but WhatsApp calling a get better dan digicel n flow to how dem get horrible	Whatsapp calling look like it a get better dan Flow and Digicel di way how two a dem terrible	entailment
145	146	Mi hungry and mi cya bother get up go look bout anything	Mi feel fi some coconut wata fi drink	neutral
146	147	Me nah eat ntn weh nuh cook inna canteen	Mi eat canteen food	entailment
147	148	Have some packages fi collect a ShipMe and mi nuh hve any money.	Mi get pay last week so mi have nuff money fi spen	contradiction
148	149	Feel fi sum pasta tonight! #ribbiz	Mi wah eat pasta tonight	entailment
149	150	Cyaa bodda wid dem headache ya enuh	Tiyad fi me head a hurt me now	entailment
150	151	Mi devn use Facebook like dat.	Mi eva a use Facebook	contradiction
151	152	Mi seh, people presumptuous bad enno!!	Mi nuh feel seh people need fi stay suh	neutral
152	153	Wax off a whole tilapia, plate of rice and peas, pasta salad, and some veg.... you know seh all mi wah duh yah now ah sleep 😩	Mi eat off a big plate a food so right now a piece a tiyadness a lick mi fi six	entailment
153	154	My mother mek sorrel and put inna the fridge but she nuh out no sugar or rum inna it yet. Mi go pour out and taste it 😭😭😭😭😭😭😭	My mother mek sorrel and put it inna the fridge but she put too much sugar in deh. Mi jus drink some an waa bawl di way how it taste bad	contradiction
154	155	U have some really hateful ppl inna d workplace	Di heat dung a mi workplace bad	neutral
155	156	Mi nuh care honestly	It nuh really matta to mi	entailment
156	157	Mi know at least 5 ppl weh birthday a today	Mi nuh know nuhbody who born today	contradiction
157	158	If somebody Nuh inna yuh them just nuh inna yuh. Doe try force them to feel otherwise.	If smaddy nuh like yuh dem nuh like yuh. Yuh nah guh change dem mind	entailment
158	159	Da fan deh really angry	Da fan deh look like im a see red	entailment
159	160	Teachers in college really feel like seh a some pickney dem a deal wid enuh	Some a di college teacher dem bring dem pickney wid dem come a work	neutral
160	161	Man dem a force fi make brown the highlight of this game eh.	Brown neva play inna di game dem weh dem keep up a stadium before	neutral
161	162	Croatia unnu gwaan too good inna group stage fi come knockouts and fumble.	Croatia fumble di ting inna di group stage	contradiction
162	163	Mi just hold mi card and show dem di symbol	Mi plan fi apply fi get a new credit card	neutral
163	164	Cyaa wait fi grow out my hair likkle more	Cyaa wait fi braid mi hair	neutral
164	165	Mi nuh have cable a bush me live inna so try record and send me it	Mi nuh live a town suh mi nuh av nuh cable suh jus record it and send me	entailment
165	166	Dem wine like wire, spin like gig	Everybady siddung one place	contradiction
166	167	Cyah par wid nobody weh shame fi walk wid mi a road, sorry.	Mi a walk guh school from mi a guh St. Jago Prep	neutral
167	168	This makes me soo angry. The amount of ppl dat must have auditioned.. THE LEAST dem coulda do was pic sumbody wid locs.	The audition dem end up last fi bout six hour.	neutral
168	169	Next time you see the Salvation Army pan juss mek sure you remember that moment and drop extra inna it.	Salvation Army dem always deh outside a Sovereign suh mi drop sumn inna dem pan now an again	neutral
169	170	Know da song deh, word fi word	Mi neva hear a song deh inna mi life	contradiction
170	171	Me ready fi a relationship me serious this time .🙄	Me still nuh feel ready fi a relationship. Affi focus pon miself right yah now	contradiction
171	172	Big man yah star. Nuh bother wid that.	Di man ova deh suh use to sell Gleaner and Star	neutral
172	173	Inna traffic suh til me wah sleep	Inna di traffic suh till me tiyad	entailment
173	174	Mi have work later	Mi completely free later	contradiction
174	175	Mi annoyed bad bad. Tired of this.	Mi waa sleep bad bad	neutral
175	176	She ah mi bess bess fren	She an me nuh really close	contradiction
176	177	Mi doh have it!	Mi have it!	contradiction
177	178	Insecurities ah reach mi.	Mi nuh feel too too confident	entailment
178	179	Mi kinda want overtime inna dah game yah #GameDay #RamsvsBengals	Mi waa dem avoid overtime fi dah game yah	contradiction
179	180	One thing wid me, me ago look nice when me put myself together.	One thing wid me, nuh matta how me put myself together mi still a guh look a way	contradiction
180	181	The pizza delivery guy call me and seh mek sure mi deh outta door when him reach 🥴	Di man come a mi gate while mi outta door	neutral
181	182	Ano everybody fi know weh yuh live.	Yuh fi keep weh yuh live private	entailment
182	183	Tired fi spend money	Glad fi spend up mi money	contradiction
183	184	Mi delete di tweet; done wid politics fi di night. Gone watch Brooklyn nine nine	Mi nah guh delete di tweet. Mi seh wah mi seh.	contradiction
184	185	Sun rise and me jus have the intention fi go sleep	Mi drop a sleep from yesterday inna di evening	contradiction
185	186	Mi stress out	Mi stress bad	entailment
186	187	Him sing one tune two times, when teacha run out wid a million songs!	Him nuh repeat none a him song dem, not one a dem play two time	contradiction
187	188	None-stop motion an commotio ova Dina yaad mi chile!	Dina guh dung a Mandeville guh visit ar mada laas week	neutral
188	189	Me a dead fi hungry	Mi a starve	entailment
189	190	Man dem a make moonshine inna Jamaica 🤣	Man dem nah make nuh moonshine inna Jamaica	contradiction
190	191	Mi feel like me a go japasleep inna the pageant	Mi well alert fi da pagaent ere	contradiction
191	192	Mi a vegan.	Mi love fi nyam mutton wen Christmas come	contradiction
192	193	Me download fifa lastnight and nuh have nuh vibes fi go work this morning 😭	Me cousin dem love fi play fifa wid me wen mi visit dem	neutral
193	194	Stop make people diss unnuh and come back and seh sorry. Dem a go dweet again	If somebody diss unnuh unnuh fi diss dem back!	neutral
194	195	All now mi nuh study two lines good	Mi barely start study	entailment
195	196	Mi deh airport already a wait	Mi nuh reach di airport yet	contradiction
196	197	Siddung inna de car inna mi driveway and cyaa come out	Mi fren tell me seh she lose har work	neutral
197	198	Me seh! Up to now this Chris Rock situation still a bun me !	All now mi still upset bout di Chris Rock situation	entailment
198	199	Mi head a hot me just thinking about the gas prices already right across and JPS will be snickering....	Dem raise di gas price dem bou 6 time ova di past year. Dem nuh tired fi a increase di price now? Mi pocket cyaa deal widdit.	neutral
199	200	mi excited bad for tonight	mi a look fawud to tonight	entailment
200	201	We haffi try mek sense inna di nonsense. Forward	Bere nonsense dem did a chat afta di ball game done	neutral
201	202	Mi a tell you sleep a kill mi but mi a go unruly	Mi too tiyad fi go unruly	contradiction
202	203	Waking up pon mi hillside inna Mobay wid likkle cool breeze a beat me. Nothing nuh beat dat	Mi nuh too like fi feel di cool breeze inna di hillside up inna Mobay	contradiction
203	204	Unruly fest never need the international artists as much as you all think. Cause most a unuh only frighten fi foreigner	Unruly fest did really need di international artist dem. Dem did a gwaan wid bere tings	contradiction
204	205	"So UWI really a try mess with me inna exam time! Mi kindly tell dem that they will see me bright and early Tuesday morning after my exams unless dem waan give me back my tuition cuz i could do well with half a mill for the holiday."	UWI still nuh done mark di exam dem weh wi do from way back inna December. Mi feel like seh mi a waste mi tuition due to how dem love ramp wid we. Mi tiyad a dem!	neutral
205	206	Mi just feel nice n comfortable inna me skin this morning sis.. like me soul and body bathe good.. 🤣🤣🤣	Mi feel fi eat some soul food wen mi guh dung a mi auntie	neutral
206	207	Him no see seh mi can’t buy gas at $210, how mi a go afford 400	Chicken patty cost $210 down a Juicy Beef a UWI. By time mi graduate dem goodly raise di price to $400	neutral
207	208	Man dem tun everything inna joke 🤣	Man dem tek everything serious	contradiction
208	209	Glad him fly the gate. Still a go wear my mask tho cause that weh him just seh nay mek sense but… vibes.	Happy seh tings open up but mi still a guh wear mi mask cause weh him seh neva really mek sense	entailment
209	210	Mi outfit did cute tonight 😬😬😬	Mi outfit did sell af tonight	entailment
210	211	Mi naav nuh energy fi argue wid nobody bout anything !	Mi too tiyad fi argue wid people bout anything	entailment
211	212	Next Black Friday mi a treat myself to a switch 😭	Mi a guh buy myself one switch when Black Friday come again	entailment
212	213	As you get a likkle work and start make a little money, your parents start tell you how fi spend YOUR money	If yuh a work an mek money yuh haffi share some a it wid you parents	neutral
213	214	Mi seet clear seh the police dem give up.	All wah gwaan mi feel like di police dem still a try	contradiction
214	215	Mi just nuh inna the excitement mood and sumn	Mi tiyad fi hear dah song deh	neutral
215	216	Rashford deh pon a piece a form deh	Rashford a play since him inna third form	neutral
216	217	My thoughts exactly! Dem nuh business wid we enuh	Dem nah guh shut down di business	neutral
