	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Long tingting bilong ol, i olsem dispela raskol i dai pinis.*	That condemned criminal is as good as dead.*	(Genesis 6:1-4) The offspring, known as Nephilim, were men of extraordinary size and fame.	555	7	False	1
1	Tasol gutpela samting olsem ren i pundaun taim ol i kamapim Baibel New World Translation long tokples Tsonga.”	However, the rains came down with the release of the New World Translation in Tsonga.”	[Picture Credit Line on page 24]	766	685	False	1
2	Taim yumi mekim olsem, dispela i soim olsem yumi onarim ol na laikim ol.	That would be part of showing them honor and love.	“Oh, Mummy, I’ll have the books thank you,” I responded.	840	724	False	1
3	Na long strong bilong yu yet yu stiaim wokabaut bilong mipela na bai yu bringim mipela i go long gutpela ples yu makim bilong yu yet i ken i stap long en. . . .	And in the abundance of your superiority you can throw down those who rise up against you; you send out your burning anger, it eats them up like stubble. . . .	▪ What steps will I take to do this?	113	867	False	1
4	4 Sapos yu wokim wanpela bung olsem, na yu bosim dispela bung, maski yu singautim tasol sampela wanbilip i kam long wanpela kaikai na stori wantaim ol, yu mas tingim gut ol samting yu laik mekim.	4 If you are arranging such a gathering and are responsible for it, you should think through what is planned, even if you are inviting just a few believers for a meal and friendly conversation.	Consider the Evidence	104	384	False	1
5	Kirap long 1945 na i kam inap long nau, ol woa i stap long ol wan wan hap, tasol planti man i dai wankain olsem long ol bikpela woa.	Since 1945, wars have been more localized but just as brutal.	Scriptural Questions Answered:	491	528	False	1
6	12 Ating tok profet bilong Maika 1:​3, 4 i kirapim yu long tingim narapela tok profet i stori long ol samting nogut bai kamap long graun.	12 The prophetic words of Micah 1:3, 4 may remind you of another inspired prophecy foretelling disastrous events on earth.	To my surprise, the youth came right up to me and said: “Forgive me for what happened last night.	776	83	False	1
7	Hevi Bilong Baim Takis	The Burden of Taxes	“Babes as to Badness”	218	38	False	1
8	Tok bilong ol inap mekim na kongrigesen i bruk bruk.	Their mouth, indeed, can cause a division in the congregation.	“The lion’s mouth” from which Paul was rescued may have been literal or figurative.	795	540	False	1
9	Yangpela Meri i Stap Stret	A Chaste Young Woman	Would You Welcome a Visit?	768	181	False	1
