Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
[' ', 'Everi', 'bodi', 'blong', 'hem', 'oli', 'kat', 'uses', ',', 'studi', 'i', 'sowem', 'se', 'North', 'Tanna', 'hemi', 'wan', 'long', 'island', 'long', 'Vanuatu', 'i', 'stap', 'lead', 'long', 'sandlewood', 'after', 'long', 'eromango', '.']	[14]	Tanna	Q378281	[20]	Vanuatu	Q686	P706
['I', 'long', 'Hungary', ',', 'Romania', ',', 'Bulgaria', ',', 'Not', 'Masedonia', ',', 'Albania', ',', 'Bosnia', '&', 'Herzegovina', '.']	[4]	Romania	Q218	[6]	Bulgaria	Q219	P47
['I', 'long', 'Hungary', ',', 'Romania', ',', 'Bulgaria', ',', 'Not', 'Masedonia', ',', 'Albania', ',', 'Bosnia', '&', 'Herzegovina', '.']	[6]	Bulgaria	Q219	[8, 9]	Not Masedonia	Q221	P47
['I', 'long', 'Netherlands', ',', 'Jemani', ',', 'Luxembourg', ',', 'Franis', '.']	[4]	Jemani	Q183	[8]	Franis	Q142	P47
['Iolu', 'Abil', '(', 'Tanna', ',', '1942', ')', 'i', 'presiden', 'blong', 'Vanuatu', '.']	[3]	Tanna	Q378281	[10]	Vanuatu	Q686	P17
['Abbas', 'Kiarostami', '(', 'bon', 'long', '22', 'Maj', '1940', 'long', 'Tehran', '–', 'bin', 'ded', 'long', '6', 'Septemba', '2016', 'long', 'Paris', 'long', 'Franis', ')', ',', 'em', 'i', 'bin', 'wan', 'muvi', 'daerekta', 'blong', 'Iran', '.']	[18]	Paris	Q90	[20]	Franis	Q142	P17
['Lemahrejo', 'hem', 'i', 'taon', 'long', 'Is', 'Java', ',', 'Indonesia', '.']	[5, 6]	Is Java	Q3586	[8]	Indonesia	Q252	P17
['I', 'long', 'Latvia', ',', 'Rusia', ',', 'Poland', ',', 'Belarus', '.']	[2]	Latvia	Q211	[8]	Belarus	Q184	P47
['I', 'long', 'Rusia', ',', 'Jaena', ',', 'Kirgistan', ',', 'Asbekistan', ',', 'Tukmenistan', '.']	[4]	Jaena	Q148	[6]	Kirgistan	Q813	P47
['I', 'long', 'Rusia', ',', 'Jaena', ',', 'Kirgistan', ',', 'Asbekistan', ',', 'Tukmenistan', '.']	[6]	Kirgistan	Q813	[8]	Asbekistan	Q265	P47
['I', 'long', 'Rusia', ',', 'Jaena', ',', 'Kirgistan', ',', 'Asbekistan', ',', 'Tukmenistan', '.']	[8]	Asbekistan	Q265	[10]	Tukmenistan	Q874	P47
['Tambakboyo', 'hem', 'i', 'taon', 'long', 'Is', 'Java', ',', 'Indonesia', ',', 'hem', 'i', 'wan', 'taon', 'we', 'kolosap', '29,000', 'man', 'oli', 'stap', 'long', 'hem', 'yia', '2005', '.']	[5, 6]	Is Java	Q3586	[8]	Indonesia	Q252	P17
['I', 'long', 'Albania', ',', 'Not', 'Masedonia', ',', 'Bulgaria', ',', 'Turkey', '.']	[4, 5]	Not Masedonia	Q221	[7]	Bulgaria	Q219	P530
['Tru', 'Jisas', 'Jioj', 'i', 'indipenden', 'jioj', 'wes', 'setemap', 'i', 'Beijing', ',', 'Jaena', 'i', '1917', '.']	[9]	Beijing	Q956	[11]	Jaena	Q148	P36
['I', 'long', 'Ostria', ',', 'Hungary', ',', 'Hungary', ',', 'Croatia', ',', 'Itali', '.']	[2]	Ostria	Q40	[10]	Itali	Q38	P47
['I', 'long', 'Slovakia', ',', 'Ukraine', ',', 'Romania', ',', 'Serbia', ',', 'Croatia', ',', 'Slovenia', ',', 'Ostria', '.']	[2]	Slovakia	Q214	[14]	Ostria	Q40	P47
['I', 'long', 'Slovakia', ',', 'Ukraine', ',', 'Romania', ',', 'Serbia', ',', 'Croatia', ',', 'Slovenia', ',', 'Ostria', '.']	[12]	Slovenia	Q215	[14]	Ostria	Q40	P47
['Gustav', 'Mahler', '(', 'bon', 'Kalischt', '(', 'tede', 'nem', 'blong', 'em', 'Kalište', ')', ',', 'Bohemia', ',', '7', 'Julae', '1860', ';', 'bin', 'ded', 'long', 'Vienna', ',', '18', 'Mei', '1911', ')', 'em', 'i', 'bin', 'wan', 'man', 'blong', 'miusik', 'blong', 'Ostria', '.']	[22]	Vienna	Q1741	[36]	Ostria	Q40	P17
['I', 'long', 'Rasia', ',', 'Lithuania', ',', 'Belarus', ',', 'Ukraine', ',', 'Slovakia', ',', 'Jek', 'Ripablik', ',', 'Jemani', '.']	[2]	Rasia	Q159	[6]	Belarus	Q184	P530
['I', 'long', 'Rasia', ',', 'Lithuania', ',', 'Belarus', ',', 'Ukraine', ',', 'Slovakia', ',', 'Jek', 'Ripablik', ',', 'Jemani', '.']	[2]	Rasia	Q159	[10]	Slovakia	Q214	P530
['I', 'long', 'Rasia', ',', 'Lithuania', ',', 'Belarus', ',', 'Ukraine', ',', 'Slovakia', ',', 'Jek', 'Ripablik', ',', 'Jemani', '.']	[6]	Belarus	Q184	[10]	Slovakia	Q214	P530
['I', 'long', 'Rasia', ',', 'Lithuania', ',', 'Belarus', ',', 'Ukraine', ',', 'Slovakia', ',', 'Jek', 'Ripablik', ',', 'Jemani', '.']	[10]	Slovakia	Q214	[12, 13]	Jek Ripablik	Q213	P47
['Wol', 'Wo', 'Tu', 'hemi', 'wan', 'bigfala', 'wo', 'we', 'hemi', 'tek', 'ples', 'long', '1939', 'kasem', '1945', 'bitwin', 'ol', 'Allis', '(', 'Inglan', ',', 'Amerika', ',', 'USSR', ',', 'Jaena', 'mo', 'ol', 'fren', 'blong', 'trifala', ')', 'mo', 'Aksis', '(', 'Jemani', ',', 'Japan', 'mo', 'ol', 'fren', 'blong', 'tufala', ')', '.']	[25]	Jaena	Q148	[35]	Jemani	Q183	P530
['Wol', 'Wo', 'Tu', 'hemi', 'wan', 'bigfala', 'wo', 'we', 'hemi', 'tek', 'ples', 'long', '1939', 'kasem', '1945', 'bitwin', 'ol', 'Allis', '(', 'Inglan', ',', 'Amerika', ',', 'USSR', ',', 'Jaena', 'mo', 'ol', 'fren', 'blong', 'trifala', ')', 'mo', 'Aksis', '(', 'Jemani', ',', 'Japan', 'mo', 'ol', 'fren', 'blong', 'tufala', ')', '.']	[25]	Jaena	Q148	[37]	Japan	Q17	P530
['Wol', 'Wo', 'Tu', 'hemi', 'wan', 'bigfala', 'wo', 'we', 'hemi', 'tek', 'ples', 'long', '1939', 'kasem', '1945', 'bitwin', 'ol', 'Allis', '(', 'Inglan', ',', 'Amerika', ',', 'USSR', ',', 'Jaena', 'mo', 'ol', 'fren', 'blong', 'trifala', ')', 'mo', 'Aksis', '(', 'Jemani', ',', 'Japan', 'mo', 'ol', 'fren', 'blong', 'tufala', ')', '.']	[35]	Jemani	Q183	[37]	Japan	Q17	P530
['Giovanni', 'Pierluigi', 'da', 'Palestrina', 'o', 'Palestrina', '(', 'boen', 'long', 'Palestrina', ',', '(', 'c.1525', '–', '2', 'Febuwari', ',', '1594', 'long', 'Rome', ')', 'em', 'i', 'bin', 'wan', 'impoten', 'man', 'blong', 'miusik', 'blong', 'Renaissance', 'blong', 'Itali', '.']	[19]	Rome	Q220	[32]	Itali	Q38	P36
['Samuel', 'Langhorne', 'Clemens', 'o', 'Mark', 'Twain', '(', '30', 'Novemba', '1835', '–', '21', 'Epril', '1910', ')', ',', 'em', 'i', 'bin', 'wan', 'impoten', 'raeta', '(', 'man', 'blong', 'litorasa', ')', 'blong', 'Yunaeted', 'Stet', 'blong', 'Amerika|Amerika', '.']	[4, 5]	Mark Twain	Q7245	[28, 29, 30, 31]	Yunaeted Stet blong Amerika|Amerika	Q30	P27
