	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Chwazi sa a Inivèsite vle di opòtinite abondan pou pran ekspètiz pwofesyonèl ak pouswit karyè.	Petite (7520) 	Une excuse sincère peut dissiper une source potentielle de conflit et ouvre la voie au pardon véritable et à la solution du problème.	19	826	False	0.56239617
1	Imajine David, hap li nan men l, k ap medite e k ap chante pawòl sa yo : “ Jewova prepare pa yon gason vanyan, e Li pran plezi nan chemen l.	Mais nous ne devrions pas donner une signification symbolique à un récit si rien dans la Bible ne nous permet de le faire. » La Bible ne dit pas que les villes de refuge devaient représenter quelque chose de plus important, autrement dit être un antitype, dans l’avenir.	Dans ce nouveau cadre de vie, j’ai trouvé l’équilibre entre le soutien et la liberté dont j’avais besoin.	375	251	False	0.51390564
2	Devlopman fòmil, UN machin kous	Christ sait que chacun de ses serviteurs oints peut rester fidèle et recevoir la merveilleuse récompense.	L’événement est décrit sous l’angle de la puissance divine en action ”.	139	808	False	0.6020911
3	8 」Apre Peman Nou Èske Dispatch Materyèl Menm lè	Expo du monde numérique iWorld 	Traduit en d'autres langues supportées par vBET Traducteur 4.10.1 	482	290	False	0.46174836
4	Pou nou jwenn istwa lavi kèk nan frè sa yo, gade atik ki vin apre yo ki te parèt nan Toudegad: Thomas J. Sullivan (15 out 1965, anglè); Klaus Jensen (1ye septanm 1971, fransè); Max Larson (1ye septanm 1989, fransè); Hugo Riemer (15 septanm 1964, anglè); ak Grant Suiter (1ye desanm 1983, fransè).	Recommander à base d’eau, encres à base d’eau de peintures décoratives, impressions Textile. 	Et ne l’oublie jamais, « celui que Jéhovah aime, il le reprend, comme un père reprend le fils en qui il prend plaisir ».	179	683	False	0.37600422
5	Aizen	DOROTA, Témoin de Jéhovah ministre à plein temps en Pologne, accompagne son fils de 14 ans à l’infirmerie de son école pour une visite de routine.	Tester: 	551	629	False	0.484334
6	vle di efektivman diminye fil nan fatra ak amelyore productivity.This seri se teknoloji useddigital reyalize modèl yo oftransfer, Tuck, pointelle, intarsia, jakar, aparan mete, kache mete ak lòt fonksyon modèl regilye kitting, li alsocan brode iregilye milti-koulè jakar, intarsia, kab ak estrikti pointelle modèl.	Ils avaient même des relations immorales avec des femmes qui se rendaient au tabernacle !	17 Si, dans au moins un de ces domaines, un certain divertissement ne satisfait pas aux normes bibliques, il échoue au test.	12	40	False	0.42249703
7	Pou echantiyon lòd pi ba a USD500, paypal se OK, pi wo a USD500, nou sèlman aksepte TT, L / C, asirans komès	Pièces: 51,604 Mots clés: Zevo, Zevo Jeux 	"Apprendre RHCE Course à Gurgaon. Inscrivez-vous pour Formation RHCE à Gurgaon in meilleure entreprise de formation ""Innovative Technology Solutions"" et obtenir Certification RHCE. Obtenez des détails sur les frais de cours, le programme, la durée, les horaires des lots. "	79	200	False	0.2645805
8	3 Wi, se Toudegad ki gen atik etid yo!	Pour hommes: La poudre de laurate de nandrolone n’est pas approuvée chez l’homme. Les directives de prescription ne sont pas disponibles. Lorsqu'elle est utilisée à des fins d'amélioration du physique ou de la performance, une dose de 200-400 en mg, administrée tous les jours 7-10, est généralement prise en cycles de 8 à 12, en semaines. Ce niveau est suffisant pour que la plupart des utilisateurs remarquent des gains mesurables en masse musculaire maigre et en force, qui doivent être accompagnés d'un faible niveau d'activité œstrogénique et androgène. Des doses plus élevées (mg 450-600 tous les jours 7-10) conféreront un effet anabolique plus fort, mais peuvent s'avérer difficiles en raison de la concentration relativement faible de ce stéroïde. Au lieu de cela, beaucoup optent pour associer cet agent à d'autres stéroïdes anabolisants / androgènes . Compte tenu de ses propriétés, il semble bien convenir à la fois au groupage et à la coupe, et peut remplacer raisonnablement le Deca-Durabolin plusieurs fois. 	Ensemble de PCB personnalisé de microcontrôleur à simple carte[May 17, 2017] 	725	22	False	0.42820942
9	8 “Men espwa mwen gen nan Bondye”	Polonais commercial Telewizja Puls élargit sa distribution en haute définition (HDTV). 	Liés 30/12/2011: Haïti: les membres du Conseil électoral déclenché par le décret présidentiel 	529	526	False	0.42764556
