	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	5 Namba 1, sapos man i tingting planti tru long pasin nogut i stap long dispela graun, ating sampela samting nogut i bin painim em yet o wanpela long famili bilong em.	What Did You Learn?	12 Lands and PeoplesA Visit to Azerbaijan	695	605	False	0.42811155
1	Taim mi go bek long haus, famili bilong mi i lukim olsem dispela trening mi kisim i bin helpim mi gut.	In the parable, all the virgins responded to the nighttime shout: “Here is the bridegroom!”	12 Lands and PeoplesA Visit to Azerbaijan	159	605	False	0.55321276
2	Pasin Bilong Senisim Tingting —YU MAS MEKIM	“Let each one keep seeking, not his own advantage, but that of the other person.”​—1 Corinthians 10:24.	WATCHING THE WORLD	864	771	False	0.5480733
3	YIA MI BON: 1941	Eventually, José decided to change his lifestyle and took a serious interest in studying the Bible.	We show ourselves gracious by willingly forgiving even when we have “a cause for complaint against another.”	432	791	False	0.6946207
4	Narapela memba bilong komiti i save go wantaim mi olgeta taim.	(Psalm 1:1, 2) Reading God’s Word daily will bring us the “happy” result of being truly refreshed and reinvigorated, prepared to continue our Christian course.	Seeing that “Jehovah was with David,” says the Bible, “Saul came to be an enemy of David always.”	632	443	False	0.6786809
5	Ol kongrigesen sevan i mekim wanem ol wok bilong helpim kongrigesen long i stap wanbel?	You see, I suffer from a condition called osteogenesis imperfecta, better known as brittle bone disease.	12 Lands and PeoplesA Visit to Azerbaijan	523	605	False	0.618721
6	Olsem, sampela taim bikpela hevi i kamap na ol brata long ol Hospital Lieson Komiti i mas lusim slip na kirap i go lukim brata o sista long haus sik samting.	(Jeremiah 17:9; Ephesians 2:12; 4:18; Colossians 1:21) To gain God’s friendship, we must learn to pattern our thinking after God’s ways.	1, 2. (a) What did some religious leaders want to know, and how did Peter respond?	44	569	False	0.5070013
7	Ol i tok ol wan wan hap o “haus long heven,” em ol ples bilong sampela god.	(Psalm 26:12; Luke 2:36, 37) Meetings are an important way in which we are fed spiritually.	He added that no one can gain salvation by his own efforts.	126	530	False	0.4432124
8	Jehova i harim toktok bilong tupela, na em yet i bekim tok bilong helpim Moses.	Life Story	Proper discipline can help.	388	675	False	0.49425673
9	Nehemia i makim planti famili bilong mekim dispela bikpela wok bilong stretim bek banis, na olgeta famili i wok gut wantaim.* Em i makim olsem 40 narapela narapela lain na olgeta wan wan lain i stretim wanpela “hap bilong banis.”	You benefit yourself, and you delight Jehovah and your fellow Christians!​—Ps. 110:3.	1, 2. (a) What did some religious leaders want to know, and how did Peter respond?	909	569	False	0.62269163
10	Em i kolim ol stori olsem, “stori bilong Adam na Iv, Kein na Abel, Devit na Goliat, mama i karim Jisas, Sakius em man bilong kisim takis, stori bilong pikinini i lusim papa, na man Samaria.”	To the east, he seems to have reached Babylon, and he probably finished his days in the west, at a Greek colony in what is now southern Italy.	12 Lands and PeoplesA Visit to Azerbaijan	208	605	False	0.45323157
11	Bagarap i bin kamap long taim ol Juda i no stap gut long Jehova na em i no lukautim ol moa​—⁠em i larim ol Babilon i kam na bagarapim Jerusalem na kisim ol lain bilong en i go kalabus.	A pioneer named Janeen explains: “Each time I have an opportunity to teach the truth to others, I feel that a deeper impression of these truths is engraved on my mind and heart.	She is to be silent in the sense of not getting into disputes with a man.	735	408	False	0.5860497
12	[Blok/Ol Piksa long pes 22]	(James 3:17) His laws are superior to all others.	Father and Mother died in 1961, but Father’s wise words still ring in my ears; they have encouraged and comforted me throughout my years of service.	766	551	False	0.39012825
13	Tasol sampela i stap, olsem na yumi inap bihainim ol samting Gideon i bin mekim.	What warning did Jehovah give the Israelites shortly before they entered the Promised Land?	WATCHING THE WORLD	863	771	False	0.43976665
14	Dispela man i laik helpim yu na em i laik bai yu stap amamas.—Stiatok bilong Baibel: Song 141:5.	During such periods, nobody could become patriarch against the emperor’s will or remain so for long.	• What helps us to control our speech?	54	420	False	0.44670486
15	Ulrich Luz em wanpela saveman long Swiselan i tok, long nau ol saveman bilong Baibel i kamapim tingting bilong ol long dispela tok Jisas i mekim long Pita.	Jesus foretold that this wicked world would be brought to an end so that a better world could begin.	Proper discipline can help.	361	675	False	0.50743926
16	18 Taim strongpela ami bilong ol Asiria i kam insait long Juda na tok long bagarapim Jerusalem long yia 732 B.C.E. samting, King Hesekia i beten olsem: “God, Bikpela bilong mipela, nau mi laik bai yu helpim mipela na kisim bek mipela . . . na bai olgeta lain manmeri bilong graun i ken save gut olsem, yu tasol yu Bikpela.”	But the cold bore into us relentlessly all the same.	(1 Chronicles 29:14; 1 Timothy 6:17, 18) In fact, the weightier our responsibilities, the more humble we need to be.	203	299	False	0.5263512
17	Na olsem wanem long tupela pikinini man bilong Aron, em Nadap na Abihu?	(Matthew 19:19) Work on developing healthy self-respect.* Enduring mistreatment will not help you to do that.	12 Lands and PeoplesA Visit to Azerbaijan	14	605	False	0.46642375
18	Taim yumi wok oltaim long kisim ol kaikai bilong spirit “long taim bikman i makim”​—⁠long ol buk Kristen, ol miting, na ol kibung​—⁠yumi ken save dispela bai mekim yumi stap “wanbel” wantaim ol wanbilip long bilip na stretpela save.​—⁠Matyu 24:⁠45.	Imagine the mother’s crushing grief.	12 Lands and PeoplesA Visit to Azerbaijan	702	605	False	0.61112666
19	YU BIN ritim hap bilong niuspepa i kamapim nem bilong ol man i bin i dai, o ritim stori bilong wanpela man i dai pinis na ol bikpela wok em i bin mekim?	I was rather apprehensive, wondering what he might be up to.	12 Lands and PeoplesA Visit to Azerbaijan	957	605	False	0.74613655
20	Em wantaim man bilong em Joachim i ritim ol buk i stori long wok bilong ol spirit nogut, na ol i save gut long ritim ol kas tarot.	(Acts 7:22) Instead, Moses chose to be “ill-treated with the people of God.”	The islands, or atolls, each average about a square mile [2.5 sq km] in area.	926	473	False	0.34374976
21	Olsem na ol i kisim em taim ol i wok long painim ol yangpela meri, na ol i rausim em long Mordekai na bringim em i go long haus king long hapsait bilong wara.	The emotion of romantic love and the ecstasy enjoyed between a man and a woman are gifts from God.	12 Lands and PeoplesA Visit to Azerbaijan	341	605	False	0.50148
22	Em i tok: “Mi go stap long wanpela liklik haus we i no gat frits, TV, o rot bilong kisim Intenet.	What Happens After Death? 3	Loving-kindness, or loyal love, had almost disappeared​—like the morning mist that quickly vanishes with the rising of the sun.	950	511	False	0.54283607
23	Mi beten askim Jehova long lusim rong bilong mi na long givim strong long mi long bihainim stretpela rot.	11 Jehovah’s long-suffering in dealing with the faithless nation of Israel provides further insight into how he looks for the good in his people.	1, 2. (a) What did some religious leaders want to know, and how did Peter respond?	377	569	False	0.677683
24	Mi ritim stori bilong ol planti taim, na long tingting bilong mi i olsem ol i stap laip.	Illustrate.	Why do some not accept Bible-based counsel about selecting a mate, yet to what could this course lead?	49	201	False	0.6034703
25	Jisas i bekim tok olsem: “Ol man i no gat sik ol i no save go lukim dokta, tasol ol sikman ol i save go lukim dokta.	Everything about the castle​—its multicolored relief sculptures of winged bulls, archers, and lions of glazed brickwork, its fluted stone columns and imposing statues, even its position atop huge platforms near the snowcapped Zagros Mountains and overlooking the pure waters of the river Choaspes—​was designed to remind each visitor of the immense power of the man whom she was going to see, the one who called himself “the great king.”	The land of Magog refers to the vicinity of the earth, to which Satan and his demons are confined.​—John 12:31; Revelation 12:7-12.	577	977	False	0.6228509
26	Maski i olsem, yumi bilip tru long ol tok promis bilong God long gutpela laip long bihain.	“The sun of righteousness,” Jesus Christ, shines forth upon those reverentially fearing God’s name, and they enjoy Jehovah’s favor.	Loving-kindness, or loyal love, had almost disappeared​—like the morning mist that quickly vanishes with the rising of the sun.	187	511	False	0.51933706
27	Taim yu baim samting long stua, stretim haus, o skelim pe bilong ol kopra samting yu save yusim matematiks.	(Proverbs 4:23) In making his decision regarding birthstones, each Christian would do well to consider his motive and the possible effects of his course on himself and others.​—Romans 14:13.	We show ourselves gracious by willingly forgiving even when we have “a cause for complaint against another.”	403	791	False	0.5368749
28	Na sapos mi givim olgeta samting bilong mi long ol rabisman, na sapos mi larim ol man i holimpas mi na kukim bodi bilong mi long paia na mi dai pinis, tasol sapos mi no bin givim bel bilong mi long ol, orait dispela olgeta pasin bilong mi bai i no inap helpim mi liklik.” (1 Korin 13:​1-3) Tru tumas, pasin bilong givim bel, olsem pasin laikim, em i bikpela samting bambai God i ken orait long lotu bilong yumi.	“It was something I deeply regretted and just wanted to lock away and forget.”	12 Lands and PeoplesA Visit to Azerbaijan	102	605	False	0.47868633
29	Ol i no lain yet long yusim Baibel tasol long autim tok—ol i save tilim buk na larim ol man yet long ritim, na i olsem dispela buk i autim tok long ol man.	Just think of it!	12 Lands and PeoplesA Visit to Azerbaijan	780	605	False	0.5122551
30	Sapos ol narapela i bagarapim bel bilong wanpela wanblut bilong ol, orait ol tu bai pilim wankain.	For example, we no longer “speak in tongues” or “prophesy.” (1 Cor. 13:8; 14:5) Even so, Paul’s instructions give us insight into how Christian meetings should be conducted today.	1, 2. (a) What did some religious leaders want to know, and how did Peter respond?	145	569	False	0.5284654
31	Givim ol dispela askim long yu yet:	Drawn by the lively marching tune, I followed the musicians to the station in time to see Father and other men dressed in military uniform boarding the train.	12 Lands and PeoplesA Visit to Azerbaijan	26	605	False	0.35707998
32	Narapela painia sista long kongrigesen bilong Bobbi i tok: “I hatwok tru long painim ol poroman bilong autim tok long apinun.”	Therefore, Tiberius’ reputation may well have figured in Pilate’s decision to bow to the pressure from the Jewish leaders and order the execution of Jesus.​—John 19:13-16.	Loving-kindness, or loyal love, had almost disappeared​—like the morning mist that quickly vanishes with the rising of the sun.	379	511	False	0.5288625
33	Long ol yia i go pinis, sampela volantia long brens ofis bilong ol Witnes Bilong Jehova long Japan i mas kisim operesen.	One survivor of the 1906 earthquake called it “the most terrible disaster that ever befell a state or city.”	We show ourselves gracious by willingly forgiving even when we have “a cause for complaint against another.”	562	791	False	0.34252095
34	Ating yu pilim olsem yu no inap mekim wanpela samting bilong helpim pikinini taim em i wok long i go bikpela.	How can a clear picture of our unseen reward help us today?	Jesus knew that his disciples needed direction in order to become effective evangelizers, and he demonstrated how the work should be done.	505	750	False	0.4667579
35	Dispela inap mekim wanem long pasin bilong yu long bilip long yu yet?	(1 Chronicles 29:14; 1 Timothy 6:17, 18) In fact, the weightier our responsibilities, the more humble we need to be.	12 Lands and PeoplesA Visit to Azerbaijan	299	605	False	0.4359982
36	Bilong wanem ol i pilim olsem?	But we always apologized to each other later.	Proper discipline can help.	698	675	False	0.61087775
37	I stap bilong Jisas em i gutpela piksa tru na i skulim yumi olsem yumi mas i stap wanem kain man.	Can these manuscripts be useful to Bible students today?	We show ourselves gracious by willingly forgiving even when we have “a cause for complaint against another.”	404	791	False	0.51466334
38	“Dispela tok yu mas givim long ol man i save holimpas bilip. Na ol bai inap tru long winim mak bilong skulim ol arapela.”—2 TIM.	When we find out that someone was offended by what we said or did, we may feel that the person is being unreasonable or too sensitive.	(Gen. 12:10-13)	941	585	False	0.70295763
39	Long rot bilong Moses, God i mekim wok long bikpela strong bilong em long helpim ol Israel long lusim Isip, na em i soim rot long ol long ples drai nating i go inap long Graun Bilong Promis.	Why could Judah not escape woe?	12 Lands and PeoplesA Visit to Azerbaijan	263	605	False	0.6351831
40	Sapos yumi no mekim gutpela disisen, dispela inap bagarapim bilip bilong ol narapela, pundaunim ol, na bagarapim pasin wanbel insait long kongrigesen.	This tribe lived here long before the Spanish colonization.	Three pacifists​—an 82-year-old nun along with two companions aged 63 and 57—​recently breached the defenses of a site in Oak Ridge, Tennessee, that houses 100 tons of nuclear material, and they painted antiwar slogans on one of the buildings.	872	348	False	0.82299876
41	Ol i mas bilip tru long God, em God i save givim yumi planti gutpela samting bilong mekim yumi amamas.” (1 Timoti 6:17) Planti man i lain long bilip long Jehova na i no long ol samting bilong skin o ol samting bilong amamas, na dispela i mekim na ol inap long daunim hevi bilong tingting planti na wari olsem bipo ol i bin mekim.​—⁠Matyu 6:​19-21.	He added that no one can gain salvation by his own efforts.	The islands, or atolls, each average about a square mile [2.5 sq km] in area.	530	473	False	0.13449359
42	Ating em i gat tingting olsem ol bai mekim bikpela wok long dispela bilong wokim Baibel Komplutensian Poliglot.	Bethuel’s family blessed their beloved Rebekah.	Jesus answered with a parable.	438	918	False	0.3369218
43	[Blok/Piksa long pes 16]	But we must also keep in mind the second part of this expression, namely, “and his righteousness.”	Proper discipline can help.	334	675	False	0.5132028
44	Tupela brata bilong mi​—⁠Mike i gat 94 krismas, na Peter i gat 90 krismas​—⁠ol i stap yet na mekim wok bilong Jehova long Kanada.	17 Though nearly 2,000 years have passed since Jesus said that the good news would be preached, the zeal that God’s people have for the work has not diminished.	Shops closed.	405	114	False	0.41065335
