	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Rebeca Linares818	But like the merchant, he was willing to sell “everything” in order to obtain the treasure.	Wi-Fi Onboard 	536	336	False	0.9066293
1	High-pouvwa egzeyat gaz tib 30 * 12.5L	Peter’s Denial of Jesus	Paseky 	739	154	False	0.9809458
2	kay» pwodwi yo » Ekipman Medikal » Perinatal Swen » chof tibebe	3:Living the Legacy-2 (Rete eritaj-2) 	Ben 10 Omniverse _ Ben 10 Ultimate Alien _ Ben 10 games _ Scooby Doo games _ Ninjago Games _ Transformers Games 	810	493	False	0.9670323
3	Nenpòt moun k al chèche dlo verite a nan men yo pap rive jwenn verite sa a.	He is forced to wait, and he is not looking forward to the outcome.	COMMUNICATION: How should the school to communicate with my family? 	77	429	False	0.8722595
4	4) Netwaye glas vial / veso ou oswa asire w ke li se relativman esteril.	5. The jamming disatnce is just as it is decribed, so I trust them as I have bought serval products here and all of them works well! 	Author Byron Warwick. FSX/P3D native conversion & repaint & repack by Rikoooo.com 	70	887	False	0.40192556
5	Nouvèl, Atik, videyo	"Pi bon konpitè ap swiv lojisyèl ak Poukisa ou ta desann yo The best relationships are always based on one key thing: trust. It doesn’t matter whether it is a romantic one between lovers and family members or a business one that exists between employees and their boss, without trust there is no chance that the relationship will be a long one. Sadly, the realities of the world we live in and the selfish times of ""I"" rather than ""us"" makes it a must to not trust one another. This why looking for the pi bon konpitè ap swiv software has become the favorite pastime of a considerable number of people going online. "	(Acts 14:5-7, 19-22) He trusted that some individuals would respond appreciatively.	449	212	False	0.8020444
6	Shipping komèsan (Navigation Bridge Vizibilite) Règleman 1998. Enstitisyon legal No 1419	32HQ Hit 	"Students Gain Cutting Edge ""Spring Framework"" Knowledge: This… "	749	946	False	0.77046967
7	Yo trè elastik epi fò	You stop noticing the good things he does and tend to focus more on what he isn’t doing.”	Whether this is by hand or by mechanical means. The crease recovery (spring back) can result in forces, which distort the erected carton or cause stresses to be applied to closures, which reduce their effectiveness. 	181	74	False	0.7854469
8	Fè:) Èske yo pral pibliye nan vBET 3.3.0 - tou usernames pa pral tradui nan ki moun ki sou entènèt:)	Depression: Does a therapist or an app help? 	11513 The DVB-S2 30000 2/3 — Rai 1 I left out of the package 	767	178	False	0.8641869
9	amoxicillin endikasyonlar alexebeauty.com amoxicillin 500 mg	Official page: Camtasia Studio 	Samsun TSO President Murzioğlu, “Shipyard Area OSB must be declared Samsun 	741	360	False	0.9223174
10	Angle >> Lang ou Si okenn nan lang ki anwo yo se pou ou, tanpri voye yon imèl bay sales@extendoffice.com pou enfòme nou ki lang ou pral tradwi lojisyèl nou an, epi konnen si ou ka jwenn lisans gratis pou li.	"Q35. What does the crossed out fare next to the ""Ticket Price"" mean? "	Could you assist?	410	465	False	0.7740122
11	5 ane garanti 3000-6500K dirije Segondè Bay Limyè Fitting ranplase 250W-1000W metal lanp Halogen Ekivalan	Look at the people, at their faces and their eyes.	logs need equipment worth at least $ 100-200 thousand, and offer 	861	335	False	0.7038741
12	Pwoteksyon chato la	PMIC - Power Distribution Switches, Load Drivers - Electronic Components Distributor _ Infinite-Electronic.hk 	JUSTINE won €58.20 	949	84	False	0.7632468
13	HGH UK pri - HGH founisè soti nan Thailand	Offshore Bank Account Setup Process 	8)Delivery:20-50days 	350	52	False	0.7689465
14	Piske Yewou pa t vle pou okenn adoratè Baal rate rasanbleman sa a, li te fè yo tout vini nan tanp Baal la e li te fè yo abiye yon fason ki t ap pèmèt yo rekonèt yo.	1. Providing a wide range of Lab Consumables. 	China 80*80mm Thermal Paper Roll for Cash Register Machine Manufacturers and Suppliers - Low Price - UNITED FOISON 	929	772	False	0.741632
15	4/7301 - Odiseo Bichir	What are some features of our times that make them calamitous?	Reference Art.NR10200 	392	202	False	0.43249226
16	Ki sa ki règleman yo nan Layout a PCB nan eta a? - Lachin Fastpcba Teknoloji	If you want to wholesale 16ch h.264 hdmi&bnc video hdmi encoder iptv from a such factory, Mine Technology is one of the leading H.264 HDMI & CVBS Encoder manufacturers and suppliers. 	As for the seeds between Rp10.000 - Rp500.000 / kg, depending on the quality. the difference is the pattern of care. How to find out the good quality seeds can come and see how to treat them directly. 	479	574	False	1.0023731
17	Ki pa Peye-baton babekyou gri Mat	Hot Tags: Color TFT LCD Display BDT-T3554-03, China, manufacturers, suppliers 	THE Saharan silver ant (Cataglyphis bombycina) is one of the most heat-tolerant land animals known.	932	747	False	0.93119574
18	1279 6-pyès Vignette elit pou Mariage favè Vintage stil 3.3 cm x 5.5 cm	Eclipse Aerospace Like 	Esprit - HOME Summer Collection 2018 	55	218	False	1.1443579
19	12. a) Pandan gwo tribilasyon an, ki bagay tris ki pral rive nenpòt moun Bondye te chwazi pou al nan syèl yon lè men ki pa kenbe entegrite l anvan dènye so a? b) Ki jan bagay yo ap fini pou moun ki montre yo menm jan ak fi vyèj ki sòt yo?	Kick the referee game online free 	Dad Gold 	589	15	False	0.86646557
20	Jwèt Sponjbob anba dlo restoran sou entènèt	11747 V 30000 3/4, DVB-S2 - CH7630 (with a dark screen squeaker) has started, Open (BAKILI) 	"< start=""581.949"" dur=""4.411"">vendors and the Public Health Department "	538	509	False	0.8528073
21	GoWISE USA a se fèt nan USA a ak manifaktire nan Lachin sèvi ak analiz Bioelectrical enpedans (BIA) voye yon ti kouran elektrik nan kò ou mezire rezistans nan diferan frekans bay yon estime anpil grès nan kò, dlo ak zo dansite. Sa a teknoloji mezi gen pou sèvi toupatou ak soufri de kèk limit nannan nan estimasyon. The GoWISE bathroom scale attempts to minimise errors and improving accuracy all for the price of regular weight only scales.	Welcome to visit our factory! ( titanium and titanium alloy products) 	> 2D [ K3000 	283	552	False	0.95635974
22	37 pwen	More Features _ Free Download _ Only $39.00 for hundreds of functions 	LED Ceiling Mounted High Power Tube Linear LED Highb... 	633	797	False	1.1020527
23	Kòd: AUGUST15	Gofle 	Active Area： 95.04 × 53.86 	149	855	False	1.0031784
24	"2015 Siksè devlope Rubber "" Teflon "" kouch aplikasyon, eksklizif ansanm ak US konpayi DuPont"	THE Saharan silver ant (Cataglyphis bombycina) is one of the most heat-tolerant land animals known.	Paseky 	747	154	False	1.153127
25	Ki jan kretyen yo nan premye syèk la bay egzanp antanke moun ki te konn chante lè y ap adore Bondye?	If you discover about Splash Plugin Review today, then you missed out the dime sale, Nevertheless I managed to get a distinctive option for you! Kevin costs $47 for Splash Plugin, however, if you obtain it by way of my affiliate link, you may get a $10 price reduction, which means the plugin will undoubtedly cost you $37! That’s a steal! 	More CPBs 	368	387	False	1.004591
26	Pandan ke premye Miraj a te delivre nan 1960s yo byen bonè, anpil egzanp te toujou nan sèvis atravè mond lan nan byen bonè ven-premye syèk la, 40 ane pita. Yo toujou pou yo te lajman modènize. (Wikipedia)	MMORPG Games Online 	How did Boaz imitate Jehovah’s view of strangers?	576	555	False	0.95816016
27	Li te di tou: “Nou vin tankou fatra monn nan, tankou rejè tout bagay, jis kounye a.” — 1 Kor. 4:11-13.	telephone 	© free online game Micro Bike Master (). 	979	201	False	0.62252116
28	15 Gen yon okazyon ki te rive kote Moyiz genlè te manke dousè.	So as long as you maintain a complete heart toward Jehovah, he will never give up on you.​—1 Chron. 28:9.	Fighting game Game 	551	431	False	0.9014262
29	หน้า หลัก » kas Sekirite » 3M H-700 Segondè nan kask	A selection of striking, beautiful watches for ladies. From sweet Richard Mille to timeless stylish Rolex ladies watch. 	logs need equipment worth at least $ 100-200 thousand, and offer 	33	335	False	0.7953738
30	Apre script debaz la te fèt, Lè sa a, li chanje amelyorasyon nan script la nan ke li Parameterize (Anpeche Done Caching) epi kreye pwen verifikasyon (chèk Repons sèvè). Sa a pral ajoute entèlijans ak fleksibilite nan yon script. Sa a Kou Vugen se fèt yo bay men-sou konesans k ap travay pou tcheke konpòtman an nan aplikasyon anba chaj lou lè l sèvi avèk zouti automatisation.	2.Professional manufacturer with 12 years experience 	logs need equipment worth at least $ 100-200 thousand, and offer 	842	335	False	0.7818427
31	Yon seleksyon nan varyete yo pi byen nan amaranthe _ Magazin Jòn Pen	the Battle of France 	1922 pastel portraiture by Marie-Louise Catherine Breslau 	656	537	False	1.0843946
32	Kòd HS:8207709000	I was a staunch Catholic.	Identifying the use of output encoding – and coming back out! 	120	641	False	0.62550867
33	Vyolèt Monroe	No one may post our copyrighted publications on other Internet sites	PMIC - Power Distribution Switches, Load Drivers - Electronic Components Distributor _ Infinite-Electronic.hk 	133	949	False	0.95770633
34	Thomas rann li kont li ka bezwen pale ak pitit fi l la plizyè fwa e l ka bezwen fè anpil tan ap fè sa.	Play Maze and Address - The Line Game 	32HQ Hit 	444	749	False	1.120002
35	Creole 0.9.7.0 – Korèksyon ak karakteristik tout otou, ak SuperProxy alfa	7.5W fast charging wireless charging pad for ip... 	▪ Acts 28:13-16 states that the ship on which Paul sailed to Italy arrived at Puteoli (modern-day Pozzuoli), on the Bay of Naples.	606	422	False	0.7853849
36	11862 V 28000 3/4, DVB-S2 / 8PSK - Televizyon 1000 Aksyon soti nan sak la, paramèt nouvo emisyon, pa gen okenn chanèl	Variable pitch wind turbine is a patented product and pioneer in wind turbine industry. 	Emulators Tool to play the games on the GameCube and Wii game consoles. The software improves the image quality and enables to use the gaming joysticks. 	800	308	False	0.9417186
37	exactspy-app pou Someones Lekti mesaj tèks se sou sit wèb la ki pi repote pou bay sèvis mobil espyonaj epi li gen ladan plizyè kalite zouti pou swiv dosye mobil nan nenpòt ki moun, ki gen ladan rele mòso bwa, mòso bwa kle, mesaj tèks ak GPS kote. Li ka ba ou tout mesaj yo tèks ansanm ak detay ak ou ka swiv yo san yo pa nenpòt ki konplikasyon.	Mt Adams and Mt St. Helens FSX & P3D Hawaii Photoreal Vol 1 + Vol 2 + Vol 3 FSX & P3D Photoreal Mt Everest plus Mesh FSX & P3D Grand Paradis Italy - Photoreal FSX & P3D Grand Canyon KGCN V2 FSX & P3D Newsletter 	logs need equipment worth at least $ 100-200 thousand, and offer 	414	335	False	0.8612938
38	Lè Reyabam te vin wa ann Izrayèl, li t ap montre l saj si l te suiv konsèy ansyen yo.	Brave: Spot the Difference 	14 Being imperfect, all of us​—even experienced elders—​need to be on guard against failing to look to Jehovah for direction when making decisions.	543	309	False	0.92012835
39	Twalèt founisè tiyo manifakti wholesale pou Ahmedabad	5) Situational Psychogenic Anejaculation: A Case Study (2014) 	Kiev, May 28 - June 12, 2009 Workshop: Chief Financial Officer 	464	9	False	0.7410288
40	UFO 135W Ki ap dirije grandi Limyè	That is how one 13-year-old girl felt when she received a pet dog as a gift.	V0-VSS 	926	382	False	0.99479616
41	Se poutèt sa Bib la di: “Moun ki konn non w ap met konfyans yo nan ou.”	China Dark Grey Quartz Stone Countertops For Kitchen Manufacturers and Factory - Wholesale Products - Thinking Industries Corporation Limited 	When Job was smitten by a loathsome disease, lost his children and material possessions, and was falsely accused by his companions, his thoughts came to be all wrapped up in himself.	669	996	False	0.93447864
42	Kontakte Nou Kilès Nou Ye	PAGE 26	When we saw how well-dressed you were, we thought that you must have been to a very special meeting.	59	150	False	0.9872347
43	Bondye vle nou konnen non l, Jewova.	Menu Postcards From Youth Sidebar 	Rate this game: Played: 360 	625	654	False	0.925274
44	Sou ki fòm konvwatiz kapab parèt ?	Economic Feasibility. 	A humble person does not view others as inferior to himself.	725	714	False	0.90007293
45	Fè fas a inonbrabl divèsite se souvan trè enèvan ak fwistre. Peye pakin nan moun na pou w pa konnen si sa a se travay yo, toujou ap refize komèsan fò anpil ki pèsistan peti ak gid ilegal ki infiniman hount etranje yo, konplètman nan bwa trafik chaotic ak prèske règ pa gen okenn kijan tout kondwi agresif ak korner, initil lang angle ak Alman nan yon peyi kote tout moun pi pale sèlman arab ak franse ... Lè sa a se Maròk.	Gynostemma 	Product dimension: 4.5*3.7*1.5cm(Length*Width*Thickness) 	809	27	False	0.7717712
46	Mòd remak sa yo te fè m desi ak relijyon chintoyis la.	Wi-Fi Onboard 	Reference Art.NR10200 	336	202	False	0.9008144
47	Presyon gout nan kabann katalis 1m	Expand on your association with AWS 	GeorgiaLegal Aid 	806	754	False	1.0572557
48	7A04 Aliminyòm Alloy Rod 7A04 alyaj aliminyòm se pou fè po avyon, vis, ak lou chay pati estriktirèl tankou lonjron gwo bout bwa, ankadreman, zèl zo kòt yo, debakeman Kovèti pou, elatriye	© free online game Micro Bike Master (). 	Identifying the use of output encoding – and coming back out! 	201	641	False	0.6655892
49	Nou (96)	Fullmetal alchmiz 	Oahu 	369	316	False	0.7719133
50	5 Assembly Sèvis	Activate the security features (Very Important!) 	9 An ambassador and his staff do not meddle in the affairs of the country where they serve.	660	757	False	0.5287539
51	ETOP WIREHARNESS LIMITED se yon manifakti asanble fil elektrik IATF-16949 ak UL, tou konpayi an se yon R&D ak baz manifakti nan ekipay fil anpil ak konektè. Sitiye nan Dongguan, Guangdong ak yon zòn plant rive 15,000 M2.	(Rev. 2:18, 19) He rebuked members of that congregation for their immoral, self-indulgent lifestyle, telling them: “I am he who searches the kidneys and hearts, and I will give to you individually according to your deeds.”	(John 5:28, 29) They are not suffering or in any kind of pain, for “the dead know nothing at all.”	623	569	False	0.9168397
52	11/15157 - Ramón Lage	Nature Tech 	14 Being imperfect, all of us​—even experienced elders—​need to be on guard against failing to look to Jehovah for direction when making decisions.	140	309	False	0.8201119
53	Frit Titàn se yon konpozisyon en resous materyèl ki enkli Titàn dyosid sa yo ki te ki te fonde nidite nan yon au fusion len apwe lòt, puis pou fòme yon glas, e sucre. Travay sa a pou fon avan se Ann insoluble yon konpozan toksik avèk yo pou li konbine ansanm ak silice ak lòt D' te ajoute.	Personalization 	Product dimension: 4.5*3.7*1.5cm(Length*Width*Thickness) 	781	27	False	0.64778185
54	Entegrasyon ak serveurs yo aplikasyon	I have the latest downloads of VBulletin and Photo post VBulletin is installed in 	China Roller Printing Gum - Textile Printing Gum - Products - Hangzhou Hongbo New Materials Co.,Ltd 	260	32	False	0.83138347
55	Inyon Ewopeyen Reporter korèspondant _ Jiyè 21, 2014 _ 0 Kòmantè	Play in the halls around the world, moving to a huge game map. Make money, win the respect of opponents, buy new balls and other equipment. Each victory in the game will not only bring closer to the title of the best, but also to make the game much more complicated 	Misslamode eyelash extension products 0.15mm Eyelash Extensions C Curl – Meyelashstore 	964	903	False	0.89646006
56	batay Kovèti pou tout defans	Prioritization of restoration sites through modeling and Zonation – Katie Wirt Ames, FL Fish and Wildlife Research Institute (Video, Presentation) 	Women's Tops - Explore The Full Collection - Great Deals For You 	873	381	False	0.55023646
57	Strasrag	All members of the Governing Body are anointed Christians.	20 The blessings that result from having God in a marriage are many.	560	207	False	0.7741022
58	Phosphatidylserine manifakti yo, ke founisè, faktori founi - pwodwi - Risun, Bio militè ak gwo teknoloji Inc	by GuRu · Published 23.02.2016 · Updated 20.07.2016 	14 Being imperfect, all of us​—even experienced elders—​need to be on guard against failing to look to Jehovah for direction when making decisions.	214	309	False	0.96000445
59	Nou mèt gen konfyans l ap koute nou lè n priye l (Sòm 65:2).	Machinery, Electronics, Electrical appliances, Automobiles, Lighting, Toys,instruments,optical instruments, Furniture industry. 	A Guideline To Choosing A Great Locksmith 	881	630	False	0.66755116
