Property,e1,e2,Sentence,Properties,TripleInWD
P2936,Q36554,Q35672,[[Pitkern]] esa laenghwij spok'n i' [[Pitkern Ailen]].,"['P17', 'P2341']",False
P17,Q36554,Q35672,[[Pitkern]] esa laenghwij spok'n i' [[Pitkern Ailen]].,"['P17', 'P2341']",True
P2936,Q34011,Q683,"[[Samoan]] esa Polynesian laenghwij, es spoken i' [[Samoa]].","['P17', 'P2341']",False
P17,Q34011,Q683,"[[Samoan]] esa Polynesian laenghwij, es spoken i' [[Samoa]].","['P17', 'P2341']",True
P2936,Q13955,Q48214,[[Erabek]] esa laenghwij i' t' [[Medl Eist]].,,False
P17,Q13955,Q48214,[[Erabek]] esa laenghwij i' t' [[Medl Eist]].,,False
P2936,Q25258,Q4628,[[Faaroyean]] esa ofishol laenghwij i' [[dem Faaro Ailen]] (Denmark).,"['P17', 'P2341']",False
P17,Q25258,Q4628,[[Faaroyean]] esa ofishol laenghwij i' [[dem Faaro Ailen]] (Denmark).,"['P17', 'P2341']",True
P2936,Q7918,Q219,[[Bulgeriyan]] esa laenghwij i [[Bulgeriya]].,"['P17', 'P2341']",False
P17,Q7918,Q219,[[Bulgeriyan]] esa laenghwij i [[Bulgeriya]].,"['P17', 'P2341']",True
P2936,Q9299,Q403,[[Serbyan]] esa major laenghwij a' [[Serbya]].,"['P17', 'P2341']",False
P17,Q9299,Q403,[[Serbyan]] esa major laenghwij a' [[Serbya]].,"['P17', 'P2341']",True
P2936,Q33569,Q782,[[T' Hawayiian]] esa laenghwij tal'n i' [[Hawayii]] (Yunitid Staits).,['P2341'],False
P17,Q33569,Q782,[[T' Hawayiian]] esa laenghwij tal'n i' [[Hawayii]] (Yunitid Staits).,['P2341'],False
P2936,Q36451,Q664,[[Maaori]] esa laenghwij mien spoken i' [[Nyuu Ziilan]].,['P17'],False
P17,Q36451,Q664,[[Maaori]] esa laenghwij mien spoken i' [[Nyuu Ziilan]].,['P17'],True
P2936,Q7737,Q159,[[Rushan]] esa em laenghwij i' [[Rusha]].,,False
P17,Q7737,Q159,[[Rushan]] esa em laenghwij i' [[Rusha]].,,False
P2936,Q33797,Q31057,[[Norfuk]] es a kreol laenghwij spoekn mien orn [[Norfuk Ailen]] an es disendiid fram t' Pitkern laenghwij a' t' setlas from Pitkern Ailen.,['P2341'],False
P17,Q33797,Q31057,[[Norfuk]] es a kreol laenghwij spoekn mien orn [[Norfuk Ailen]] an es disendiid fram t' Pitkern laenghwij a' t' setlas from Pitkern Ailen.,['P2341'],False
P31,Q36554,Q34770,[[Pitkern]] esa [[laenghwij]] spok'n i' Pitkern Ailen.,['P31'],True
P31,Q34011,Q34770,"[[Samoan]] esa Polynesian [[laenghwij]], es spoken i' Samoa.",['P31'],True
