	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	8 Kiyès nonm k ap simen an reprezante ?	September 17, 2015 at 6:53 am 	1) The freshly picked fruit is washed and slices and then frozen. 	661	161	False	1
1	Kijan pou gen siksè nan reyinyon videyo roulette ak fi yo?	In 2003 she was baptized.	Says Nadia, “The people we meet give us so much joy.”	129	260	False	1
2	Pwodwi Tag 200W dirije segondè Bay limyè Endistriyèl ki ap dirije segondè limyè Bay Modèn dirije segondè Bay limyè lineyè ki ap dirije segondè Bay limyè Sekirite dirije segondè limyè Bay	We can read the Bible regularly and carefully apply its principles to the tests we face.	Dongming road 	823	533	False	1
3	Natirèlman, pèl peyi dèye kapab ede ou tou fouye soti machin ou nan trailhead a oswa nan resort nan ski.	An add-on with a flight model and modeling of high quality compatible any version of FSX. Includes three textures: Official House Colors, NWA Airlink, America West Express. Be sure to read the manual after installation. 	6 The Israelites used to travel to Jerusalem for worship at three festivals each year.	394	369	False	1
4	Apre Caligula te vin anperè, li te rekonpanse Ewòd lè l te fè l vin wa. — Tra. 12:1.	What three admonitions are given at Romans 12:12?	Exam 	994	974	False	1
5	misyon & vizyon	OSCE 	Turn to chapter 3 of the Bible book of Daniel, and read for yourself how the three Hebrews faced the death penalty for refusing to worship the golden image that King Nebuchadnezzar had set up.	318	204	False	1
6	Likid yonik (il) yo souvan defini kòm sèl sa yo ki te fonn tanperati ki anba a 100 oC ak yo te atire yon gwo zafè nan atansyon nan dènye ane yo, sitou pou sèvi ak yo kòm medya reyaksyon, kote yo genyen potansyèl yo kontribye nan direksyon pou devlopman nan nan vèr pwosesis chimik. Likid-cristalline likid iyonik (LC-il) se yon klas enteresan nan materyèl ki konbine anisotropic a nan kristal likid ak bon pwopriyete yo sòlvan nan il. Sepandan, nan kontra a il, sèvi ak yo kòm medya reyaksyon se yon bagay ki soudevelope, ak kèk rapò sou moun ki aplikasyon sa a nan literati a.	Home > Products > Steel Silo > Brewing Industry Silo 	Abolfazl Abbaschian 	46	722	False	1
7	Ki pwennvi Bib la sou sèks, 1/1	Word Viewer 	A : About 2-4 weeks. 	217	718	False	1
8	Kondisyon Itilizasyon _ UnitedHealthcare Community Plan: Plan Sante Medicare ak Medicaid	English 	30Granny Sea 	353	30	False	1
9	Kidonk, ale epi fè disip. ” Mo “ kidonk ” lan montre rezon ki fè nou dwe obeyi kòmandman sa a.	New (149) 	Sonia Rios 42 	867	975	False	1
10	Donk, yon moun lòt nasyon se senpleman yon moun lòt moun konsidere tankou yon etranje, paske li diferan ak yo nan kèk domèn.	[Box/Pictures on page 16]	3 1/8' X90'' Re-printing Thermal Paper Roll for Cash Register Machine 	168	682	False	1
11	Etid Avanse nan Resilans Coral Reef	What are the rewards for being humble?	2)Material: Top coated thermal paper 	701	501	False	1
12	Men sa Jezi te di: “Lavi ki p’ap janm fini an, se pou yo konnen ou, ou menm ki sèl Bondye tout bon an, ansanm ak moun ou voye a: Jezikri.” —Jan 17:3.	What may have caused the love of some Christians to grow cold?	Ciangsu province 	729	956	False	1
13	Jwe sou entènèt estrateji biznis	Other texts of the Christian Greek Scriptures also show that Jesus is God’s Anointed One referred to in the second psalm.	The Altieri House 	822	851	False	1
14	Showing 1-12 nan rezilta 427	MINI-CRANE ANT SO SMALL, 	Gianni adds: “Maurizio was my Bible teacher when I started studying.	964	676	False	1
15	Kay 2	PVC Floor Tile 	Mayor of Düzce, who prepared a project for Istanbul Street. Faruk Özlü, pushed the button for the implementation of the new project. The new three-lane project on the street will first remove the tram rails. For this [more…] 	330	396	False	1
16	Buřany	Train Wounded Citizens Told That Moments 	Adventure style games	164	960	False	1
17	Maggot nwa vole sòlda ka siyifikativman redwi E. coli 0157: H7 ak Salmonella enterika yo te jwenn nan fimye poul.	Register to create a virtual business card for your business.It takes only 3 minutes ! 	Alternative names: Magic World 2 	87	463	False	1
18	Vèsè 3 a di: “Lè l wè sa fè Juif yo plezi, li kontinye, l al arete Pyè tou.”	‘This Is to Be a Memorial for You,’ 12/15	China Professional Manufacturer Aquatic Weed Harvester, Water Plant...[Nov 22, 2018] 	957	681	False	1
19	Round Meday Glass pou kouri souvenir espò	"< start=""1021.4"" dur=""2.69"">Problems are purposeful.> "	4.Anti-tilt Function: Inter-lock system,The fifth wheel 	915	631	False	1
20	Anvan l te vwe Bondye lavi l, byen souvan, li te renmen kritike lòt moun e l te konn pale di ak fanmi l.	New (77) 	Conventionally, investment strategies can be divided into two parts. Long-term investments are chosen by conservative investors, who are ready to sacrifice quick profits (frankly speaking, we love the crypto market for that). More gambling market participants rely on aggressive short-term trading, promising lightning-fast income along with a high risk of losing everything at once. 	884	637	False	1
21	Achte Sal matènite brèf. Online	How come I don't see the option to choose color I want? 	‘This Is to Be a Memorial for You,’ 12/15	313	957	False	1
22	Pandan karantan, ou pran swen yo [...] yo pa janm manke anyen!	(Acts 1:8) He promised them that he would personally be involved in this vital work right down to our day.​—Matt. 28:19, 20.	Log typed messages, accounts, and passwords 	908	334	False	1
23	Olye yo te fè sa, yo te “ meprize ” ​(NW) Jezi e yo “ te konsidere l tankou li pa t vo anyen ” ​(NW), jan Izayi te predi sa.	SDI Video Encoder Manufacturers, Suppliers and Factory - Wholesale SDI Video Encoder - Shenzhen Mine Technology Co.,Ltd 	Fucoidan 	343	734	False	1
24	Rezonab	Self Tapping Inserts provide permanent wear-resistant threads in a wide range of materials, from tough to tap, high strength steels to brittle plastics. By tapping its own thread, Self tapping insert eliminates the need for pre-tapped holes. Features: 1. Self tapping 2. no pre-tapping required... 	(James 1:17) Moved with gratitude for God’s numerous good gifts, the psalmist sang: “He is making green grass sprout for the beasts, and vegetation for the service of mankind, to cause food to go forth from the earth, and wine that makes the heart of mortal man rejoice, to make the face shine with oil, and bread that sustains the very heart of mortal man.”	49	511	False	1
25	10 Anvan 1914, te gen yon ti gwoup Etidyan Labib ki te pran detèminasyon pou yo preche bon nouvèl la. Ti gwoup sa a te montre sa sa vle di pou yon moun preche san pèdi tan.	Ventilation capacity m3/h 5000 5000 5000 5000 9000 11000 1400 16000 	"< start=""1021.4"" dur=""2.69"">Problems are purposeful.> "	551	915	False	1
26	21 (PALE ALE)	The Bible speaks of spirits loyal to God and of those who have rebelled against him.	Dynamic braking is a system usually used by train locomotives. In this system, the kinetic energy is converted into heat by transferring the electricity generated by the spinning motors into a resistor, which then dissipates the energy as heat. When the magnets in the motor induce a current in the copper wires, resistance is generated, slowing the motor spinning. 	482	307	False	1
27	Bucharest atraksyon kat jeyografik	MOSES knew what Egypt had to offer.	China 24kV Vacuum Circuit Breaker Suppliers and Manufacturers - 24kV Vacuum Circuit Breaker Factory - Joyelectric International 	368	700	False	1
28	Men sa César esplike: “Se premye fwa mwen te wè lavi a gen yon sans.	After the molding process, it can be made into many shapes such as bar, ball and Special-shaped. H-B-90 is widely used in high acid activity center catalyst field. 	OPzV Battery 2V420Ah 	66	930	False	1
29	Pwochen: RF BT elwaye reskonsab-CCT	More in Legal 	Middle: Destroyed reef due to blast fishing. Photo © Wolcott Henry 2005/Marine Photobank 	742	590	False	1
30	"Etap 2: Peze kle a ""Mode"" ak pouvwa sou chofè a, chaj yo ap dirije pral 50% klète blan kòm reponn. Vle di antre nan kòd aprantisaj / klè sitiyasyon kòd la avèk siksè (Pa bezwen chwazi zòn lan, kontwòl remote nan nenpòt sitiyasyon zòn ka itilize klè kòd pou chofè nan nenpòt ki zòn)"	Scots Gaelic 	BB - 9E DJ 	36	965	False	1
31	Konstriksyon divizyon kominikasyon Greek satelit Hellas Sat 3 nan premye etap yo final, li pral dwe te lanse 28 Jen soti nan kosmodrom la nan gwiyane franse, total Ministè a nan politik dijital, telekominikasyon ak enfòmasyon Lagrès.	1. To convert a (.DOC, .DOCX) Word, drag and drop or click our upload area to upload the file 	Ashampoo MP3 Cover Finder v1.0.13 Crack + Activator Free Download 	93	648	False	1
32	Sistèm travay pwesyon: 0.2 ou dèyè 0.8MPA, Pwesyon backwashing: 0.15 ou dèyè 0.8MPa	UHF 53 	XSPORT channel switched to AMOS-3 satellite 	345	366	False	1
33	Chofè otobis Konya Metwopoliten pou achte	Honor - Zibo Boshan Win-win Chemicals Co., Ltd 	XSPORT channel switched to AMOS-3 satellite 	537	366	False	1
34	"Mwen te fè charj nan nouvo zanmi, ki se reyèlman gwo. NCS se yon opòtinite yon fwa-an-yon lavi pou fè bagay ke ou pa jwenn fè chak jou. Li tou ba ou chans lan yo dwe byen endepandan tankou fè kabann ou ak aspiratè - Mwen pa janm nòmalman fè bagay sa a nan kay la! """	Thinking – 91.07% 	This is maybe one of the last cigarettes’ TV commercial made in the world. This has benn forbidden by most countries’ regulations. This one features Haitian singers and actors Jo Zenny and Beatrice Kebreau. The music is by the Widmaier brothers. 	461	64	False	1
35	"1. Malgre ke seri a dyamèt 8 ""-140"" (219mm-3556mm) se possible sou yon sèl moulen, nou sijere konsomatè yo achte de moulen. Li nan paske pral gen yon fatra gwo nan enèji tan, ak resous yo sèvi ak tankou yon gwo moulen yo pwodwi tiyo ti tankou 8 ""(219mm)."	Holmbygden.se on 26 April, 2012 at 14:35 said: 	24Sexy Hare 	273	939	False	1
36	"< start=""2886.55"" dur=""2.536""> Mwen te konprann WASHINGTON la >"	HOW TO COPE WITH THINGS THAT COULD AFFECT OUR . . .	1. What Is Raw Nandrolone(Durabolin) powder? 	664	63	False	1
37	Next: 85W Doub Sòti Oblije chanje pouvwa Pwovizyon pou elatriye-85W	"< start=""1657.088"" dur=""8.875"">>> WHO ARE YOU WITH?> "	Rated steam pressure: 3.8 MPA ~ 9.8 MPA 	469	328	False	1
38	clerkships Lopital ap fè ansanm ak etid la nan disiplin klinik kòmanse nan la 2nd ane nan etid;	Last Updated: 01.07.2020 at 01:34 PM CST 	Since our first order of three Monoplace Chambers in 2000 we have purchased over $1 Million dollars of HBOT Systems from Tekna. 	969	185	False	1
39	6) pakè: OEM procesna, net procesna, enprime kouvwi procesna papye; lò / ajan procesna fim;	Wifi antenna for wifi receiver 	Iceland ferry ticket reservations, ferry timetables and passenger information for ferries sailing to and from Seysdisfjordur, Hirtshals and Torshaven with Smyril Line. 	62	355	False	1
40	Sa vrèman enpresyone m.”	(John 7:49) There certainly was nothing refreshing about that attitude!	Ceramic Grade CMC 	831	977	False	1
41	jwèt Sèks ak granmoun inovasyon manifaktire dapre espesifikasyon. Nou bay solisyon vire-kle pou magazen fè sèks mèt, distribitè ak manifaktirè yo. Prive granmoun etikèt pwodwi yo.	New (92) 	Open Planet, 77 pages to change your mind 	8	968	False	1
42	Timoun	He thought the grass was greener on the other side. Or he “needed his space.” So, without much warning, he does a disappearing act that would make even Houdini proud. 	Some names in this article have been changed.	400	199	False	1
