Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Zaza Lominadze es un georgiano politico .,Zaza Lominadze,politico,Q106680628,Q82955,P106,P106,TRUE
Billie Eilish es un cantante,Billie Eilish,cantante,Q29564107,Q177220,P106,P106,TRUE
Emilija Kokić ( ta nacida el 1968 ) es un cantante de pop y soul,Emilija Kokić,cantante,Q447343,Q177220,P106,P106,TRUE
Lela Tsurtsumia es un cantante,Lela Tsurtsumia,cantante,Q2639866,Q177220,P106,P106,TRUE
Natalia Morozova es una cantante de Ucrania .,Natalia Morozova,cantante,Q16707481,Q177220,P106,P106,TRUE
Akaki Minashvili es un georgiano politico .,Akaki Minashvili,politico,Q4700194,Q82955,P106,P106,TRUE
Khatia Dekanoidze es un georgiano politico .,Khatia Dekanoidze,politico,Q6400911,Q82955,P106,P106,TRUE
Isko Daseni es un georgiano politico .,Isko Daseni,politico,Q65285887,Q82955,P106,P106,TRUE
Ana Buchukuri es un georgiano politico .,Ana Buchukuri,politico,Q106680634,Q82955,P106,P106,TRUE
Irakli Beraia es un georgiano politico .,Irakli Beraia,politico,Q94997724,Q82955,P106,P106,TRUE
Akaki Bobokhidze es un georgiano politico .,Akaki Bobokhidze,politico,Q16364518,Q82955,P106,P106,TRUE
Giorgi Godabrelidze es un georgiano politico .,Giorgi Godabrelidze,politico,Q106681881,Q82955,P106,P106,TRUE
Giorgi ( Gigi ) Ugulava es un georgiano politico .,Giorgi ( Gigi ) Ugulava,politico,Q969642,Q82955,P106,P106,TRUE
Vera Kobalia es un georgiano politico .,Vera Kobalia,politico,Q2428520,Q82955,P106,P106,TRUE
Levan Varshalomidze es un georgiano politico .,Levan Varshalomidze,politico,Q660038,Q82955,P106,P106,TRUE
Tariel Nakaidze es un georgiano politico .,Tariel Nakaidze,politico,Q105278311,Q82955,P106,P106,TRUE
Irakli Zarkua es un georgiano politico .,Irakli Zarkua,politico,Q106680689,Q82955,P106,P106,TRUE
Erineo Maliksi ( 1938—2021 ) umuna a politico de las Filipinas .,Erineo Maliksi,politico,Q3348186,Q82955,P106,P106,TRUE
Mariam Kvrivishvili es un georgiano politico .,Mariam Kvrivishvili,politico,Q103864117,Q82955,P106,P106,TRUE
Elene Khoshtaria es un georgiano politico .,Elene Khoshtaria,politico,Q30172635,Q82955,P106,P106,TRUE
Aleko Elisashvili es un georgiano politico .,Aleko Elisashvili,politico,Q61136219,Q82955,P106,P106,TRUE
Levan Khabeishvili es un georgiano politico .,Levan Khabeishvili,politico,Q105080892,Q82955,P106,P106,TRUE
Nona Mamulashvili es un georgiano politico .,Nona Mamulashvili,politico,Q104776858,Q82955,P106,P106,TRUE
Shalva Shavgulidze es un georgiano politico .,Shalva Shavgulidze,politico,Q12870563,Q82955,P106,P106,TRUE
Kakha Kuchava es un georgiano politico .,Kakha Kuchava,politico,Q31355070,Q82955,P106,P106,TRUE
Davit Kirkitadze es un georgiano politico .,Davit Kirkitadze,politico,Q12863569,Q82955,P106,P106,TRUE
Sopho Khalvashi es un cantante,Sopho Khalvashi,cantante,Q157372,Q177220,P106,P106,TRUE
Shalva Papuashvili es un georgiano politico .,Shalva Papuashvili,politico,Q106528743,Q82955,P106,P106,TRUE
Juanes Juanes es un cantante de Colombia de pop .,Juanes Juanes,cantante,Q43189,Q177220,P106,P106,TRUE
Nini Shermadini es un cantante,Nini Shermadini,cantante,Q4978828,Q177220,P106,P106,TRUE
Ariana Grande es un cantante,Ariana Grande,cantante,Q151892,Q488205,P106,P106,TRUE
Anna Netrebko ( ta nacida el 1971 ) es un cantante .,Anna Netrebko,cantante,Q78516,Q2865819,P106,P106,TRUE
Ana Moura es una cantante de fado de Portugal .,Ana Moura,cantante de fado de,Q463930,Q63643090,P106,P106,TRUE
Nina Sublatti ( Sulaberidze ) es un cantante,Nina Sublatti,cantante,Q18710983,Q177220,P106,P106,TRUE
Cristina Branco es una cantante de fado de Portugal .,Cristina Branco,cantante,Q463925,Q177220,P106,P106,TRUE
Demi Diometria Devonne Lovato ( ta nacida el 20 de agosto 1992 ) es una cantante y actriz es estadounidense .,Demi Diometria Devonne Lovato,cantante,Q41173,Q177220,P106,P106,TRUE
