	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Lè Jewova gade nou sou tè a, se pa koulè po moun li wè, men se moun li wè.	Lorsque Jéhovah nous regarde depuis les cieux, il ne voit qu’une seule race : la race humaine.	Les cours en ligne résilience récifs 	950	314	False	1
1	Ti jwèt foutbòl sided fèt yo devlope tranzisyon rapid nan faz la atake nan peyi. Moutre sipò rapid alantou foutbòl la ak vann san preskripsyon atake taktik.	Petits jeux de football face conçues pour développer transition rapide dans la phase attaquant de possession. Coach soutien rapide autour du football et contre attaquer tactiques. 	6 Dans une analyse approfondie des Écritures grecques chrétiennes, un bibliste a fait ce commentaire sur Actes 20:20 : “ Paul avait passé trois ans à Éphèse.	884	301	False	1
2	Materyèl Avant PU, tounen ak bò pvc	Matériel PU avant, arrière et pvc latéral 	Les cours en ligne résilience récifs 	391	314	False	1
3	Gen kèk ti tradiktè ki opere dirèkteman siyal estasyon paran an pou yon lòt frekans pou retransmèt, san okenn lòt pwosesis siyal lokal oswa demodulasyon. W07BA (yon repeteur 16-Watt pou WSYR-TV nan Syracuse, New York) se te yon moso senp nan aparèy emisyon, chanjman siyal estasyon prensipal la soti nan chanèl nèf chanèl sèt yo kouvri yon ti fon nan DeWitt. Syracuse te vin tounen yon zile UHF, prensipal ABCsignal WSYR-TV te vin tounen yon 100 kW emisyon dijital sou kanal 17, e pa gen ankò yon siyal kanal 9 pou bay repeater a.	Certains petits traducteurs convertissent directement le signal d'une station mère en une autre fréquence pour la rediffusion, sans autre traitement ou démodulation de signal local. W07BA (un répéteur 16-watt pour WSYR-TV à Syracuse, New York) était un simple appareil de radiodiffusion, déplaçant le signal de la station principale du canal neuf au canal sept pour couvrir une petite vallée de DeWitt. Syracuse est devenue une île UHF, le signal principal ABC de WSYR-TV est devenu une émission numérique 100 kW sur le canal 17 et il n’ya plus de signal 9 sur la chaîne pour alimenter le répéteur. 	Où acheter extrait de Garcinia Cambogia en ligne 	762	985	False	1
4	Men sa l di: “Gwo enkyetid m te genyen akoz tout nouvo responsablite sa yo m te dwe jere poukont mwen kounye a te twòp pou mwen.	Et l’argent n’était pas son seul sujet d’inquiétude. « Je croulais sous le poids de toutes les responsabilités qui, désormais, reposaient uniquement sur moi, se rappelle-​t-​elle.	Begoña me présente à sa sœur. C'est une situation familière et nous donner deux baisers. 	300	721	False	1
5	Ki jan Jewova anseye pèp li a pou yo demontre kè sansib?	Comment Jéhovah nous apprend-​il à avoir de la compassion ?	"< start=""1668.564"" dur=""4.537""> MÉCANISMES, NOUS DONNERONS > "	76	956	False	1
6	Jean-Yves Jason se tou Direktè Productions Kritik, yon konpayi ki espesyalize nan pwodiksyon gwo evènman atistik ak pwomosyon la ak atizay ayisyen.	Jean-Yves Jason est également le chef de la direction des Productions Kritik, une entreprise spécialisée dans la production de grands événements artistiques et la promotion de l'art haïtien et de l'artisanat. 	Aujourd'hui dans l'histoire: Octobre 14 avec 1941 Uzunköprü X 	269	197	False	1
7	Adonijah	Adonija 	Surtout, prenez le grand bouclier de la foi, avec lequel vous pourrez éteindre tous les projectiles enflammés du méchant.	526	246	False	1
8	Pa egzanp, tout moun konnen kè a menm kote nan kò tout moun, se sa k fè chirijyen yo konnen ki kote l ye nan kò chak moun y ap swaye.	Par exemple, normalement le cœur humain est toujours à la même place dans le corps ; ainsi, un chirurgien sait où trouver le cœur de chacun de ses malades.	Vues: 6,946 	541	628	False	1
9	Sipòte pwodiksyon 2 RTMP (prensipal kouran, 2yèm kouran) nan diferan difizyon sèvè medya.	Prend en charge la sortie 2 RTMP (flux principal, 2e flux) vers un serveur de diffusion multimédia différent. 	LED d'urgence Power Pack : 20W 3H 30 % de puissance 	545	543	False	1
10	Metòd tès: HPLC / UV	Méthode de détection: HPLC / UV 	Snagit 	312	793	False	1
11	12 Menm jan an tou, Jewova ap beni jèn ki mete kouraj sou yo pou yo fikse objektif espirityèl e ki mete Wayòm nan an premye nan lavi yo.	12 Comme pour Moïse, Jéhovah bénira les jeunes qui, avec courage, se fixent des objectifs spirituels et donnent la priorité au Royaume de Dieu.	En quel sens le faisait-​il ? Son but n’était pas forcément de satisfaire sa curiosité ou d’obtenir simplement des précisions.	849	700	False	1
12	Bakersfield	Bakersfield 	Pleinement convaincus que Jéhovah réalisera ses promesses, nous pouvons en toute sérénité nous concentrer sur l’œuvre qu’il nous a confiée : prêcher la “ bonne nouvelle du royaume [...] dans toute la terre habitée ”.	661	83	False	1
13	Alonissos	Alonissos 	Il était donc quelque chose d'unique à la délégation suédoise. Ce ne fut plus qu'une expression de la sympathie ou la flatterie? Était-ce une confession à la foi musulmane? 	494	647	False	1
14	14 Pozisyon PhD nan Te an Ayiti Jeni ak Jeni seismoloji	14 Positions doctorat en génie sismique 	C’est donc une preuve à la fois d’amour et de sens pratique que de préparer les plus jeunes frères à endosser plus de responsabilités (lire Psaume 71:18).	89	132	False	1
15	Se Jezi Bondye te wenn, oubyen Bondye te chwazi pou l jwe yon wòl espesyal nan akonplisman pwomès Bondye fè yo.	Jésus a été oint, ou nommé par Dieu, pour jouer un rôle particulier dans l’accomplissement des promesses divines.	Pintex Productions, LLC États-Unis / Colorado 2015/05/27 4.55 année (s) $6,508 Disponible 	200	147	False	1
16	Giko	Giko 	Nous continuons de nous opposer au Diable, et aucune des armes dont il se sert pour essayer de nous anéantir n’a de succès, car Jéhovah est avec nous. — Ps. 118:6, 7.	177	407	False	1
17	Li te pran detèminasyon pou l obeyi Bondye ki te ba l enstriksyon ki te fè l jwenn anpil avantaj nan lavi a.	Il était déterminé à obéir au Dieu dont les ordres lui avaient valu tant de bienfaits.	Aluminium Extrusion Profil 	73	60	False	1
18	Sou 28 fevriye, Hamburg konfime premye ka : yon manm nan anplwaye pedyatrik nan Lopital Inivèsite Hamburg-Eppendorf [1] .	Le 28 février, Hambourg confirme un premier cas : un membre du personnel pédiatrique de l'hôpital universitaire de Hambourg-Eppendorf[41]. 	Acheter la forskoline 250, Get bouteilles gratuites 	484	725	False	1
19	DERFLEX se pwodiktè nan fim vinil dekoratif pou fabrike nan plafon detire ak desen miray. Detire plafon plafon soti nan DERFLEX bay yon bon jan kalite sifas sipèb.Plis	DERFLEX est producteur de film vinyle décoratif pour la fabrication de plafonds tendus et de motifs muraux. Les films de plafond extensibles de DERFLEX offrent une superbe qualité de surface.Plus 	Une paire de:Produit en acier inoxydable 304 de bonne qualité Un article:Plaque en acier inoxydable 202 polyvalente de haute qualité 	372	318	False	1
20	kat: Nou aksepte tout gwo kredi ak kat debi ki gen ladan MasterCard ak Visa.	Cartes: Nous acceptons toutes les principales cartes de crédit et de débit, y compris MasterCard et Visa. 	Plus>> 	953	979	False	1
21	"Majik - chanèl mizik retro, sitou peryòd ki soti nan 80s yo nan ""zero"" ane yo;"	Magie - rétro musique de canal, principalement la période des années 80 aux années « zéro »; 	La chaîne a également sous forme codée accessible par satellite Belintersat 1 (51,5° E) dans la phrase Pantelio, mais à en juger du faible débit – il est plutôt une version SD. 	75	323	False	1
22	Fraz. Valleil	Ardèche 	Cabinet d'avocats en Turquie Chambre et partenaire, en Turquie Law Firm 	934	666	False	1
23	Kare altèr _ Twous seremoni	Kits d'autel _ Kits Rituels 	Dernière mise à jour le juillet 6, 2019 à 1:29 pm 	347	927	False	1
24	Lanmou te fè Jewova pran dispozisyon pou Jezi vin sou tè a e pou l “goute lanmò pou tout moun”.	Mais dans son amour, Jéhovah a envoyé Jésus sur terre pour qu’il « goûte la mort pour tout homme » (Héb.	Produit: textiles, habillements, chaussures, fournitures de bureau, médicaments et aliments 	316	518	False	1
25	Jodi a nan Istwa: 1 Oktòb 1937 Çatalağzı-Zonguldak liy	Aujourd'hui dans l'histoire: Ligne 1 Octobre 1937 Çatalağzı-Zonguldak 	C’est Jésus qui s’en chargea.	253	302	False	1
26	9 Gen lòt kongrè ki konn fèt kote Jewova rasanble Temwen fidèl li yo apre yo sot anba pèsekisyon oswa anba entèdiksyon ki te vrèman gen gwo efè sou yo.	9 Les assemblées qui ont réuni des Témoins fidèles après des périodes de persécution ou d’interdiction ont elles aussi été riches en émotion.	La constitution haïtienne interdit également aux non-citoyens de posséder des terres. 	752	234	False	1
27	Sexy fe istwa pou granmoun: kwonik la woule soti nan pawas la kote karaktè prensipal yo yo kache, nan bi pou yo kontak seksyèl. Pi wo pase videyo a, pentr soti nan Warsaw te eseye, yo te pote jeni enjenyeu ak prive potansyèl lirik, pou konstwi foto erotik sou baz ki te anime a te kreye. Done yo te montre ke pati dominan nan abonnés pòtal la se itilizatè granmoun aje yo, yo ta pito gade videyo a nan yon tan lib nan aktivite a.	Conte de fées sexy pour adultes: la chronique est déployée dans la salle où se cachent les personnages principaux, à des fins de contacts sexuels. Au-dessus de la vidéo, les peintres de Varsovie ont essayé, en apportant un esprit ingénieux et un potentiel lyrique privé, de construire des images érotiques sur la base desquelles l'anime a été créé. Les données ont montré que la partie dominante des abonnés du portail sont des utilisateurs seniors, ils préfèrent regarder la vidéo dans un temps libre de l'activité. 	10 Que nous soyons découragés ou non, nous avons tous besoin de félicitations. « Pas une fois mon père ne m’a dit que ce que je faisais était bien, a écrit un ancien.	427	929	False	1
