Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Algeria esa kuntrii i ' Afreka .,Algeria,Afreka,Q262,Q15,P30
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,Bulgeriya,Q7918,Q219,P2341
Moskou es t ' kapitel an ' t ' biges citii a ' Rusha an ' t ' sekan biges citii a ' Urup ( aftaa Istanbuel ) .,Moskou,Rusha,Q649,Q159,P1376
Griese esa kuntrii i ' Urup .,Griese,Urup,Q41,Q46,P30
Maaori esa laenghwij mien spoken i ' Nyuu Ziilan .,Maaori,Nyuu Ziilan,Q36451,Q664,P17
Alofi es t ' ofishol kapitel a ' t ' Pesifik ailen kuntrii o ' Niue .,Alofi,Niue,Q30966,Q34020,P1376
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,laenghwij,Q36554,Q34770,P31
T ' Repablik a ' Nauruu ( also spelt Ripublik Naoero ) esa ailen kuntrii i ' Pesifik Oshen .,T ' Repablik a ' Nauruu,ailen kuntrii,Q697,Q112099,P31
Beles esa kuntrii i ' Sentril Merika .,Beles,Sentril Merika,Q242,Q27611,P361
Lena Belkina ( 27 Nowemba 1987 ) esa singer .,Lena Belkina,singer,Q6522077,Q177220,P106
Hobart esa citii i ' Ostrielya .,Hobart,Ostrielya,Q40191,Q408,P17
"Kopengagn es t ' kapitel a ' Denmark an ets t ' msa popyulous citii , wi ' an urban popyulayshun a ' 1,230,728 an a ' metropolitan popyulayshun a ' 1,956,278 .",Kopengagn,Denmark,Q1748,Q35,P1376
Hamburg esa big citii i ' Doichland .,Hamburg,Doichland,Q1055,Q183,P131
Spain esa kuntrii i ' Urup .,Spain,Urup,Q29,Q46,P30
Grenobel esa citii i ' Frans .,Grenobel,Frans,Q1289,Q142,P17
Serbyan esa major laenghwij a ' Serbya .,Serbyan,Serbya,Q9299,Q403,P2341
Jakarta es t ' kapitel a ' biges citii o ' Endonesya .,Jakarta,Endonesya,Q3630,Q252,P1376
"Taylor Lautner ( barn Febyuweri 11 , 1992 ) es wun Merikan akter .",Taylor Lautner,akter,Q23359,Q33999,P106
Portugal esa kuntrii i ' Urup .,Portugal,Urup,Q45,Q46,P30
Avril Lavigne esa Kanedan singer - songwriter .,Avril Lavigne,singer - songwriter,Q30449,Q177220,P106
Bresel esa kuntrii i ' Sowth Merika .,Bresel,Sowth Merika,Q155,Q18,P30
Hungrii esa kuntrii i ' Urup .,Hungrii,Urup,Q28,Q46,P30
Morocco esa kuntrii i ' Afreka .,Morocco,Afreka,Q1028,Q15,P30
Nicaragua esa kuntrii i ' Sentril Merika .,Nicaragua,Sentril Merika,Q811,Q27611,P361
Burkina Faso esa kuntrii i ' Afreka .,Burkina Faso,Afreka,Q965,Q15,P30
Liberia esa kuntrii i ' t ' west o ' Afreka .,Liberia,Afreka,Q1014,Q15,P30
Kampala es t ' biges citii an kapitel a ' Yuganda .,Kampala,Yuganda,Q3894,Q1036,P1376
"William Bradley Brad Pitt ( Disemba 18 , 1963 ) es wun Merikan akter an film producer .",William Bradley Brad Pitt,akter,Q35332,Q10800557,P106
Serbyan esa major laenghwij a ' Serbya .,Serbyan,laenghwij,Q9299,Q4536543,P31
Julien Doré ( 7 Juulai 1982 ) esa singer .,Julien Doré,singer,,Q568578,P106
Trinidad a ' Tobago esa ailen kuntrii i ' Etlantic Oshen .,Trinidad a ' Tobago,ailen kuntrii,Q754,Q112099,P31
"Saint Vincent a ' t ' Grenadines esa ailen kuntrii i ' Etlantic Oshen , i ' t ' karibiyen .",Saint Vincent a ' t ' Grenadines,ailen kuntrii,Q757,Q112099,P31
"Kendall Nicole Jenner ( Nowemba 3 , 1995 ) es wun Merikan akter and model .",Kendall Nicole Jenner,akter,Q1375057,Q33999,P106
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,laenghwij,Q7918,Q34770,P31
Podolsk esa citii i ' Moscow Oblast i ' Rusha .,Podolsk,Rusha,Q19520,Q159,P17
Serbyan esa major laenghwij a ' Serbya .,Serbyan,Serbya,Q9299,Q403,P17
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,Samoa,Q34011,Q683,P17
