	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Septanm 17, 2015 at 11:51 menm	September 17, 2015 at 6:53 am 	Remember, we call the right atrium because this is someone's heart facing us, even though this is on the left-hand side.	661	707	False	0.0033003092
1	Li te batize nan ane 2003.	In 2003 she was baptized.	ASTM A53 Gr.B Kabòn Steel Tiyo 	129	445	False	0.0052063465
2	Nou ka li Labib regilyèman epi n byen suiv prensip ki ladan l yo lè n jwenn eprèv.	We can read the Bible regularly and carefully apply its principles to the tests we face.	Ventilation capacity m3/h 5000 5000 5000 5000 9000 11000 1400 16000 	823	551	False	0.0
3	Yon ajoute-sou ak yon modèl vòl ak modèl nan kalite siperyè konpatib nenpòt vèsyon an FSX. Gen ladan twa tèkstur: Ofisyèl House koulè, NWA Airlink, Amerik West Express. Asire ou li manyèl la apre enstalasyon yo.	An add-on with a flight model and modeling of high quality compatible any version of FSX. Includes three textures: Official House Colors, NWA Airlink, America West Express. Be sure to read the manual after installation. 	428 gen ladan contain 	394	427	False	0.0056654215
4	Bay twa konsèy nou jwenn nan Women 12:12 la.	What three admonitions are given at Romans 12:12?	Jellystone Park 	994	651	False	0.009466529
5	OSCE	OSCE 	New (145) 	318	223	False	0.007943869
6	paj dakèy > Pwodwi > Silo en > Brassage endistri Silo	Home > Products > Steel Silo > Brewing Industry Silo 	Height: 30 ft 	46	600	False	0.003851533
7	Pawòl Viewer	Word Viewer 	Jellystone Park 	217	651	False	0.009859562
8	Angle	English 	Sort My Tiles Tom and Jerry 	353	139	False	0.004229784
9	Nou (136)	New (149) 	Check out my article about pro se inventors who have already filed a patent application (separate post below). 	867	612	False	0.0068006516
10	[Kare/Foto nan paj 14]	[Box/Pictures on page 16]	A.We accept FOB, CFR, CIF etc. You can choose the one which is the most convenient or cost effective for you. 	168	910	False	0.003622055
11	Ki rekonpans n ap jwenn lefètke n gen imilite?	What are the rewards for being humble?	Check out my article about pro se inventors who have already filed a patent application (separate post below). 	701	612	False	0.0110358
12	Ki sa petèt ki te lakòz lanmou kèk kretyen vin rafredi?	What may have caused the love of some Christians to grow cold?	Hear my Prayer (after Henry Purcell’s motet) – string octet 	729	249	False	0.0061376095
13	Gen lòt tèks toujou nan Ekriti grèk yo ki montre se Jezi ki Wen Bondye yo pale nan dezyèm sòm nan.	Other texts of the Christian Greek Scriptures also show that Jesus is God’s Anointed One referred to in the second psalm.	Magic Games parents. Play free online games, magic parents. 	822	329	False	0.0055354834
14	MINIGRUE ANT.	MINI-CRANE ANT SO SMALL, 	Jellystone Park 	964	651	False	0.008835673
15	demann PVC mache etaj	PVC Floor Tile 	New TRICO Auto/car Window Screen Wipers Blades Refills Suit For 95% Cars WB-625 	330	236	False	0.007349968
16	Tren Sitwayen blese te di moman sa yo	Train Wounded Citizens Told That Moments 	Jellystone Park 	164	651	False	0.009063959
17	Enskri yo kreye yon kat biznis vityèl pou biznis ou.Sa ap pran sèlman 3 minit !	Register to create a virtual business card for your business.It takes only 3 minutes ! 	Check out my article about pro se inventors who have already filed a patent application (separate post below). 	87	612	False	0.009215832
18	Sèvi Bondye se medikaman l! 15/11	‘This Is to Be a Memorial for You,’ 12/15	Asking favours 	957	580	False	0.005838871
19	"< start=""1021.4"" dur=""2.69""> Pwoblèm yo se objektif. >"	"< start=""1021.4"" dur=""2.69"">Problems are purposeful.> "	There isn’t enough scientific evidence to determine whether or not bromelain is effective for any of its other uses. 	915	694	False	0.007378936
20	Nou (134)	New (77) 	LD2460S 60A PWM Solar Controller 	884	0	False	0.0068035126
21	Ki jan mwen pa wè opsyon pou yo chwazi koulè mwen vle?	How come I don't see the option to choose color I want? 	10: Board surface is compatible with all kinds of dope, wallpaper and tiles, etc to reach perfect decorative effect. 	313	762	False	0.0057946444
22	(Tra. 1:8.) Li te pwomèt yo li t ap avèk yo nan travay enpòtan sa a rive jis nan epòk nou an. — Mat. 28:19, 20.	(Acts 1:8) He promised them that he would personally be involved in this vital work right down to our day.​—Matt. 28:19, 20.	What is propaganda?	908	998	False	0.007233262
