	Clean_Content	Human_Label
4791	94' mane don tear our net again.	positive
2878	ha! it haf do abeg!	positive
10360	paul pogba dey say hello before e do surgery for hin knee this morning. we wan wish am successful surgery.	positive
5809	latest news about senator elisha abbo dey make pipo tok about senator oluremi tinubu	neutral
6490	capt davido ‍️ saver of men number one spanish winsh	positive
7408	⏸️ ht: 2️⃣-2️⃣ genoa four goals for fess half as di match really get beta drama. na cengiz ünder &amp; dzeko tear net for us.	positive
2722	ghana cid boss for chop sack now, ghanaians bore ‘incompetent’ cop tiwaa addo-danquah	negative
8825	▶️ 2nd half we don show again! time to finish dis job... 2️⃣-1️⃣	positive
13065	73 years old woman born twins afta 57 years inside marriage	positive
9652	waec 3 times, w/gce 3 times, neco 3 times, jamb 5 times, nateb once and n/gce 2 times, graduate wey don write o’level exam 17 times say make pipo no give up for life	positive
5933	cameroon elections: candidates weh deh reject dia files get two days for file complain	negative
8023	this defenders dey fumble no be small, ordinary to shoot ball comot for defense turn wahala.	positive
2613	economy worse now pass former president mugabe time?	negative
2800	match schedule for	neutral
7773	we hope say no be peruzzi chicken change you mean?	positive
12558	tins you need to know about emeka ihedioha, di govnor wey supreme court sack	neutral
4110	atiku tweet to 'disappoint' pipo wey tink say supreme court don break im spirit	negative
185	rashford for the boys in fpl.	positive
647	????	neutral
3907	nigerians in diaspora commission oga  don petition south africa police for maltreating former big brother africa star	negative
8123	the  post election analysis is what you should watch this morning. hosted by  with guests;	positive
10704	29' willian dey faya shot, no dey pass goalie ball.	neutral
10196	uganda president yoweri museveni don begin six days march through di jungle.	positive
3464	84' emerson wey jus enta shapaly beg ref make he dash am mtn to load.	positive
11691	"lionheart film chop disqualify for ""too much english"", see six oda oscar don snub"	negative
10931	we dey start the decade with we go beat arsenal at emirates	positive
4863	caf champions league: esperance win afta wydad abandon match because of var	negative
5841	lowkey, arsenal fans dey pray for man united to beat liverpool this weekend. why? 1. dem know say united go still drop points after. 2. dem no wan make liverpool go the whole season unbeaten like arsenal invincibles that year.	positive
6948	nigeria goment don reject united state of america report wey say religion freedom no dey di kontri.	negative
13033	hello saturday	positive
4597	some fans dey put romelu lukaku’s name in deadwood category. we gree say ole dey try for transfers but everybody dey make mistakes. even fergie wey be world class manager bin make some transfer mistakes. lukaku sale na mistake but thank god rashford dey form. period!	positive
3384	match time go soon reach. supporters club, oya o.	neutral
5572	today na , so we dey encourage our followers make dem spray love for football twitter. oya, reply &amp;  dis tweet &amp; tag pesin wey you think say go like away jersey as special gift from us. we go pick one user wey anoda fan bin suggest!	positive
4518	good evening ..abeg who you be ? me i know say you know be twins . as we won enter new week so . abeg get sense. watch. listen via  to promote your song for we radio call or whatsapp…	positive
3380	now this rating is more like it! zaniolo is in form and in this week’s !	positive
8832	oyibo students cut black girl dada inside america school	negative
3831	the second half don start. god abeg o.	positive
5608	| highlights | a fourth straight league win for us as sassuolo came to town on sunday... catch up on how we did it!…	positive
10524	‘my story no be only love story. na about legacy’. said jammal na contractor wey start to dey build im aeroplane house since 1999. di labour of love na for im wife liza wey like to travel.  wey be sami pikin follow tok im own onto di house mata.	positive
9636	we no demolish mosque for rivers state - govnor wike	positive
4093	who you think say go score first goal dis night screenshot, make you reply wit your answer!	neutral
5871	1000 ways to die!!! agbero: this your man utd jersey fine sha, oya pull am. me: na your papa buy the cloth for me abi?	positive
6132	bbnaija: see di kain tins wey fans don do for dia favourite contestants	positive
8140	na wetin dem report we translate into pidgin.	positive
