	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Je bois avec une paille.	49	746	False	0.5161048
1	Ba'y on palkondywit.	Accompagne-le.	Je bois avec une paille.	954	746	False	0.84191537
2	Ba yo on palkondywit.	Accompagne-les.	Ils marchent très vite.	874	151	False	0.9409659
3	A dèmen !	À demain !	Dans le futur, je serai aviateur !	417	787	False	0.89013577
4	Rédé mwen.	Aide-moi.	Elle est moins grande que moi.	162	978	False	0.8291223
5	Rédé mwen !	Aidez-moi !	Tu n'es pas en train de manger.	48	259	False	0.8648275
6	Rédé mwen.	Aidez-moi.	Je bois avec une paille.	100	746	False	0.607195
7	An nou akaz a'y !	Allons chez elle !	Comment as-tu trouvé le film ?	39	199	False	0.8602202
8	An nou akaz a'y !	Allons chez lui !	J'ai quarante ans.	710	70	False	0.6696607
9	An nou akaz a'w !	Allons chez toi !	Sont-ils d'ici ?	743	957	False	0.91202223
10	Limé bouji-la.	Allume la bougie.	Sont-ils d'ici ?	318	957	False	0.5981995
11	Limé limyè-la.	Allume la lumière.	Comment as-tu trouvé le film ?	136	199	False	0.873189
12	Limé bouji-la.	Allumez la bougie.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	66	14	False	0.8464513
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Je mange un sandwich.	431	889	False	1.0148417
14	Aoyi ka dansé.	Aoi danse.	J'aime manger.	918	984	False	0.827719
15	Bay waka !	Applaudissez !	La robe n'est pas propre.	822	189	False	0.7614777
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	J'aime manger.	561	984	False	0.74487424
17	Ou ni dé liv ?	As-tu deux livres ?	Ce n'est pas Tom ?	102	938	False	0.39208722
18	Ou ni bon vlen ?	As-tu du bon venin ?	La robe n'est pas propre.	85	189	False	0.6743064
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	Oui, allons-y.	261	178	False	0.486508
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Je cherche un fleuriste.	187	897	False	0.7325698
21	A talè !	À tout à l'heure !	Sont-ils d'ici ?	589	957	False	0.71854424
22	Ovwa !	Au revoir !	Il a sept ans.	714	700	False	0.88824594
23	Avan an té enmé'w.	Autrefois je t'aimais.	Il a quarante-deux ans.	359	67	False	0.956792
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	198	14	False	0.88447213
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	Tu n'aurais pas dû me faire ça.	641	78	False	0.61815417
26	Bésé mizik-la !	Baisse la musique !	Je vais manger un citron.	567	90	False	0.6428877
27	Byenvini !	Bienvenue !	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	40	14	False	0.841131
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	Sont-ils d'ici ?	355	957	False	0.73289967
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Sont-ils d'ici ?	927	957	False	0.76910496
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	Je vais manger un citron.	482	90	False	0.44487166
31	Bonswa !	Bonsoir !	Tu es moins grand que nous.	540	749	False	0.5449728
32	Bonswè !	Bonsoir !	Que deviens-tu Tom ?	169	875	False	0.6912981
33	Bonswa, ka ou fè ?	Bonsoir, ça va ?	Comment as-tu trouvé le film ?	608	199	False	0.9031819
34	Bonswè, ka ou fè ?	Bonsoir, ça va ?	Dans le futur, je serai chanteur !	685	26	False	0.52090716
35	Bonswa madanm !	Bonsoir Madame !	Oui, pourquoi ?	411	17	False	0.70026386
36	Bonswè madanm !	Bonsoir Madame !	Sont-ils d'ici ?	796	957	False	0.75599575
37	Bonswa mésyézédanm !	Bonsoir Mesdames et Messieurs !	J'aime les navets.	966	307	False	1.0649695
38	Bonswè mésyézédanm !	Bonsoir Mesdames et Messieurs !	Voici Gaston.	628	10	False	1.0117006
39	Bonswè misyé !	Bonsoir monsieur !	Merci beaucoup, ce sera tout.	328	5	False	0.5871403
40	Pa ni ayen !	Ça va !	Le mal de ventre m'a repris.	688	981	False	0.4385376
41	Sa k'ay ?	Ça va ?	Oui, allons-y.	383	178	False	0.93542576
42	Sa k'ay.	Ça va.	Sont-ils d'ici ?	138	957	False	0.7930627
43	Siléma-lasa ka fè yo pè.	Ce film leur fait peur.	Oui, allons-y.	492	178	False	0.738194
44	Motè lasa ka fè dis anpè.	Ce moteur fait dix ampères.	J'aime manger.	845	984	False	0.6866683
45	Sa pa asiwé.	Ce n'est pas certain.	Sont-ils d'ici ?	313	957	False	0.85079265
46	A pa lapenn.	Ce n'est pas la peine.	Voici Jean.	629	243	False	0.9207965
47	A pa manman an mwen.	Ce n'est pas ma mère.	Sont-ils d'ici ?	775	957	False	0.73455656
48	A pa Mawi ?	Ce n'est pas Marie ?	Que deviens-tu Stéphane ?	507	721	False	0.48757124
49	A pa sè an mwen.	Ce n'est pas ma sœur.	Je mange un citron.	489	671	False	0.74561477
50	A pa fwè an mwen.	Ce n'est pas mon frère.	Comment as-tu trouvé le film ?	707	199	False	1.1262147
51	A pa Èstéfann ?	Ce n'est pas Stéphane ?	Je mange un citron.	588	671	False	0.8301624
52	A pa Tòm ?	Ce n'est pas Tom ?	Oui, pourquoi ?	938	17	False	0.8462684
53	A pa jé !	Ce n'est pas une blague !	Voici Gaston.	558	10	False	0.9340657
54	Pwasa-lasa bidim !	Ce poisson est immense !	Comment as-tu trouvé le film ?	311	199	False	0.791657
55	Sé liv-lasa bazé si Labib.	Ces livres sont basés sur la Bible.	Ce n'est pas Tom ?	948	938	False	0.54607916
56	Sé konsa mwen yé.	C'est ainsi que je suis.	Dans le futur, je serai chanteur !	368	26	False	0.55516565
57	Sé konsa i yé.	C'est ainsi qu'elle est.	J'aime manger.	773	984	False	0.620507
58	Sé konsa nou yé.	C'est ainsi que nous sommes.	Comment as-tu trouvé le film ?	447	199	False	0.7130226
59	Sé konsa zò yé.	C'est ainsi que vous êtes.	J'aime manger.	129	984	False	0.65188456
60	Sé konsa i yé.	C'est ainsi qu'il est.	Comment as-tu trouvé le film ?	133	199	False	0.77600026
61	Sé konsa yo yé.	C'est ainsi qu'ils sont.	Je mange un citron.	346	671	False	0.84276915
62	An ka palé ba'w.	C'est à toi que je m'adresse.	Sont-ils d'ici ?	597	957	False	0.67873216
63	A sa ou di.	C'est ce que tu dis.	J'aime manger.	222	984	False	0.7774358
64	Sa kon sa.	C'est comme ça.	Comment as-tu trouvé le film ?	635	199	False	0.89789605
65	I ka wété kotésit.	C'est ici qu'il habite.	Comment as-tu trouvé le film ?	553	199	False	0.724771
66	Sé'y menm ki fè kaz a'y.	C'est lui-même qui a construit sa maison.	J'aime manger.	484	984	False	0.55331695
67	Sé fimèl-bèf an mwen.	C'est ma vache.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	528	14	False	0.95344245
68	Sa bon menm !	C'est très bon !	J'aime manger.	34	984	False	0.7295091
69	Sé on bon kavalyèz toubòlman.	C'est une très bonne cavalière.	Je mange un citron.	51	671	False	0.7268301
70	Sé on bon dansèz toubòlman.	C'est une très bonne danseuse.	Sont-ils d'ici ?	794	957	False	0.91082287
71	Sé on bon najèz toubòlman.	C'est une très bonne nageuse.	Je m'appelle John.	885	956	False	0.8688446
72	Sé on bon chantè toubòlman.	C'est un très bon chanteur.	Tu es moins grand que nous.	410	749	False	0.5449728
73	Sé on bon najè toubòlman.	C'est un très bon nageur.	Ce n'est pas Tom ?	415	938	False	0.5398005
74	Apawèy-lasa two konpliké ban mwen.	Cet appareil photo est trop sophistiqué pour moi.	Le mal de ventre m'a repris.	287	981	False	0.6569408
75	Répons-lasa sé érè.	Cette réponse est fausse.	Oui, pourquoi ?	737	17	False	0.7273662
76	An malad a wòb-lasa.	Cette robe me plaît énormément.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	816	14	False	0.7890742
77	Chanté ba on bouwikèt, sé kaka i ké ba'w.	Chantez pour un âne, il vous donnera des crottes.	Je bois avec une paille.	662	746	False	0.48224974
78	Syèl !	Ciel !	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	499	14	False	0.73446786
79	Ki pwi a mayo-lasa ?	Combien coûte ce maillot de bain ?	Sont-ils d'ici ?	457	957	False	0.78403497
80	Ki pwi a pantalon-lasa ?	Combien coûte ce pantalon ?	Que deviens-tu Tom ?	759	875	False	0.54525375
81	Ki pwi a soulyé-lasa ?	Combien coûtent ces chaussures ?	Je bois avec une paille.	18	746	False	0.68677866
82	Konmen timoun i tini ?	Combien d'enfants a-t-il ?	Je joue.	807	898	False	0.66031456
83	Konmen timoun yo tini ?	Combien d'enfants ont-elles ?	Sont-ils d'ici ?	15	957	False	0.85184526
84	Kijan ou touvé fim-la ?	Comment as-tu trouvé le film ?	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	199	14	False	0.93092465
85	Kijan zòt fè ?	Comment faites-vous ?	Ce n'est pas Tom ?	201	938	False	0.38364732
86	Kijan ?	Comment ?	J'ai quarante ans.	299	70	False	0.8681252
87	Kijan yo fè'y ?	Comment l'ont-ils fait ?	Sont-ils d'ici ?	316	957	False	0.88098466
88	Kijan a'w ?	Comment vas-tu ?	Que deviens-tu Tom ?	284	875	False	0.60299385
89	Ay tou dwèt !	Continuez tout droit !	Crie !	342	964	False	0.8968251
90	Hélé !	Crie !	Je ne suis pas d'ici.	964	674	False	0.77603936
91	Hélé !	Criez !	J'aime manger.	94	984	False	0.7190366
92	Plita, an ké on avyatè !	Dans le futur, je serai aviateur !	Voici Thomas.	787	159	False	0.8241476
93	Plita, an ké on chanpyon ténis !	Dans le futur, je serai championne de tennis !	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	987	14	False	0.841131
94	Plita, mwen ké on chantè !	Dans le futur, je serai chanteur !	Je vais manger un citron.	26	90	False	0.4288032
95	Plita, mwen ké on chantèz !	Dans le futur, je serai chanteuse !	La maison est toujours propre.	915	518	False	0.7179984
96	Plita, mwen ké on dansè !	Dans le futur, je serai danseur !	Comment as-tu trouvé le film ?	172	199	False	0.92056537
97	Plita, mwen ké on dansèz !	Dans le futur, je serai danseuse !	Ce n'est pas Tom ?	74	938	False	0.7330326
98	Dàn k'ay koumansé.	Dan va commencer.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	195	14	False	0.7158567
99	Woté ba-la asi bouwikèt-la !	Débâte l'âne !	J'aime les navets.	691	307	False	0.7754582
100	Doubout !	Debout !	Dans le futur, je serai chanteur !	785	26	False	0.77819467
101	Ayisyen débaké Mawi-Galant.	Des Haïtiens ont débarqué à Marie-Galante.	J'aime manger.	612	984	False	0.83622134
102	Dis, onz, douz, trèz, katòz, kenz, sèz, disèt, dizywit, diznèf, ven.	Dix, onze, douze, treize, quatorze, quinze, seize, dix-sept, dix-huit, dix-neuf, vingt.	Oui, pourquoi ?	827	17	False	0.60382605
103	Dis, ven, trant, karant, senkant, swasant, swasanndis, katrèven, katrèven-dis, san.	Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent.	Comment as-tu trouvé le film ?	125	199	False	0.82934046
104	Ban manman sa !	Donne ça à maman !	Je bois avec une paille.	353	746	False	0.6386217
105	Ba papa sa !	Donne ça à papa !	La robe n'est pas propre.	135	189	False	0.58346975
