	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	22:16-18. Tongana e sara terê ti e kete nga e changé bango ndo ti e, Nzapa ayeke iri tënë nzoni na ndö ti e (Bâ paragraphe 8-10)	(2 Timothy 3:16) We must set aside time to study the Scriptures.	CAN YOU HAVE A SHARE?	417	606	False	0.5254073
1	Nzapa aye si mo ga nduru na lo 7	How You Can Make Friends, 12/1	Instead, their action will be a prelude to the long-awaited peace for all mankind.	384	765	False	0.68647456
2	Ala yeke na ngia ti sara ni nga ti sara kue ti ngbâ “azo so aga ti sara kodoro ti ninga pëpe”.	But those versed in the Law failed to accept him.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	573	765	False	0.65480447
3	(Psaume 37:2).	4 Another woman who received her dead by resurrection lived in the town of Shunem.	Drinking wine was obviously acceptable to Jesus.	112	100	False	0.6123966
4	ASARA angu mingi awe la a yeke zia iri “wato-ti-Christ” na ndo ti agbia nga na ndo ti afilm. Tongaso, a yeke na lege ni ti hunda tere ti e na atënë so: Wato-ti-Christ ni ayeke zo wa?	There is only one way​—to use the Bible as a measuring stick.	Published by Jehovah’s Witnesses.	693	291	False	1.0486562
5	12 Gbia David ahe bia giriri: ‘Fade mbi ngoro na tele ti balaga ti Mo, O Jéhovah, ti sala si azo amä tene ti singila.’	The Scriptures reveal to us the nature of the holy spirit	Instead, their action will be a prelude to the long-awaited peace for all mankind.	464	765	False	0.78411555
6	A sala nga si le-kobe amaï so amu na e mara ti kobe ndenge na ndenge.	[Footnote]	Instead, their action will be a prelude to the long-awaited peace for all mankind.	502	765	False	0.7330868
7	• Kota Salomon ayeke zo wa? Komandema ti lo ayeke gue juska ti si na ndo wa?	A fine attitude was displayed by a man in power under Candace, queen of the Ethiopians.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	819	765	False	0.577765
8	Wasungo psaume David awara lani lege ti bâ lo mveni so mbilimbili ti Jéhovah ayeke pusu Lo ti sala ye tongaso.	(Hebrews 12:4) But a test can take many forms.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	843	765	False	0.6922085
9	Ye oko, apendere ayeda lakue pepe na mara ti sengo ndo tongaso.	Certainly, no Christian would knowingly want to make it difficult for another person to attend Christian gatherings.	So imagine my joy and surprise when, in January 1946, I received an invitation to go to Bethel in London to help with the work there for three weeks.	850	110	False	0.7588872
10	3 Na ambeni ngoi, ti nzere na lê ti amba ti mo, bê ti mo alingbi ti pusu mo ti sara aye so na lê ti ala ayeke nzoni lege ti sarango ye.	HOW TO KEEP YOURSELF AWAKE	Instead, their action will be a prelude to the long-awaited peace for all mankind.	217	765	False	0.80809355
11	Fade lo yeke mbô ngu ti lê kue na lê ti ala, kuâ ayeke duti ande dä mbeni pëpe; mua, wala toto, wala pasi ayeke duti dä mbeni pëpe.	Follow the course of hospitality.”	Warren, who has helped many brothers to make spiritual progress, explains why: “The process of qualifying for an appointment follows a progression.	140	893	False	0.9660146
12	Sungo ti lumière ni aga na agbiango ye so andu akungba na yâ ti bungbi	He set out to provide his students with satisfying answers to their philosophical questions.	“Be Courageous and Very Strong”	284	250	False	0.87613976
13	Mû maboko na azo ti bâ ye so ala yeke manda na nene ni	14 Would we react as Job did if a fellow Christian kindly told us that we were giving evidence of a faulty attitude?	And what of those disadvantaged by racial or ethnic prejudice, serious illness, or economic factors beyond their control?	572	447	False	1.1758269
14	Tongana nyen la Jéhovah ayeke sara lisoro na mo wani na lege ti Bible?	And when representing a group in prayer, we should refrain from including confidential matters.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	670	765	False	0.88702226
15	A yeke ye wa?	17 We need to realize that the Devil, the one who first disrupted universal peace, will strongly oppose our efforts to do God’s will.	CAN YOU HAVE A SHARE?	86	606	False	0.6725242
16	Me ‘mbito asala e pepe teti ye so amu mbito na bï’ ngbanga ti so Jéhovah ayeke bata e.​—Psaume 64:2, 3 (64:1, 2, NW); 121:4; Esaïe 60:2.	SONGS: 63, 43	Heartfelt, specific prayers can make a powerful impression on young minds.	270	146	False	0.6253638
17	A yeke duti lege ti ndara ti manda ti zia bê na ambeni zo na mungo aye na ala.	But what about those who cause trouble?	Drinking wine was obviously acceptable to Jesus.	182	100	False	0.6176641
18	Lo bâ tele ti lo so lo lingbi pëpe, teti biani tongana a yeke tënë ti ngangu ti lo mveni, lo lingbi pëpe.	Agata won a special diploma and had a chance to give a presentation in front of the whole class.	He gave some as apostles, some as prophets, some as evangelizers, some as shepherds and teachers, with a view to the readjustment of the holy ones, for ministerial work, for the building up of the body of the Christ.”​—Ephesians 4:8, 11, 12.	666	758	False	0.9581106
19	Mbeni lâ tongana akoli kue ahon, azo ti mara ti Amalek aga, ala gbi kodoro ni na ala gbu awali, amolenge na anyama kue ague na ni.	(Verse 11) Elijah and Elisha were conversing until the very last moment of Elijah’s ministry in Israel.	[Pictures on page 7]	635	3	False	0.6044073
20	Na yâ ti ambeni yenga so aga na pekoni, mbito ti mbi aga ye so aso na yâ tele ti mbi lakue.”	In this prayer, we also find answers to some of life’s basic questions.	Shepherds, Imitate the Greatest Shepherds	970	786	False	1.0753094
21	Asioni mozoko amû yâ ti li ti azo, nga a yeke fa aye ti pitan kirikiri na yâ ti alimon wala na televizion.	(John 12:31) Like wind that whips up dust and litter, “the spirit of the world” stirs up hurtful desires that corrode love and cater to the weaknesses of the flesh.​—Galatians 5:19-21.	They are a loving gift from him.	135	282	False	1.1024916
22	Nyen la ayeke ku ala?	Christians have shown loving-kindness in responding to the needs of others, such as after disasters.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	630	765	False	0.9563422
23	Me, ala lingbi ti mä tënë so mbeni ange aga atene lani na aberger wala tënë so Anne mbeni wali so ayeke prophète atene na ndo ti Jésus na ngoi so aga na Jésus na temple na ndembe so lo ngbâ lani bébé.	However, motivated by our desire to serve Jehovah wherever we could be used best, we tackled this new assignment, with his blessing.	Representatives of the governing body were sent out to the congregations to deliver the letter.	507	793	False	1.0776585
24	Lâ oko oko, awafango tënë so ague na Turquie ayeke wara azo so ade amä tënë ti Jéhovah lâ oko ape.	Still, you might wonder, ‘Should I continue to give to charity, or should I simply try to help by personal gifts to individuals?’	He then picked up the jawbone of an ass and struck down a thousand foes with it.​—Judges 15:10-15.	340	933	False	0.95384395
25	Na ndo ti so Bible afa kota ndo ti Jésus, a fa nga so legeoko tongana Jéhovah, lo yeke bi bê ti lo mingi na azo.	And what of those disadvantaged by racial or ethnic prejudice, serious illness, or economic factors beyond their control?	After my father died, I was able to get a secure job with the ministry of finance.	447	267	False	0.9766598
26	Na tongo nda ti ngoi so alondo na ngu 1900 ti si na ngu 2000, na yâ ti ngu oko oko, wungo ti adodoro so kodoro ti Égypte ayeke kä na kodoro wande ayeke kutu ota tongaso.	Against all odds​—in subzero temperatures and without proper climbing equipment—​Shackleton and his companions reached their destination, and he eventually rescued all his stranded men.	Their overlays of gold and silver pale into dead meaninglessness in comparison to the magnificence of the eternal God, Jehovah, and the glories of his living creations.	782	84	False	0.5338303
27	Giriri na sese ti Israël, a kanga na li ti kota prêtre mbeni yanga ti bongo so a zia na ndo ni mbeni plaque ti lor so asara na ndo ni atënë so: “NZONI-KUE TETI [JÉHOVAH].” (Exode 28:36, 37).	We always had a regular family study, during which we would act out situations that could happen at school.	13 After 1914, The Watchtower made this significant statement: “Brethren, those of us who are in the right attitude toward God are not disappointed at any of His arrangements.	465	639	False	0.6891118
28	Ye oko, mbi leke na bê ti mbi ti sö benda na yâ bira so, na mbi zia pëpe ti sambela Nzapa ti wara mungo maboko.	The Wicked Seem to Prosper	Instead, their action will be a prelude to the long-awaited peace for all mankind.	870	765	False	1.0323768
29	Jéhovah amû maboko na mbi na lege ti ekole so na mbi manda akode so amû lege na mbi ti wu pupu nzoni nga ti bâ lege so mbi yeke sara tënë.	(Gen. 18:20, 21; 22:12) He thus balances his power of foreknowledge with his respect for our free will.	However, it is not just a matter of stimulating your children’s mental faculties.	914	167	False	1.0822585
30	Mbi mû nga maboko na ambeni zo ti hinga Jéhovah.	We find pleasure in doing his will, and we realize that God is teaching us to benefit ourselves.	(Psalm 121:2) Why was this psalmist convinced that Jehovah would help him?	219	332	False	1.0003229
31	[Afoto na lembeti 16]	And those were the activities that he recommended to his brothers and sisters in Rome.	18, 19. (a) Why is obedience vital in our day? (b) What will be considered in the next article?	890	279	False	1.0080942
32	Tele ti lo alingbi biani ti nzere tongana lo yeke sala kusala na tele ti mo, na fade salango ni lakue ayeke mu maboko na lo ti kono ziango bê ti lo kue dä juska lo lingbi ti gue lo oko na fango tene.	Contacting them or submitting to their influence is not to be taken lightly, for they, just like their leader, Satan the Devil, would like to devour us.	Such seeing is based on accurate knowledge and is perceived spiritually with ‘the eyes of the heart.’ (Ephesians 1:18) The words and deeds of Jesus also reveal much about God.	506	592	False	0.54772794
33	Bible atene so “bê asara aita ti lo tënë ti lo”, na même babâ ti Joseph asuku na lo ndali ti so lo fa peko ti bango li so.​—Genèse 37:1-11.	[Pictures on page 26]	(Job 1:3; 42:11, 12) These men were rich even by today’s standards, but they were also rich toward God.	905	15	False	1.0784385
34	Carine: Zia e bâ mbeni tapande ni nde.	(Matthew 24:45) The remnant of the 144,000 anointed ones make up that slave class today.	7 Nourish your faith with spiritual food.	57	938	False	0.8560194
35	Dutingo ti azo ayeke biani sioni na yâ ti akodoro mingi.	Draw Close to God	Lingbaoan, however, was determined to follow the truths he had found in the Bible.	46	844	False	0.9396007
36	“Fade ikaï aduti na ndo oko na molenge ti ngasangbaga, na ze alango na sese na tere ti molenge ti ngasa; molenge ti bagara, na pendere bamara, na bagara ti mafuta, fade ala lango na ndo oko; na fade kete molenge afa lege na ala. . . .	Those offering acceptable sacrifices to Jehovah receive his approval.	You might ask the householder, “Would you like to have me show you how a Bible study is conducted?”	773	188	False	0.71572244
37	Na ndö ti so a-ancien ayeke kpengba azo na lege ti atënë ti yanga ti ala, mbeni ye wa la ala lingbi ti sara ti kpengba azo?	“We tried to root out any bad motives once these were discerned,” the father says, “and replace them with good and pure motives by reasoning with the children.”	18, 19. (a) Why is obedience vital in our day? (b) What will be considered in the next article?	74	279	False	1.0734327
38	A hinga tagba na gazelle so ayeke mbeni nyama so ayeke tongana lekpa, na pendere tambela ti ala nga na pendere ti ala.	In 1911, my father married a girl from a neighboring village.	• Why do you want to keep on walking in the path of increasing light?	994	830	False	0.8679452
39	Na pekoni, na ngu 1905, Albert Einstein afa so lumière ayeke sala ye tongana gbâ ti ngangu, wala particule (fuku ti ngangu).	He described his feelings this way: “My heart was soured and in my kidneys I was sharply pained.”	Instead, their action will be a prelude to the long-awaited peace for all mankind.	984	765	False	0.87366414
40	Hinga ape mo bezoin ti tene mbeni zo adë bê ti mo, na mo bâ so amolenge ti mo ayeke na nzara ti mû maboko na mo na yâ ni.	Rather, they look for opportunities to “work what is good toward all, but especially toward those related to [them] in the faith.”	However, chaplains in the military could not really answer my questions either.	580	709	False	0.8819988
41	“TONGANA mbeni zo atokua na mo mbeni lettre na lo tene na mo so a zia na mo mbeni ye ti héritier so mo hinga tënë ni pëpe, a lingbi mo sala hange, ngbanga ti so mo lingbi ti tï na yâ ti gbanda ti mbeni tâ kota wahanda.”	True, Jesus had assured them that they would soon receive holy spirit.	Surfing the Internet?	211	298	False	0.71723175
42	A yeke hinga polele ala so andoye biani Nzapa, mbilimbili fadeso, so e yeke na yâ ti mbeni ngoi so Bible airi ni “lâ ti nda ni”.	On one occasion, Jesus Christ spoke about the need to pray and “not to give up.”	Instead, their action will be a prelude to the long-awaited peace for all mankind.	133	765	False	0.89107656
43	12 Diko Zacharie 12:5, 6.	Has it helped youths to remain firm in the faith?	3 False messiahs and their prophecies are total failures, but paying attention to God’s prophetic word never leads to disappointment.	52	605	False	0.90060794
44	Na ngoi ti e, amokonzi ti lege ti vorongo afa ye so anzere na mê ti azo na tenengo so Nzapa alingbi ti yeda na bungbingo ti koli na wali na gigi ti mariage.	When the priests “stood up against Uzziah” and told him to “go out from the sanctuary,” he became enraged against the priests and was struck with leprosy.​—2 Chronicles 26:16-20.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	222	765	False	1.0671697
45	Me zo kue ayeke yeda so ti ke mbeni ye na kuru go ayeke lakue kete ye pëpe.	4 In today’s debased moral climate, many people “have eyes full of adultery and [are] unable to desist from sin.” (2 Peter 2:14) They willfully pursue romantic relationships outside of marriage.	12 In Bible times, for example, women prophesied.	432	622	False	1.1190424
46	Ala yeke na angangu ye ti bira, na ala yeke ndulu ti sala kusala na ni.	It is significant that the Bible does not describe Jehovah primarily as a punisher.	Who are these two witnesses?	651	318	False	0.99562025
47	Lo gue na tambela na mbeni kodoro nde na lo bâ lege so azo ti kodoro ti Asie ayeke voro Nzapa. Lo to nda ti hunda tele ti lo wala tâ Nzapa ayeke gi oko.	It is not as though they had specifically chosen to stand for the anthem.	Divine Laws Are for Our Benefit	223	805	False	0.9755995
48	15 Tongana e bâ so a yeke ngangu na e ti hon ndo ti asioni nzara ti bê ti e, a yeke nzoni e sara tënë ni na mbeni ita so asara na Jéhovah teti angu mingi na so alingbi ti mû na e awango so ayeke na yâ ti Bible.	(1 Cor. 14:33, 40) In the first century C.E. and in our day, the Scriptures have helped the earthly part of Jehovah’s organization to do the far-reaching work of preaching the good news.	• What does Jehovah’s giving ear to Lot’s plea teach us?	482	16	False	0.5029423
49	Jésus awara vundu mingi ti bâ so adisciple ti lo angbâ ti sala nzara ti kota ndo.	Lessons to Learn Now	[Pictures on page 7]	620	3	False	0.64163554
50	Lo futa ala so abata be-biani ti ala na angbâ lakue ti sala kusala ti kongo le-kobe.	The fact is, we can find evidence of Jesus’ existence in what secular historians wrote about him and his followers.	Published by Jehovah’s Witnesses.	977	291	False	0.8949485
51	8. (a) Tene ti Nzapa na ndo Molenge ti lo agboto lê na ndo nyen? (b) Mbinda so asi na yâ gbiango tele ni afa nyen?	A stranger approaches him and asks: “Do you actually know what you are reading?”	(1 Cor. 14:33, 40) In the first century C.E. and in our day, the Scriptures have helped the earthly part of Jehovah’s organization to do the far-reaching work of preaching the good news.	903	482	False	0.8284972
52	“Ye so ayeke na mo, mo gbu ngangu”	What prophecies will we now consider?	Lingbaoan, however, was determined to follow the truths he had found in the Bible.	423	844	False	0.9392463
53	Na yâ buku Annuaire des Témoins de Jéhovah, a yeke wara mbeni kete carte na ndo akodoro ti sese, na buku ni ayeke fa tënë na ndo fini ti azo nga kusala ti fango tënë na yâ akodoro nde nde.	To correct that viewpoint, Paul relates what has to ‘come first.’​—2 Thess. 2:1-3.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	330	765	False	0.77431834
54	Mo yeke kiri tënë tongana nyen?	The apostle Paul therefore designated all early Christians as true saints, or holy ones.	So imagine my joy and surprise when, in January 1946, I received an invitation to go to Bethel in London to help with the work there for three weeks.	727	110	False	0.93797255
55	A DÜ LO NA NGU: 1987	Not according to one recent poll in Britain. It revealed that about 35 percent of parents with young children are still searching for advice they can trust.	Such seeing is based on accurate knowledge and is perceived spiritually with ‘the eyes of the heart.’ (Ephesians 1:18) The words and deeds of Jesus also reveal much about God.	712	592	False	0.8678795
56	Na pekoni, ita-koli ni adabe ti lo: “Mbi wara mbeni ngia ti bibe so kozoni asi na mbi lâ oko pepe.	In a meaningful passage at the beginning of his letter to Christians in Ephesus, the apostle Paul explains how God will put an end to all of mankind’s problems.	True, we have not seen God’s mighty acts as Joshua did, but if anyone should doubt, the Bible book bearing Joshua’s name provides eyewitness testimony to the trustworthiness of Jehovah’s word.	185	725	False	0.9606762
57	Mbeti ti Nzapa atene: “Na yâ ngu miombe ni so lo yeke gbia, tongana lo [Yoshiya] de pendere [ndulu na ngu 16], lo to nda ti gi Nzapa ti kotara ti lo David.” (2 Chronique 34:3) Yoshiya angbâ nga ti ‘gi mbilimbili,’ teti e diko: “Na yâ ti ngu bale oko na ndo ni use ni [tongana Yoshiya ayeke ndulu na ngu 20], lo to nda ti sukula sese ti Juda na Jérusalem, ti lungula ndo-nduzu, na ayanda ti Astarté, na ayanda so a leke na kode, na ayanda ti wen.	In his letter to the Galatians, Paul called such acts and traits “the works of the flesh.”	Instead, their action will be a prelude to the long-awaited peace for all mankind.	929	765	False	0.78304815
58	A yeke mbeni tene so zo alingbi biani ti zia bê na ndo ni, mbeni tene so alondo na Zo so Bible atene lo “lingbi sala mvene pepe.”	No doubt Eve felt a closeness to Adam, from whom “she was taken.”	Lingbaoan, however, was determined to follow the truths he had found in the Bible.	790	844	False	0.8851011
59	Fade a yeke mû lege pëpe na Satan wala na adémon ti lo ti buba yâ ti gango tâ tënë ti zendo ti Nzapa, ti lekengo sese ti tene aga mbeni paradis na ti sala si azo akiri aga mbilimbili-kue na ngoi ti Komandema ti Ngu Saki Oko ti Christ.	The remedy is simple: Greet people.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	907	765	False	0.7287879
60	Me Nzapa azia ndoye ti lo na gbele e na lege so, tongana e ngbâ lani awasiokpari, Christ akui ndali ti e.” (aRom.	Our spiritual vision can become blurred, or out of focus, so that we fail to discern his crafty acts.	They are a loving gift from him.	524	282	False	1.0528924
61	Laso, Satan ayeke na oko ngia so tongana mbeni kî na yâ mitele asala nga ngangu na e.	For instance, some parents may hesitate to encourage their child to pursue a career of pioneering, to serve where the need is greater, to enter Bethel service, or to work on theocratic construction projects.	Lingbaoan, however, was determined to follow the truths he had found in the Bible.	362	844	False	0.69383454
62	Mo hinga tongana nyen “nzoni fini tënë akiri akpengba bio ti zo”?	How can one “fall” and yet have God’s favor?	The psalmist assures us that ‘favor is what God gives.’	156	27	False	0.86478496
63	Ti hinga ni, zia e bâ kozoni tongana nyen Mbeti ti Nzapa asara kusala na tënë “kongregation”.	By the age of 24, he was professor of theology at the university of Ingolstadt, a position he held until his death in 1543.	(John 4:24; 17:17) And the apostle Paul said that our salvation depends on our coming to “an accurate knowledge of truth.” (1 Timothy 2:4) So it is vital that our beliefs be based on accurate Bible truth.	350	898	False	0.8072971
64	Me na yâ ti sewa ti mbi, siriri ayeke dä ape.	Do the Hebrew Scriptures address this complex problem?	Instead, their action will be a prelude to the long-awaited peace for all mankind.	253	765	False	1.1379874
65	Legeoko nga, Jéhovah ayeke girisa ande lâ oko ape kua so e yeke sara na lo nga na ndoye so e yeke fa na mbage ti lo (aHéb.	17 Job also saw many of God’s invisible qualities in the visible creation.	Warren, who has helped many brothers to make spiritual progress, explains why: “The process of qualifying for an appointment follows a progression.	806	893	False	0.9894488
66	Mbeti ti Évangile ti Matthieu so a sigigi na ni so ayeke na alembeti 128.	Read With an Open Mind	Published by Jehovah’s Witnesses.	652	291	False	0.94634175
67	Oko pëpe!	Certain ones who reported to Jesus that Pilate had mixed the blood of Galileans with their sacrifices may have been referring to this incident.​—Luke 13:1.	Instead, their action will be a prelude to the long-awaited peace for all mankind.	925	765	False	1.0659635
68	“Ala luti ngangu na yâ ti mabe”	Do we observe carefully the needs of others with a view to helping them?	13. Why can we be sure that Jehovah’s light will never cease to shine upon his people?	344	978	False	0.7436116
69	Lo yeke na kamene pëpe ti sala tënë na mbeni wande, na mbage nga, lo yeke sala ngia ti buba na zo pëpe.	[Picture on page 8]	“Practice giving, and people will give to you,” said Jesus. “They will pour into your laps a fine measure, pressed down, shaken together and overflowing.	17	90	False	0.8362125
