	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Je bois avec une paille.	49	746	False	0.51610506
1	Ba'y on palkondywit.	Accompagne-le.	Je bois avec une paille.	954	746	False	0.84191537
2	Ba yo on palkondywit.	Accompagne-les.	Ils marchent très vite.	874	151	False	0.940966
3	A dèmen !	À demain !	Dans le futur, je serai aviateur !	417	787	False	0.89013565
4	Rédé mwen.	Aide-moi.	Elle est moins grande que moi.	162	978	False	0.8291223
5	Rédé mwen !	Aidez-moi !	Tu n'es pas en train de manger.	48	259	False	0.86482763
6	Rédé mwen.	Aidez-moi.	Je bois avec une paille.	100	746	False	0.60719514
7	An nou akaz a'y !	Allons chez elle !	Comment as-tu trouvé le film ?	39	199	False	0.86021984
8	An nou akaz a'y !	Allons chez lui !	J'ai quarante ans.	710	70	False	0.6696609
9	An nou akaz a'w !	Allons chez toi !	Sont-ils d'ici ?	743	957	False	0.9120225
10	Limé bouji-la.	Allume la bougie.	Sont-ils d'ici ?	318	957	False	0.59819937
11	Limé limyè-la.	Allume la lumière.	Comment as-tu trouvé le film ?	136	199	False	0.873189
12	Limé bouji-la.	Allumez la bougie.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	66	14	False	0.84645116
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Je mange un sandwich.	431	889	False	1.0148414
14	Aoyi ka dansé.	Aoi danse.	J'aime manger.	918	984	False	0.827719
15	Bay waka !	Applaudissez !	La robe n'est pas propre.	822	189	False	0.7614776
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	J'aime manger.	561	984	False	0.74487436
17	Ou ni dé liv ?	As-tu deux livres ?	Ce n'est pas Tom ?	102	938	False	0.39208734
18	Ou ni bon vlen ?	As-tu du bon venin ?	La robe n'est pas propre.	85	189	False	0.67430663
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	Oui, allons-y.	261	178	False	0.48650813
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Je cherche un fleuriste.	187	897	False	0.7325697
21	A talè !	À tout à l'heure !	Sont-ils d'ici ?	589	957	False	0.718544
22	Ovwa !	Au revoir !	Il a sept ans.	714	700	False	0.88824606
23	Avan an té enmé'w.	Autrefois je t'aimais.	Il a quarante-deux ans.	359	67	False	0.956792
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	198	14	False	0.8844719
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	Tu n'aurais pas dû me faire ça.	641	78	False	0.6181543
26	Bésé mizik-la !	Baisse la musique !	Je vais manger un citron.	567	90	False	0.6428877
27	Byenvini !	Bienvenue !	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	40	14	False	0.8411311
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	Sont-ils d'ici ?	355	957	False	0.73289895
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Sont-ils d'ici ?	927	957	False	0.76910484
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	Je vais manger un citron.	482	90	False	0.44487166
31	Bonswa !	Bonsoir !	Tu es moins grand que nous.	540	749	False	0.54497313
32	Bonswè !	Bonsoir !	Que deviens-tu Tom ?	169	875	False	0.6912981
33	Bonswa, ka ou fè ?	Bonsoir, ça va ?	Comment as-tu trouvé le film ?	608	199	False	0.9031819
34	Bonswè, ka ou fè ?	Bonsoir, ça va ?	Dans le futur, je serai chanteur !	685	26	False	0.5209073
35	Bonswa madanm !	Bonsoir Madame !	Oui, pourquoi ?	411	17	False	0.700264
36	Bonswè madanm !	Bonsoir Madame !	Sont-ils d'ici ?	796	957	False	0.7559961
37	Bonswa mésyézédanm !	Bonsoir Mesdames et Messieurs !	J'aime les navets.	966	307	False	1.0649693
38	Bonswè mésyézédanm !	Bonsoir Mesdames et Messieurs !	Voici Gaston.	628	10	False	1.0117005
39	Bonswè misyé !	Bonsoir monsieur !	Merci beaucoup, ce sera tout.	328	5	False	0.5871401
40	Pa ni ayen !	Ça va !	Le mal de ventre m'a repris.	688	981	False	0.43853736
41	Sa k'ay ?	Ça va ?	Oui, allons-y.	383	178	False	0.9354253
42	Sa k'ay.	Ça va.	Sont-ils d'ici ?	138	957	False	0.7930623
43	Siléma-lasa ka fè yo pè.	Ce film leur fait peur.	Oui, allons-y.	492	178	False	0.73819375
