	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ol brata bilong em i kam long Isip bilong painim kaikai, long wanem, ples bilong ol i gat hangre.	That condemned criminal is as good as dead.*	Centuries later, David distinguished himself on the battlefield.	555	457	False	0.00622344
1	18 Baibel i gat ol gutpela skultok long pasin bilong stretim ol kros.	However, the rains came down with the release of the New World Translation in Tsonga.”	What about the Bible in languages other than English?	766	729	False	0.008922577
2	(Jon 5:25-29; Hib. 11:35) Krais bai makim sampela bilong ol dispela “pikinini” long mekim wok olsem “ol bikman” long olgeta hap bilong graun.	That would be part of showing them honor and love.	The psalmist David came to appreciate firsthand this facet of Jehovah’s justice.	840	551	False	0.006982088
3	KLOSTU 2,000 yia i go pinis, 4-pela aposel bilong Jisas i toktok wantaim em long maunten Oliv na ol i givim Bosman bilong ol wanpela askim.	And in the abundance of your superiority you can throw down those who rise up against you; you send out your burning anger, it eats them up like stubble. . . .	(Exodus 34:33-35) Why did Moses veil his face at times?	113	827	False	0.008644104
4	Tok Yumi Autim​—⁠Gutnius Bilong Kingdom Bilong God	4 If you are arranging such a gathering and are responsible for it, you should think through what is planned, even if you are inviting just a few believers for a meal and friendly conversation.	The scripture also alludes to the thoroughness with which they complied.	104	331	False	0.010382652
5	Maski yu laik bihainim wanem pasin bilong givim kontribiusen, pastaim yu mas ringim o salim pas i go long brens ofis long kantri yu stap long en bilong painimaut wanem pasin i orait long yu ken bihainim.	Since 1945, wars have been more localized but just as brutal.	The psalmist David came to appreciate firsthand this facet of Jehovah’s justice.	491	551	False	0.006241679
6	Long dispela yia, bung bilong tingim dai bilong Jisas Krais bai kamap long Sarere, Mas 22, taim san i go daun pinis.	12 The prophetic words of Micah 1:3, 4 may remind you of another inspired prophecy foretelling disastrous events on earth.	The first article explains why we should be willing to wait on Jehovah.	776	338	False	0.0054557323
7	Tasol bihain, Usia i kisim pasin antap.	The Burden of Taxes	The psalmist David came to appreciate firsthand this facet of Jehovah’s justice.	218	551	False	0.0067762136
8	God i tambuim ol man long kaikai long dispela diwai, na em i tokim ol olsem sapos ol i sakim tok bilong em, ol bai i dai.	Their mouth, indeed, can cause a division in the congregation.	What about the Bible in languages other than English?	795	729	False	0.006606579
9	Long taim stret, Jehova i truim tok promis bilong em long helpim lain bilong em long lusim kalabus long Babilon na stretim bek lotu i tru long Jerusalem.	A Chaste Young Woman	Our brothers and sisters as well as people in general should be able to see that we fittingly represent our righteous God.	768	959	False	0.007870674
