ENT1	ENT2	Properties
Q423	Q18808	['P36', 'P150']
Q214	Q1780	['P36']
Q189	Q1764	['P36']
Q40	Q97271358	nan
Q32	Q1842	['P36', 'P138', 'P1889']
Q28	Q1781	['P36', 'P150']
Q1044	Q3780	['P36']
Q1781	Q28	['P17', 'P131', 'P1376']
Q1530	Q796	['P17', 'P1376']
Q19660	Q218	['P17', 'P131', 'P1376']
Q585	Q20	['P17', 'P1376']
Q1780	Q214	['P17', 'P1376']
Q1754	Q34	['P17', 'P1376']
Q649	Q159	['P17', 'P131', 'P1376']
Q2807	Q29	['P17', 'P1376']
Q1770	Q191	['P17', 'P1376']
Q239	Q31	['P17', 'P1376']
Q37806	Q686	['P17', 'P1376']
Q678	Q538	['P30']
Q334	Q48	['P30']
Q881	Q48	['P30']
Q45	Q46	['P30']
Q884	Q48	['P30']
Q79	Q15	['P30']
Q41	Q46	['P30']
Q96	Q49	['P30', 'P361']
Q142	Q46	['P30']
Q1041	Q15	['P30']
Q805	Q48	['P30']
Q804	Q27611	['P361']
Q7704180	Q48	nan
Q32	Q46	['P30']
Q28	Q46	['P30']
Q842	Q48	['P30']
Q1000	Q15	['P30']
Q794	Q48	['P30']
Q580366	Q155	['P17']
Q48278	Q739	['P17']
Q4035	Q155	['P17']
Q8678	Q155	['P17', 'P1376']
Q23495	Q212	['P17']
Q23520	Q159	['P17']
Q497793	Q408	['P17']
Q339527	Q408	['P17']
Q11568	Q408	['P17']
Q3141	Q408	['P17']
Q17856	Q408	['P17']
Q231765	Q408	['P17']
Q5112	Q408	['P17']
Q37100	Q664	['P17', 'P1376']
Q34932	Q408	['P17']
Q187861	Q408	['P17']
Q331764	Q408	['P17']
Q3183	Q408	['P17']
Q207756	Q664	['P17']
Q29207	Q30461	nan
Q76	Q30461	nan
Q274174	Q30461	nan
Q329	Q30461	nan
Q57371	Q30461	nan
Q1124	Q30461	nan
Q41117	Q30461	nan
Q57289	Q30461	nan
Q57467	Q30461	nan
Q29213	Q30461	nan
Q469851	Q14212	nan
Q57892	Q14212	nan
Q561213	Q14212	nan
Q43135	Q14212	nan
Q316267	Q14212	nan
Q180383	Q14212	nan
Q10648	Q14212	nan
Q16986436	Q14212	nan
Q57641	Q14212	nan
Q35581	Q17	['P17']
Q13989	Q17	['P17']
Q13991	Q17	['P17', 'P131']
Q13987	Q17	['P17', 'P131']
Q146695	Q881	['P17']
Q370746	Q881	['P17']
Q1247596	Q691	['P17']
Q849790	Q691	['P17', 'P131']
Q753686	Q691	['P17', 'P131']
Q753689	Q691	['P17', 'P131']
Q853664	Q691	['P17', 'P131']
Q874962	Q691	['P17', 'P131']
Q849801	Q691	['P17', 'P131']
Q690880	Q691	['P17', 'P131']
Q599448	Q691	['P17', 'P131']
Q849812	Q691	['P17', 'P131']
Q667468	Q691	['P17', 'P131']
Q753702	Q691	['P17']
Q43829	Q685	['P17']
Q36541	Q159	['P17']
Q41060	Q20	['P17']
Q38291	Q222	['P17']
Q42677	Q218	['P17']
Q37420	Q408	['P17']
Q216	Q37	['P17', 'P1376']
Q57289	Q30461	nan
