,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
7,Steven Frederic Seagal (boen 10 Epril 1952) em i akta blong [[Yunaeted Stet blong Amerika]].,Steven Frederic Seagal em i akta blong Yunaeted_Stet_blong_Amerika,8,13,53.857142857142854,1,13-1
6,"Banjar hem i taon long Wes Java, [[Indonesia]].",Banjar hem i taon long Wes Java Indonesia,8,13,53.857142857142854,0,13-0
5,"Edward Regan ""Eddie"" Murphy (boen 3 Epril 1961) em i akta blong [[Yunaeted Stet blong Amerika]].",Edward Regan Eddie Murphy em i akta blong Yunaeted_Stet_blong_Amerika,9,13,53.857142857142854,1,13-1
4,Stéphane Antiga (boen 3 Februari 1976) em i volibol pleya blong [[Franis]].,Stéphane Antiga em i volibol pleya blong Franis,8,13,53.857142857142854,0,13-0
3,[[Naus]] hemi wan namba wan fruit blo yumi.,Naus hemi wan namba wan fruit blo yumi,8,13,53.857142857142854,0,13-0
2,Stanley Kubrick (26 Julae 1928 – 7 Maj 1999) em i muvi daerekta blong [[Yunaeted Stet blong Amerika]].,Stanley Kubrick em i muvi daerekta blong Yunaeted_Stet_blong_Amerika,8,13,53.857142857142854,1,13-1
1,Uetersen i stap smol taon blong [[Jemani]] blong west.,Uetersen i stap smol taon blong Jemani blong west,9,13,53.857142857142854,0,13-0
0,Madagaskar hemi wan bigfala aelan long saot east blong [[Afrika]].,Madagaskar hemi wan bigfala aelan long saot east blong Afrika,10,13,53.857142857142854,0,13-0
41,Delmenhorst i stap smol taon blong [[Jemani]] blong west.,Delmenhorst i stap smol taon blong Jemani blong west,9,9,52.494714587737846,0,9-0
36,"Hem i bin ded long 10 Jun 1926, [[Barcelona]], Catalonia, Spain.",Hem i bin ded long Jun Barcelona Catalonia Spain,9,9,52.494714587737846,0,9-0
37,Nahathai Thewphaingarm (boen 1970) i woman blong politik blong [[Taelan]].,Nahathai Thewphaingarm i woman blong politik blong Taelan,8,9,52.494714587737846,0,9-0
38,James Abram Garfield (1831 - 1881) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,James Abram Garfield i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,9,52.494714587737846,3,9-3
39,Thomas Woodrow Wilson (1856 - 1924) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Thomas Woodrow Wilson i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,9,52.494714587737846,3,9-3
40,Ai Takahashi (boen 1986) em i woman blong singsing blong [[Japan]].,Ai Takahashi em i woman blong singsing blong Japan,9,9,52.494714587737846,2,9-2
18,Akane Haga (bon long yia 2002) em i woman blong singsing blong [[Japan]].,Akane Haga em i woman blong singsing blong Japan,9,9,52.494714587737846,2,9-2
42,Momoe Yamaguchi (boen 17 Januware 1959) em i woman blong singsing blong [[Japan]].,Momoe Yamaguchi em i woman blong singsing blong Japan,9,9,52.494714587737846,2,9-2
43,Donald John Trump (boe 14 Jun 1946) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Donald John Trump i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,9,52.494714587737846,3,9-3
20,"Long July 2010, populaesen blong [[Nevada]] i stap araon 2,700,551.",Long July populaesen blong Nevada i stap araon,8,9,52.494714587737846,0,9-0
34,William Howard Taft (1857 - 1930) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,William Howard Taft i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,9,52.494714587737846,3,9-3
17,"Brahmagupta (Sanskrit: ब्रह्मगुप्त) (boen klosap 598, bin ded afta 665) em i bin wan man blong [[matematikis]] mo [[astronomi]].",Brahmagupta em i bin wan man blong matematikis mo astronomi,10,9,52.494714587737846,0,9-0
16,"Long Julae 2015, populaesen blong [[Armenia]] i stap araon tri milien.",Long Julae populaesen blong Armenia i stap araon tri milien,10,9,52.494714587737846,0,9-0
35,Xiumin (boen 1990) em i wan man blong singsing blong [[Saot Koria]].,Xiumin em i wan man blong singsing blong Saot_Koria,9,9,52.494714587737846,2,9-2
30,"Long July 2016, populaesen blong [[Delaware]] i stap araon 952,065.",Long July populaesen blong Delaware i stap araon,8,9,52.494714587737846,0,9-0
33,François Charles Amand Fillon (boen 4 Maj 1954) em i praem minista blong [[Franis]].,François Charles Amand Fillon em i praem minista blong Franis,10,9,52.494714587737846,0,9-0
32,Warren Edward Buffett (boen 30 Ogis 1930) em i bisnesman blong [[Yunaeted Stet blong Amerika]].,Warren Edward Buffett em i bisnesman blong Yunaeted_Stet_blong_Amerika,8,9,52.494714587737846,1,9-1
31,"Long Julae 2015, populaesen blong [[Estonia]] i stap les wan milien.",Long Julae populaesen blong Estonia i stap les wan milien,10,9,52.494714587737846,0,9-0
14,Paul Davis Ryan Jr. (boen 29 Januware 1970) i politikis blong [[Yunaeted Stet blong Amerika]].,Paul Davis Ryan Jr i politikis blong Yunaeted_Stet_blong_Amerika,8,9,52.494714587737846,1,9-1
