	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ou pèd lajan'w ?	Did you lose your money?	I have cancer.	72	15	False	1.1284477
1	Pa mélé mwen kon sa !	Do not confuse me like that!	The capital of France is Paris.	6	9	False	1.209685
2	Lété, nou ka pati kanpé.	Every summer, we go camping.	My name is Henry.	54	82	False	1.1577892
3	Ban mwen on tibo, dé tibo, twa tibo, doudou.	Give me one kiss, two kisses, three kisses, darling.	I have cancer.	99	15	False	0.8853787
4	I ka bwè.	He drinks.	He got a red card.	87	48	False	1.0870631
5	I pran on katon wouj.	He got a red card.	He got a red card.	48	48	True	1.0459199
6	I fèt avèg.	He has been blind from birth.	I have cancer.	61	15	False	0.7981484
7	I ni on kansè.	He has cancer.	Did you lose your money?	50	72	False	0.9649273
8	I chanjé.	He has changed.	I have cancer.	22	15	False	0.875108
9	I vini !	He has come!	I want to visit Boston.	3	74	False	1.098017
10	I ni lajan	He has money.	My name is Jim.	11	4	False	0.9930892
11	I ni diven.	He has wine.	He got a red card.	90	48	False	1.051343
12	I ka manjé.	He is eating.	I prefer speaking in French.	41	16	False	1.1572663
13	I ka jwé.	He is playing.	What is your name?	93	98	False	0.9850861
14	Bonjou, ka'w fè ?	Hello, how are you?	He got a red card.	100	48	False	0.98026466
15	Rédé mwen !	Help me!	I prefer speaking in French.	8	16	False	1.1066413
16	I ka di tout moun papa a i sé on avyatè.	He tells everyone his dad is an aviator.	Hello, how are you?	56	100	False	0.86460364
17	Tinon a madanm a'y sé Liz.	His wife’s name is Liz.	I have cancer.	94	15	False	1.1670616
18	Tinon a madanm-mayé a'y sé Liz.	His wife’s name is Liz.	The tool enables us to work.	46	66	False	1.0466721
19	Mwen sé moun Dominik.	I am Dominican.	I prefer speaking in French.	67	16	False	1.1572663
20	Mwen ka bwè èvè on pay.	I am drinking with a straw.	I am looking for a jewelry store.	71	62	False	1.1339658
21	An ka manjé.	I am eating.	Where?	23	73	False	0.9977094
22	Mwen ka manjé.	I am eating.	He got a red card.	60	48	False	1.1277626
23	An ka chèché on bijoutri.	I am looking for a jewelry store.	I need a lot more money.	43	12	False	1.0260713
24	Mwen ka chèché on bijoutri.	I am looking for a jewelry store.	He got a red card.	62	48	False	0.98026466
25	An ka chèché on boutik.	I am looking for a shop.	I eat bread for my breakfast.	78	97	False	0.8688501
26	Mwen ka chèché on boutik.	I am looking for a shop.	He got a red card.	29	48	False	1.0520537
27	An ka jwé.	I am playing.	He got a red card.	84	48	False	0.9751884
28	Mwen sé Tòm.	I am Tom.	He got a red card.	95	48	False	1.0536313
29	An té ké vlé achté on chyen.	I'd like to buy a dog.	He got a red card.	83	48	False	1.1449101
30	Mwen té ké vlé achté on chyen.	I'd like to buy a dog.	He got a red card.	20	48	False	1.1839482
31	Mwen pa ka konpwann zòt ka viv kon si pa ni pwoblèm.	I don't understand you who live like nothing's wrong.	I prefer speaking in French.	96	16	False	1.1117712
32	An vé pa ay lékòl.	I don't want to go to school.	The capital of France is Paris.	17	9	False	1.142592
33	An ka bwè.	I drink.	One, two, three, four, five, six, seven, eight, nine, ten.	13	89	False	1.0301814
34	Mwen ka bwè èvè on pay.	I drink with a straw.	I need to sell my farm.	51	53	False	1.1889619
35	An ka manjé pen a lè a didiko-la.	I eat bread for my breakfast.	I need a lot more money.	97	12	False	1.1280074
36	An ni on lagrip.	I have a cold.	He got a red card.	42	48	False	1.1639373
37	An ni on kansè.	I have cancer.	He is playing.	15	93	False	1.1995332
38	Mwen ni on kansè.	I have cancer.	My name is Jim.	57	4	False	0.9959825
39	I pran on katon wouj.	Il a eu un carton rouge.	I prefer speaking in French.	44	16	False	1.0785947
40	Sa k'ay é ou menm ?	I'm fine, and you?	I am looking for a shop.	45	29	False	1.1868963
41	An ka kenbé.	I'm holding up.	What is your name?	0	98	False	1.0193772
42	Mwen sé Tòm.	I'm Tom.	He got a red card.	27	48	False	1.0840039
43	An bizwen lajan onlo.	I need a lot more money.	I am looking for a jewelry store.	69	62	False	1.2266638
44	An bizwen lajan onpil.	I need a lot more money.	I'd like to buy a dog.	19	83	False	1.133877
45	Mwen bizwen lajan on chay.	I need a lot more money.	His wife’s name is Liz.	12	94	False	0.98461664
46	An bizwen vann bitasyon an mwen.	I need to sell my farm.	I don't want to go to school.	53	17	False	1.0935311
47	Mwen bizwen vann bitasyon an mwen.	I need to sell my farm.	Where?	5	73	False	1.0415328
48	Fo'w rouvini.	I need you to come back.	I need to sell my farm.	36	5	False	1.284148
49	An pisimyé légim kri ki légim kuit.	I prefer raw vegetables to cooked ones.	He got a red card.	33	48	False	1.0557984
50	An simyé palé fwansé.	I prefer speaking in French.	Do not confuse me like that!	16	6	False	1.0976613
51	Mwen simyé palé fwansé.	I prefer speaking in French.	What is your name?	55	98	False	1.0124222
52	Sé Bondyé ki ka bay lavi.	It is God who gives life.	I'd like to buy a dog.	31	83	False	0.9587203
53	An vlé achté on chyen.	I want to buy a dog.	He got a red card.	76	48	False	1.0459199
54	Mwen vlé achté on chyen.	I want to buy a dog.	He got a red card.	88	48	False	1.0820305
55	An vlé vann bitasyon an mwen.	I want to sell my farm.	Hello, how are you?	24	100	False	0.86460364
56	Mwen vlé vann bitasyon an mwen.	I want to sell my farm.	I don't want to go to school.	14	17	False	1.2371655
57	An vlé wété Bòstòn.	I want to visit Boston.	I prefer speaking in French.	74	16	False	1.1066413
58	Mwen vlé wété Bòstòn.	I want to visit Boston.	He has come!	10	3	False	1.1276653
59	Jézi fè on chay miwak.	Jesus did many miracles.	He got a red card.	39	48	False	1.0585392
60	Lajwa, lanmou, solèy adan kè an mwen.	Joy, love and sun are inside my heart.	I need a lot more money.	58	12	False	1.0260713
61	Loraj-la tonbé asi on pyébwa.	Lightning struck the tree.	Do not confuse me like that!	34	6	False	1.1251533
62	Bagaj an mwen paré.	My luggage is ready.	I am looking for a jewelry store.	49	62	False	1.2266638
63	Tinon an mwen sé Dàn.	My name is Dan.	One, two, three, four, five, six, seven, eight, nine, ten.	28	89	False	0.9878018
64	Tinon an mwen sé Anri.	My name is Henry.	They have ninety dollars.	82	40	False	1.1020603
65	Tinon an mwen sé Itchiro.	My name is Ichiro.	The house is always spruce.	21	101	False	0.0
66	Tinon an mwen sé Irakli.	My name is Irakli.	I drink.	18	13	False	1.1845852
67	Tinon an mwen sé Djim.	My name is Jim.	He got a red card.	4	48	False	0.9848411
68	Tinon an mwen sé Kèn.	My name is Ken.	Where?	47	73	False	0.8664559
69	Tinon an mwen sé Nami.	My name is Nami.	I prefer speaking in French.	91	16	False	1.1572663
70	Tinon an mwen sé Paola.	My name is Paola.	He is playing.	59	93	False	1.1506462
71	Tinon an mwen sé Sara.	My name is Sara.	My name is Jim.	79	4	False	1.0738146
72	Tinon an mwen sé Yamada.	My name is Yamada.	He is playing.	7	93	False	1.0181911
73	Tinon an mwen sé Yatarou.	My name is Yatarou.	I eat bread for my breakfast.	68	97	False	0.8688501
74	Pa ni pwoblèm.	No problem.	My name is Jim.	35	4	False	0.9930892
75	Yonn, dé, twa, kat, senk, sis, sèt, ywit, nèf, dis.	One, two, three, four, five, six, seven, eight, nine, ten.	I eat bread for my breakfast.	89	97	False	0.8555149
76	Lwi-la sé sans-la ka pèwmèt on moun tann.	Our sense of hearing allows us to hear.	My name is Jim.	37	4	False	1.003513
77	I ka manjé.	She is eating.	He got a red card.	81	48	False	1.0423038
78	Sé pou sa.	That's why.	He got a red card.	1	48	False	1.1449101
79	Lous-la ka vansé si nou.	The bear is coming towards us.	Where?	30	73	False	1.1427702
80	Kapital a Lafrans sé Pari.	The capital of France is Paris.	He got a red card.	9	48	False	0.98195326
81	Kaz-la toujou penpan.	The house is always spruce.	What is your name?	101	98	False	1.0163236
82	Ni òksijèn andidan boutèy-lasa.	There is oxygen in this bottle.	Do not confuse me like that!	2	6	False	1.0675592
83	Soup-la cho.	The soup is hot.	I am looking for a jewelry store.	52	62	False	1.1339658
84	Zouti-la pèrmèt nou travay.	The tool enables us to work.	Help me!	66	8	False	1.026046
85	Yo ka manjé.	They eat.	He got a red card.	63	48	False	1.065892
86	Yo ni katwèven dòla.	They have eighty dollars.	He is playing.	92	93	False	1.0919758
87	Yo ni katwèvendis dòla.	They have ninety dollars.	What is your name?	40	98	False	0.9855815
88	Répons-lasa sé érè.	This answer is wrong.	My name is Jim.	70	4	False	1.003513
89	Nou ka manjé.	We are eating.	When?	26	75	False	0.74928904
90	Nou bizwen vann bitasyon an nou.	We need to sell our farm.	He got a red card.	85	48	False	1.0385184
91	Nou pé ké manjé.	We're not going to eat.	Where?	77	73	False	1.0165114
92	Nou pé ké manjé.	We won't eat.	I am looking for a shop.	80	29	False	1.1654918
93	Ka zòt ka chèché ?	What are you looking for?	I need a lot more money.	64	12	False	1.0934106
