	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Jeg trenger papir.	I need some paper.	The castle stands facing a beautiful lake.	708	718	False	0.8744359
1	Jeg har aldri vært ranet.	I've never been robbed.	You're welcome here anytime, Tom.	973	39	False	0.90987206
2	Jeg skulle ønske jeg kunne finne ut hvordan jeg får barna mine til å slutte å krangle.	I wish I could figure out how to stop my children from fighting.	Tom was a good man.	124	332	False	0.75858784
3	Hvor er pennen?	Where is the pen?	I give you my word.	572	365	False	0.8407632
4	Jeg bestilte de bøkene fra Tyskland.	I ordered those books from Germany.	They end up with clean dirt.	330	327	False	0.8050705
5	Han ble sint og slo henne.	He got angry and hit her.	I can't speak Klingon.	137	295	False	0.61823094
6	Jeg har ikke pass.	I don't have a passport.	Formal dress must be worn.	987	760	False	0.7318692
7	Du er velkommen her når som helst, Tom.	You're welcome here anytime, Tom.	Thusnelda the cow is the subject of this sentence.	39	615	False	0.62819266
8	Jeg mistet nøklene mine.	I dropped my keys.	Why don't you just talk to Tom about it?	35	432	False	0.66223717
9	Tom liker å bowle.	Tom likes to bowl.	Is your wife a good cook?	976	660	False	0.74650204
10	Ein fugl kan flyge.	A bird can fly.	Dunno.	425	784	False	0.6901696
11	Jeg har fått nok av frekkheten hans.	I've had quite enough of his impudence.	I'm against people driving big cars.	640	328	False	0.5881493
12	Hun var enda svak etter sykdommen.	She was still weak after her illness.	When did you start studying Latin?	847	970	False	0.83334446
13	Jeg mater gullfisken.	I'm feeding the goldfish.	If I write an example sentence, can you correct it for me?	284	825	False	0.68933463
14	Det skjedde plutselig.	It happened suddenly.	From which direction?	381	984	False	0.6628947
15	I retrospekt, skulle Tom ønske han hadde brukt mer tid på å studere.	In retrospect, Tom wishes he had spent more time studying.	Where's the emergency exit?	361	185	False	0.7990637
16	Jeg vet godt hva han synes.	I know quite clearly what he thinks.	I need a stamp.	375	571	False	0.72936153
17	Har du noen gang sett en flygende tallerken?	Have you ever seen a UFO?	How did you manage to do that?	96	317	False	0.72757745
18	Fangen er stille i cellen i dag.	The prisoner is being quiet in the cell today.	Why did you come here?	277	774	False	0.8362789
19	Hun er vakker.	She is beautiful.	The pen is on the desk.	777	357	False	0.7262145
