	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Men, menm jan ak komèsan an, li te dispoze vann “tout sa l genyen” pou l te ka gen trezò a.	But like the merchant, he was willing to sell “everything” in order to obtain the treasure.	Critical Thinking-Utilizing reason and reasons to recognize the advantages and flaws of alternate alternatives, jwenn oubyen metòd pou pwoblèm. 	536	727	False	0.8450234
1	Pyè te nye Jezi	Peter’s Denial of Jesus	Precision Nerjaveèi asye Couture Pipe 	739	707	False	0.7488358
2	1:Refuge of Love-2 (Refij nan renmen-2)	3:Living the Legacy-2 (Rete eritaj-2) 	3:Living the Legacy-2 (Rete eritaj-2) 	810	810	True	0.5317868
3	Li oblije ret tann e l pa twò chofe pou sa k pral rive l la.	He is forced to wait, and he is not looking forward to the outcome.	Watercolor Tattoo Design pou Gason 	77	228	False	0.84021914
4	5. disatnce nan blocage se jis kòm li se decribed, se konsa mwen fè yo konfyans menm jan mwen te achte pwodwi serval isit la ak tout nan yo travay byen!	5. The jamming disatnce is just as it is decribed, so I trust them as I have bought serval products here and all of them works well! 	Critical Thinking-Utilizing reason and reasons to recognize the advantages and flaws of alternate alternatives, jwenn oubyen metòd pou pwoblèm. 	70	727	False	0.6346276
5	"Pi bon konpitè ap swiv lojisyèl ak Poukisa ou ta desann yo Relasyon pi bon yo ap toujou baze sou yon sèl bagay kle: mete konfians nan. Li ne ’ t anyen si se yon sèl romantique ant renmen ak manm fanmi oswa yon biznis yonn ki ekziste ant anplwaye yo ak chèf yo, pa mete konfyans nan pa gen okenn chans pou ke relasyon yo va yon tan yon. Malerezman, reyalite yo nou viv nan mond lan ak akrèk tan ""mwen"" olye ke ""nou"" fè li dwe yon pou pa fè yonn ak lòt. Poutèt sa a ap chache a pi bon konpitè ap swiv lojisyèl a vin pi renmen pastan moun anpil anpil moun yo ap online."	"Pi bon konpitè ap swiv lojisyèl ak Poukisa ou ta desann yo The best relationships are always based on one key thing: trust. It doesn’t matter whether it is a romantic one between lovers and family members or a business one that exists between employees and their boss, without trust there is no chance that the relationship will be a long one. Sadly, the realities of the world we live in and the selfish times of ""I"" rather than ""us"" makes it a must to not trust one another. This why looking for the pi bon konpitè ap swiv software has become the favorite pastime of a considerable number of people going online. "	Critical Thinking-Utilizing reason and reasons to recognize the advantages and flaws of alternate alternatives, jwenn oubyen metòd pou pwoblèm. 	449	727	False	0.64636135
6	24HQ Ant	32HQ Hit 	6HQ Nip 	749	506	False	0.5173478
7	Ou sispann remake bon bagay li fè yo epi w gen tandans pou w plis konsantre sou sa l pa fè.”	You stop noticing the good things he does and tend to focus more on what he isn’t doing.”	sèso Front(rear) nan kamyon 	181	579	False	0.7512528
8	Depresyon: Èske yon terapis oswa yon app èd?	Depression: Does a therapist or an app help? 	sèso Front(rear) nan kamyon 	767	579	False	0.6935799
9	Paj ofisyèl yo: Camtasia Studio	Official page: Camtasia Studio 	Official page: Camtasia Studio 	741	741	True	0.7409704
10	"Q35. Ki sa ki janbe lòt soti pri tikè a pwochen nan ""Pri a Ticket"" vle di?"	"Q35. What does the crossed out fare next to the ""Ticket Price"" mean? "	Critical Thinking-Utilizing reason and reasons to recognize the advantages and flaws of alternate alternatives, jwenn oubyen metòd pou pwoblèm. 	410	727	False	0.7083001
11	Gade moun yo, gade figi yo ak je yo.	Look at the people, at their faces and their eyes.	sèso Front(rear) nan kamyon 	861	579	False	0.8658421
12	PMIC - pouvwa Distribisyon switch, chofè chaj - Distribitè Elektwonik Distribitè _ Infinite-Electronic.hk	PMIC - Power Distribution Switches, Load Drivers - Electronic Components Distributor _ Infinite-Electronic.hk 	PMIC - Power Distribution Switches, Load Drivers - Electronic Components Distributor _ Infinite-Electronic.hk 	949	949	True	0.5131781
13	Pwosesis Enstalasyon Kont Offshore Bank	Offshore Bank Account Setup Process 	Offshore Bank Account Setup Process 	350	350	True	0.74968874
14	1. Bay yon pakèt konsomasyon laboratwa.	1. Providing a wide range of Lab Consumables. 	sèso Front(rear) nan kamyon 	929	579	False	0.72493386
15	Site kèk karakteristik epòk n ap viv la ki rann li katastwofik.	What are some features of our times that make them calamitous?	MATERIALS konfòtab 	392	302	False	0.7244775
16	Si ou vle wholesale 16ch h.264 hdmi & bnc videyo hdmi encoder iptv ki sòti nan yon faktori sa yo, Mine Teknoloji se youn nan dirijan H.264 HDMI & CVBS manifaktirè yo Encoder ak Swèd.	If you want to wholesale 16ch h.264 hdmi&bnc video hdmi encoder iptv from a such factory, Mine Technology is one of the leading H.264 HDMI & CVBS Encoder manufacturers and suppliers. 	If you want to wholesale 16ch h.264 hdmi&bnc video hdmi encoder iptv from a such factory, Mine Technology is one of the leading H.264 HDMI & CVBS Encoder manufacturers and suppliers. 	479	479	True	0.72061753
17	Hot Tags: Koulè TFT LCD Display BDT-T3554-03, Lachin, manifaktirè yo, Swèd	Hot Tags: Color TFT LCD Display BDT-T3554-03, China, manufacturers, suppliers 	Hot Tags: Color TFT LCD Display BDT-T3554-03, China, manufacturers, suppliers 	932	932	True	0.49810433
18	Eclipse Aerospace Fè tankou	Eclipse Aerospace Like 	Watercolor Tattoo Design pou Gason 	55	228	False	0.62691855
19	Menm jan an jwèt gratis sou entènèt	Kick the referee game online free 	sèso Front(rear) nan kamyon 	589	579	False	0.929824
20	11747 V 30000 3/4, DVB-S2 - CH7630 (ak yon squeaker ekran nwa) parèt, ОТКРЫТО (BAKILI)	11747 V 30000 3/4, DVB-S2 - CH7630 (with a dark screen squeaker) has started, Open (BAKILI) 	11747 V 30000 3/4, DVB-S2 - CH7630 (with a dark screen squeaker) has started, Open (BAKILI) 	538	538	True	0.34700727
21	Dekwa pou vizite faktori nou! (Titàn ak Titàn en pwodwi)	Welcome to visit our factory! ( titanium and titanium alloy products) 	Critical Thinking-Utilizing reason and reasons to recognize the advantages and flaws of alternate alternatives, jwenn oubyen metòd pou pwoblèm. 	283	727	False	0.51666474
22	Plis Features _ Telechaje gratis _ Se sèlman $ 39.00 pou dè santèn de fonksyon	More Features _ Free Download _ Only $39.00 for hundreds of functions 	sèso Front(rear) nan kamyon 	633	579	False	0.69102097
23	Aplike	Gofle 	Taier 	149	911	False	0.5006838
24	FOUMI koulè ajan (Cataglyphis bombycina) ki nan dezè Sahara a se youn pami bèt ki ka pi sipòte chalè nan bèt k ap viv sou tè a moun konnen.	THE Saharan silver ant (Cataglyphis bombycina) is one of the most heat-tolerant land animals known.	sèso Front(rear) nan kamyon 	747	579	False	0.715817
25	Si w dekouvri sou Splash Plugin Revizyon jodi a, Lè sa a, ou te rate soti vant lan pyès dis santim ameriken, Men, mwen jere yo ka resevwa yon opsyon diferan pou ou! Kevin depans $47 pou Plugin Splash, Sepandan, si ou jwenn li pa fason pou lyen afilye mwen, ou ka resevwa yon $10 rediksyon pri, ki vle di Plugin a pral san dout koute ou $37! Sa se yon vòlè!	If you discover about Splash Plugin Review today, then you missed out the dime sale, Nevertheless I managed to get a distinctive option for you! Kevin costs $47 for Splash Plugin, however, if you obtain it by way of my affiliate link, you may get a $10 price reduction, which means the plugin will undoubtedly cost you $37! That’s a steal! 	sèso Front(rear) nan kamyon 	368	579	False	0.6274905
26	Jwèt Rolling Otòn 3 Online	MMORPG Games Online 	Pmsg Animal Òmòn 	576	219	False	0.73679376
27	Nom Prènom	telephone 	Pmsg Animal Òmòn 	979	219	False	0.8802111
