	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	SIJÈ KI SOU PAJ KOUVÈTI A | KI SA BIB LA DI SOU ZANJ?	Lorsque Jéhovah nous regarde depuis les cieux, il ne voit qu’une seule race : la race humaine.	Le noyer cendré a un écart d'environ 35 '- 50' à pleine maturité. 	950	846	False	0.00665462
1	solèy dirije	Petits jeux de football face conçues pour développer transition rapide dans la phase attaquant de possession. Coach soutien rapide autour du football et contre attaquer tactiques. 	Voulez-vous discuter de l'Université nationale Mechnickov Odessa ? Des questions, commentaires ou avis 	884	276	False	0.006294012
2	Kreyòl	Matériel PU avant, arrière et pvc latéral 	Le noyer cendré a un écart d'environ 35 '- 50' à pleine maturité. 	391	846	False	0.008653045
3	SPY324 - OMG 4G LTE Wireless WiFi Sekirite Siveyans Kamera Kay ak Vizyon lannwit, 2 Way Audio	Certains petits traducteurs convertissent directement le signal d'une station mère en une autre fréquence pour la rediffusion, sans autre traitement ou démodulation de signal local. W07BA (un répéteur 16-watt pour WSYR-TV à Syracuse, New York) était un simple appareil de radiodiffusion, déplaçant le signal de la station principale du canal neuf au canal sept pour couvrir une petite vallée de DeWitt. Syracuse est devenue une île UHF, le signal principal ABC de WSYR-TV est devenu une émission numérique 100 kW sur le canal 17 et il n’ya plus de signal 9 sur la chaîne pour alimenter le répéteur. 	Voulez-vous discuter de l'Université nationale Mechnickov Odessa ? Des questions, commentaires ou avis 	762	276	False	0.008065224
4	Kemal	Et l’argent n’était pas son seul sujet d’inquiétude. « Je croulais sous le poids de toutes les responsabilités qui, désormais, reposaient uniquement sur moi, se rappelle-​t-​elle.	Le noyer cendré a un écart d'environ 35 '- 50' à pleine maturité. 	300	846	False	0.008745909
5	Apot Pòl te montre nou bezwen mache selon lespri a yon fason pou n ka fè sa “Lalwa mande yo ki jis”.	Comment Jéhovah nous apprend-​il à avoir de la compassion ?	Si nous avons du mal à comprendre un changement, nous demandons à Jéhovah de nous aider à saisir le point en question.	76	198	False	0.009801507
6	lekti Psychic - lekti Psychic sou entènèt	Jean-Yves Jason est également le chef de la direction des Productions Kritik, une entreprise spécialisée dans la production de grands événements artistiques et la promotion de l'art haïtien et de l'artisanat. 	▪ Sers Jéhovah avant que viennent les jours funestes	269	687	False	0.004610181
7	pozisyon:Akèy >> pwodwi yo >> televizyon Antèn	Adonija 	Quand nous repensons à leur amour pour Jéhovah et à tout ce qu’ils ont enduré pour lui rester fidèles, nous en avons encore les larmes aux yeux.	526	477	False	0.0069087744
8	Yon rechèch rapide de recherche online don pral rapidement demontre nou ki kantite lajan don ki se vre wi: disponib pou piblik Ameriken an.Ou ka jwenn don pou yon pratiquement nenpòt kalite biznis, yon jaden nan de etid, ou atistik endeavor. Tou de, yon playright se ak yon ti biznis enterprenur ou kalifye pou jwenn gouvènman an don.	Par exemple, normalement le cœur humain est toujours à la même place dans le corps ; ainsi, un chirurgien sait où trouver le cœur de chacun de ses malades.	1 x chemise maternité 	541	400	False	0.0047534704
9	Li fèt nan Kiba koupe moun ki pa marye wèbsayt] oubyen divès wèbsayt] po bazann, kawoutchou, plastik, cartons, twal, fibre chimik, non ak elatriye pa koupe ale bwa chat.	Prend en charge la sortie 2 RTMP (flux principal, 2e flux) vers un serveur de diffusion multimédia différent. 	La plupart des exploitations ferroviaires en Haïti ont fait faillite, et l'entreprise qui en avait financé la construction a dû également fermer. 	545	256	False	0.0045673847
