	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	5 Namba 1, sapos man i tingting planti tru long pasin nogut i stap long dispela graun, ating sampela samting nogut i bin painim em yet o wanpela long famili bilong em.	What Did You Learn?	He will feel sorry for the lowly one and the poor one, and the souls of the poor ones he will save.	695	560	False	0.7011286
1	Taim mi go bek long haus, famili bilong mi i lukim olsem dispela trening mi kisim i bin helpim mi gut.	In the parable, all the virgins responded to the nighttime shout: “Here is the bridegroom!”	From Bartering to Precious Metals	159	307	False	1.0048437
2	Pasin Bilong Senisim Tingting —YU MAS MEKIM	“Let each one keep seeking, not his own advantage, but that of the other person.”​—1 Corinthians 10:24.	Use Family Worship sessions to help your children understand the issues involved so that they can meet those challenges courageously.	864	949	False	0.80526507
3	YIA MI BON: 1941	Eventually, José decided to change his lifestyle and took a serious interest in studying the Bible.	Yet, he possessed wisdom that was far greater than that of any sinful human.	432	268	False	1.0505652
4	Narapela memba bilong komiti i save go wantaim mi olgeta taim.	(Psalm 1:1, 2) Reading God’s Word daily will bring us the “happy” result of being truly refreshed and reinvigorated, prepared to continue our Christian course.	What else can be expected of a king who represents Jehovah?	632	199	False	0.88985634
5	Ol kongrigesen sevan i mekim wanem ol wok bilong helpim kongrigesen long i stap wanbel?	You see, I suffer from a condition called osteogenesis imperfecta, better known as brittle bone disease.	You have reserved the fine wine until now.”	523	565	False	0.81977916
6	Olsem, sampela taim bikpela hevi i kamap na ol brata long ol Hospital Lieson Komiti i mas lusim slip na kirap i go lukim brata o sista long haus sik samting.	(Jeremiah 17:9; Ephesians 2:12; 4:18; Colossians 1:21) To gain God’s friendship, we must learn to pattern our thinking after God’s ways.	You have reserved the fine wine until now.”	44	565	False	0.9375516
7	Ol i tok ol wan wan hap o “haus long heven,” em ol ples bilong sampela god.	(Psalm 26:12; Luke 2:36, 37) Meetings are an important way in which we are fed spiritually.	He added that no one can gain salvation by his own efforts.	126	530	False	0.49572837
8	Jehova i harim toktok bilong tupela, na em yet i bekim tok bilong helpim Moses.	Life Story	We settled on the Gold Coast, a tourist destination in Queensland, Australia.	388	313	False	0.99245703
9	Nehemia i makim planti famili bilong mekim dispela bikpela wok bilong stretim bek banis, na olgeta famili i wok gut wantaim.* Em i makim olsem 40 narapela narapela lain na olgeta wan wan lain i stretim wanpela “hap bilong banis.”	You benefit yourself, and you delight Jehovah and your fellow Christians!​—Ps. 110:3.	(Gen. 40:8, 14) His words to Pharaoh show that he had learned the proper way to address a person of high office.​—Gen. 41:16, 33, 34.	909	417	False	1.0560788
10	Em i kolim ol stori olsem, “stori bilong Adam na Iv, Kein na Abel, Devit na Goliat, mama i karim Jisas, Sakius em man bilong kisim takis, stori bilong pikinini i lusim papa, na man Samaria.”	To the east, he seems to have reached Babylon, and he probably finished his days in the west, at a Greek colony in what is now southern Italy.	Martin Luther was born in Eisleben, Germany, in November 1483.	208	705	False	0.51477504
11	Bagarap i bin kamap long taim ol Juda i no stap gut long Jehova na em i no lukautim ol moa​—⁠em i larim ol Babilon i kam na bagarapim Jerusalem na kisim ol lain bilong en i go kalabus.	A pioneer named Janeen explains: “Each time I have an opportunity to teach the truth to others, I feel that a deeper impression of these truths is engraved on my mind and heart.	How Jehovah must cherish those who worked so hard to serve their fellow believers!	735	644	False	1.187978
12	[Blok/Ol Piksa long pes 22]	(James 3:17) His laws are superior to all others.	He is aware of all our hard work, and nothing that affects his servants can be hidden from him.	766	223	False	0.8685502
13	Tasol sampela i stap, olsem na yumi inap bihainim ol samting Gideon i bin mekim.	What warning did Jehovah give the Israelites shortly before they entered the Promised Land?	You have reserved the fine wine until now.”	863	565	False	0.69832563
14	Dispela man i laik helpim yu na em i laik bai yu stap amamas.—Stiatok bilong Baibel: Song 141:5.	During such periods, nobody could become patriarch against the emperor’s will or remain so for long.	When a severe famine brought Joseph’s brothers to Egypt, they did not even recognize him in his official Egyptian attire.	54	464	False	0.6035595
15	Ulrich Luz em wanpela saveman long Swiselan i tok, long nau ol saveman bilong Baibel i kamapim tingting bilong ol long dispela tok Jisas i mekim long Pita.	Jesus foretold that this wicked world would be brought to an end so that a better world could begin.	(1 Chronicles 29:14; 1 Timothy 6:17, 18) In fact, the weightier our responsibilities, the more humble we need to be.	361	299	False	0.84698176
16	18 Taim strongpela ami bilong ol Asiria i kam insait long Juda na tok long bagarapim Jerusalem long yia 732 B.C.E. samting, King Hesekia i beten olsem: “God, Bikpela bilong mipela, nau mi laik bai yu helpim mipela na kisim bek mipela . . . na bai olgeta lain manmeri bilong graun i ken save gut olsem, yu tasol yu Bikpela.”	But the cold bore into us relentlessly all the same.	Some families not only have a program that includes the chores mentioned above but also put it down on paper and post it where the family can see and follow it.	203	142	False	0.5885322
17	Na olsem wanem long tupela pikinini man bilong Aron, em Nadap na Abihu?	(Matthew 19:19) Work on developing healthy self-respect.* Enduring mistreatment will not help you to do that.	You have reserved the fine wine until now.”	14	565	False	0.60440075
18	Taim yumi wok oltaim long kisim ol kaikai bilong spirit “long taim bikman i makim”​—⁠long ol buk Kristen, ol miting, na ol kibung​—⁠yumi ken save dispela bai mekim yumi stap “wanbel” wantaim ol wanbilip long bilip na stretpela save.​—⁠Matyu 24:⁠45.	Imagine the mother’s crushing grief.	Integrity Amid Unrest in Sierra Leone	702	243	False	0.85753274
