text,text_preprocessed,k10_label
"[[Kakao]] hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu, kakao oli usum blong mekem chocolate mo fulap mo.",Kakao hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu kakao oli usum blong mekem chocolate mo fulap mo,0_0
"[[Kakao]] tri [[kam]] long [[Andes]] bigfala hil, [[Amazon]] reva.",Kakao tri kam long Andes bigfala hil Amazon reva,0_55
Coritiba Foot Ball Club i klub blong futbol blong [[Curitiba]] long Brazil.,Coritiba Foot Ball Club i klub blong futbol blong Curitiba long Brazil,0_23
"Stamba ples blong hem, vilej blong ""Fortsenal"" long [[Santo aelan]] (Sanma provens).",Stamba ples blong hem vilej blong Fortsenal long Santo_aelan,0_21
"Daejeon Swijyad Stesen i relwei stesen, stap long [[Daejeon]].",Daejeon Swijyad Stesen i relwei stesen stap long Daejeon,0_4
"Sandlewood hemi wan lo valuable tri long [[Vanuatu]] we hem i makem big money igo long [[economi]] blo countri, sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu.",Sandlewood hemi wan lo valuable tri long Vanuatu we hem i makem big money igo long economi blo countri sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu,0_1
"Hem i gat braun [[stampa]] mo grin lif,lif blong hem i luk smalsmal olsem naus.oli makem samting [[aut]] long hem olsem:Oil,perfume,soap mo fulap mo samting long hem.",Hem i gat braun stampa mo grin liflif blong hem i luk smalsmal olsem nausoli makem samting aut long hem olsemOilperfumesoap mo fulap mo samting long hem,0_2
Samfala pitja we i bin pentem ol i stap long Vatican long [[Rome]].,Samfala pitja we i bin pentem ol i stap long Vatican long Rome,0_65
Kapital blong hem i [[Bangkok]].,Kapital blong hem i Bangkok,0_21
"Astronomi i stadi blong plante kaen samting blong skae: [[san]], [[mun]], ol sta, ol plenet, ol galaksi, mo narafala kaen ol samting.",Astronomi i stadi blong plante kaen samting blong skae san mun ol sta ol plenet ol galaksi mo narafala kaen ol samting,0_3
Kapital blong hem i [[Brussels]].,Kapital blong hem i Brussels,0_21
Kapital blong Tafea i [[Isangel]].,Kapital blong Tafea i Isangel,0_21
"Justice, hem i miusik grup blong [[Franis]].",Justice hem i miusik grup blong Franis,0_69
Busan Stesen i relwei stesen long [[Busan]].,Busan Stesen i relwei stesen long Busan,0_4
Ol famle memba blong hem [[oli]] bin stap insaed long relijin mo [[oli]] bin stap lukaotem trutok oltaem.,Ol famle memba blong hem oli bin stap insaed long relijin mo oli bin stap lukaotem trutok oltaem,0_21
"Baebol i bin tijim se i gat “wan Masta nomo, wan tok nomo blong bilif long hem, mo wan baptaes nomo” ([[Efesas]] 4:5).",Baebol i bin tijim se i gat “ wan Masta nomo wan tok nomo blong bilif long hem mo wan baptaes nomo ”,0_23
Fernand Joseph Désiré Contandin (1903 - 1971) i akta blong [[Franis]].,Fernand Joseph Désiré Contandin i akta blong Franis,0_69
Alain Fabien Maurice Marcel Delon (boen 1935) i akta blong [[Franis]].,Alain Fabien Maurice Marcel Delon i akta blong Franis,0_69
Hemi wan bigfala wud we ol man [[oli]] ko visitim taem [[oli]] ko long tanna.,Hemi wan bigfala wud we ol man oli ko visitim taem oli ko long tanna,0_55
Capital blong Torba i [[Sola]].,Capital blong Torba i Sola,0_21
"Gupo Stesen i relwei stesen long Gyeongbu laen, stap long [[Busan]].",Gupo Stesen i relwei stesen long Gyeongbu laen stap long Busan,0_4
"Long end blong Novemba 2010, Praem Minista [[Edward Natapei]] hemi appointem hem olsem Deputy Praem Minista mo Minista blong Tred blong riplesem Ham Lini.",Long end blong Novemba Praem Minista Edward_Natapei hemi appointem hem olsem Deputy Praem Minista mo Minista blong Tred blong riplesem Ham Lini,0_5
"[[Long]] [[Wol]] wo tu, armi blong [[Amerika]] hem i bin kriatem wan stamba.",Long Wol wo tu armi blong Amerika hem i bin kriatem wan stamba,0_23
afta long [[wol]] wo tu santo i bin kat fulap development i kam antap mo ol man [[oli]] bin save sentem pikinini ko long skul mo kasem gudfala wok mo [[oli]] bin jusum lablas olsem wan pablic ples we ol man [[oli]] save ko stap togeta long taem blong wan lafet o eni taem we oli wantem seleparsion olsem interdependence day,afta long wol wo tu santo i bin kat fulap development i kam antap mo ol man oli bin save sentem pikinini ko long skul mo kasem gudfala wok mo oli bin jusum lablas olsem wan pablic ples we ol man oli save ko stap togeta long taem blong wan lafet o eni taem we oli wantem seleparsion olsem interdependence day,0_6
"[[Nangai]] hemi semark long natapoa from twofala olsem one nut, defrent between natapoa mo nangi hemi two drfrent tree mekem sei mi must talem olsem blong you save.",Nangai hemi semark long natapoa from twofala olsem one nut defrent between natapoa mo nangi hemi two drfrent tree mekem sei mi must talem olsem blong you save,0_7
Daebang Stesen i relwei stesen long [[Seoul]].,Daebang Stesen i relwei stesen long Seoul,0_4
Grap kokonas hemi wan aninmol we fulap man oli wantem kakae maet blo hem i nice mo tast gud even ol turist tu oli wantem kakae taem oli visitm [[Vanuatu]].,Grap kokonas hemi wan aninmol we fulap man oli wantem kakae maet blo hem i nice mo tast gud even ol turist tu oli wantem kakae taem oli visitm Vanuatu,0_8
"Iolu Abil ([[Tanna]], 1942) i presiden blong [[Vanuatu]].",Iolu Abil i presiden blong Vanuatu,0_34
Amitabh Harivansh Rai Shrivastava Bachchan (boen 1942) i akta blong [[India]].,Amitabh Harivansh Rai Shrivastava Bachchan i akta blong India,0_69
“Doti win we i stap olbaot long [[wol]] i wan long ol bigfala problem long [[wol]] blong yumi.”,“ Doti win we i stap olbaot long wol i wan long ol bigfala problem long wol blong yumi ”,0_23
"Lemahrejo hem i taon long [[Is Java]], [[Indonesia]].",Lemahrejo hem i taon long Is_Java Indonesia,0_55
Kapital blong hem i [[Vilnius]].,Kapital blong hem i Vilnius,0_21
Yam hemi wan ol main [[island]] kaekae blo man vanuatu we usum pante evri dei.,Yam hemi wan ol main island kaekae blo man vanuatu we usum pante evri dei,0_55
[[Lo]] vanatu plate man vanuatu oil plantem kokonas blong salem mo pem [[schol]] blong pikini blo olgter lo hem.,Lo vanatu plate man vanuatu oil plantem kokonas blong salem mo pem schol blong pikini blo olgter lo hem,0_23
Long [[medisin]] pipol save yusum aiodin blong faetem o stopem infeksen.,Long medisin pipol save yusum aiodin blong faetem o stopem infeksen,0_23
Hong Kong i Jaena taon hem wan city long [[Esia]].,Hong Kong i Jaena taon hem wan city long Esia,0_55
"Tambakboyo hem i taon long [[Is Java]], [[Indonesia]], hem i wan taon we kolosap 29,000 man oli stap long hem yia 2005.",Tambakboyo hem i taon long Is_Java Indonesia hem i wan taon we kolosap man oli stap long hem yia,0_65
Kastom hemi kalja blong wanwan alean [[Vanuatu]].,Kastom hemi kalja blong wanwan alean Vanuatu,0_23
Hem hem i wan kakae we i save helpem ol bikini we [[oli]] nogat tut blo [[oli]] kakae afta we [[oli]] leko titi blo mami blo olgeta.,Hem hem i wan kakae we i save helpem ol bikini we oli nogat tut blo oli kakae afta we oli leko titi blo mami blo olgeta,0_9
Abakus i wan spesel tul blong [[matematikis]].,Abakus i wan spesel tul blong matematikis,0_23
