Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Angola a wan countri inna Africa . ,Angola,Africa,Q916,Q15,P30
Anna Netrebco a wan singa from Russia .,Anna Netrebco,singa,Q78516,Q2865819,P106
Athens a di capital fi Greece .,Athens,Greece,Q1524,Q41,P1376
Cher lloyd a wan British singa .,Cher lloyd,singa,Q230451,Q177220,P106
Denmark a wan countri ina Europe .,Denmark,Europe,Q35,Q46,P30
De vali a di capital fi Angila .,De vali,Angila,Q30994,Q25228,P1376
Gabbon a wan countri ina Africa .,Gabbon,Africa,Q1000,Q15,P30
Di capital a Paris a di official language a french .,Paris,french,Q90,Q150,P37
Di capital a Paris a di official language a french .,Paris,french,Q90,Q150,P2936
Kenya a wan countri ina Africa .,Kenya,Africa,Q114,Q15,P30
Mexico citi a di capital fi Mexico .,Mexico citi,Mexico,Q1489,Q96,P1376
Rino bucket a wan rockban from California ina di United State .,Rino bucket,United State,Q1779944,Q30,P495
Rome a di capital fi Italy .,Rome,Italy,Q220,Q38,P1376
"Sean Paul a wan Jamaican rappa, singa an dj from Kingston .",Sean Paul,singa,Q200577,Q177220,P106
Zambia a wan countri inna Africa. ,Zambia,Africa,Q953,Q15,P30
Nepal a wah savrin cuntry ah Asia .,Nepal,Asia,Q837,Q48,P30
New Zealand a wah cuntry inna Oceania .,New Zealand,Oceania,Q664,Q538,P30
"Salduwayro ah wah monicipality inna di province ah Soria, Casteel an Leon, Spain .",Salduwayro,Spain,Q832188,Q29,P131
San Marina City a di capital ah di biggest city inna San Marina .,San Marina City,San Marina,Q1848,Q238,P1376
Sofia ah di capital fi Bulgaria .,Sofia,Bulgaria,Q472,Q219,P1376
"Vahdiyo ah wah monicipality inna di Province ah Soria , Casteel an Leon , Spain .",Vahdiyo,Spain,Q302875,Q29,P131
"Valdelagwah Del Sehro ah wah monicipality inna di Province ah Soria, Casteel an Leon, Spain .",Valdelagwah Del Sehro,Soria,Q832134,Q55276,P131
