	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	El a sufri di depreshon, a pasa den vários divorsio i no tabatin un bon relashon ku su yu hòmbernan.	It is comforting to see that so far in advance, Jehovah knew that his people would go into a spiritual exile and then be restored.	The late head of one of the biggest yakuza syndicates in Japan insisted that he was taking in the outlaws and caring for them and thereby preventing them from going bad.	519	545	False	0.008636475
1	E sirbishi akí a fortalesé nos famia spiritualmente i a hasi nos mas uní.”	Since God commanded them to love their neighbor and not to kill others, they refused military service . . .	Under God’s loving direction, the inhabitants of that new world will use their energies and skills in building an earth-wide paradise.	492	818	False	0.00826776
2	12 Debí ku nos ta imperfekto, nos tin ku lucha pa hasi loke ta bon.	But Andrew and Cornelius did not put their relatives under pressure or slyly try to maneuver them into becoming Christ’s followers.	On matters that affect our lives, he provides a sound basis for us to determine his position, that is, how he views such matters and whether our desires are in harmony with his purposes.	637	981	False	0.0099236965
3	E DICHO akí ta bon konosí pa hendenan ku ta biba na Ost Afrika.	You will be glad that you made good use of your opportunity to give a witness.”​—1 Peter 3:15.	Among diplomats, English and French are languages used as lingua francas.	7	138	False	0.007126093
4	Pues si bo ta laga bo kachó drumi riba bo kama òf subi por ehèmpel riba bo sofá, e ta kapas di kere ku t’e ta e lider.	13, 14. (a) What causes some of God’s people to become discouraged? (b) Who wants to see our faith collapse, and why?	Why was Jesus before Pontius Pilate, and what did Jesus say?	771	552	False	0.008402109
5	I si boso hasi bon na esnan ku ta hasi bon na boso, ki mérito esei ta pa boso?	How we cherish our privilege of working with our God in these last days!	He considers our abilities and circumstances.	43	124	False	0.004821062
6	Sinembargo, tantu Maria komo Hosé mester a haña un gran alivio ora e angel di Yehova a aparesé na Hosé.	(Ex. 23:25; Deut. 7:15) Also, he could heal people.	“A Strength of Character Inspired by Faith”	356	698	False	0.008769512
7	Sapatu Danki pa e artíkulo “Bo Sapatunan Ta Realmente Kómodo?” (8 di mart 2003) Mi tabatin añanan ta sufri di problema ku pia i mi a hasi vários operashon chikitu na mi tenchinan.	• Food blender​—90 decibels	Under God’s loving direction, the inhabitants of that new world will use their energies and skills in building an earth-wide paradise.	912	818	False	0.0070132017
8	Dikon?	Finally, on March 7, 1941, I joined a large convoy that was transferred to the Niederhagen concentration camp.	“A Strength of Character Inspired by Faith”	939	698	False	0.007619977
9	Na e monasterio tabatin un ehemplar di e buki di Heladio den kua el a akusá Serafin di vários krímen.	The “Sea Peoples” are generally identified as seafarers from Mediterranean islands and coastlands.	However, he wasn’t satisfied.	947	836	False	0.0065470934
