text,text_clean,text_ents
Lesoto i kaontri long [[Afrika]].,Lesoto i kaontri long Afrika,Lesoto i kaontri long Afrika
Siera Leon i kaontri long [[Afrika]].,Siera Leon i kaontri long Afrika,Siera Leon i kaontri long Afrika
Ajentina i kaontri long [[Saot Amerika]] we olgeta save tok tok long Spanish.,Ajentina i kaontri long Saot Amerika we olgeta save tok tok long Spanish,Ajentina i kaontri long Saot_Amerika we olgeta save tok tok long Spanish
Kapital blong hem i Buenos Aires.,Kapital blong hem i Buenos Aires,Kapital blong hem i Buenos Aires
Yoshirō Mori (boen 14 Julae 1937) i praem minista blong [[Japan]].,Yoshirō Mori boen Julae i praem minista blong Japan,Yoshirō Mori boen Julae i praem minista blong Japan
Nakatambol hem i wan fruit we fulap man vanuatu [[oli]] laekem blo kakae from hem i swit tumas.,Nakatambol hem i wan fruit we fulap man vanuatu oli laekem blo kakae from hem i swit tumas,Nakatambol hem i wan fruit we fulap man vanuatu oli laekem blo kakae from hem i swit tumas
Mo to ol man vanuatu oli likem blo mekem market lo hem.,Mo to ol man vanuatu oli likem blo mekem market lo hem,Mo to ol man vanuatu oli likem blo mekem market lo hem
Yumi laekem to from hem i nice wetem couler blo hem.,Yumi laekem to from hem i nice wetem couler blo hem,Yumi laekem to from hem i nice wetem couler blo hem
Valery Leontiev (boen 19 Maj 1949) em i man blong singsing blong Rusia.,Valery Leontiev boen Maj em i man blong singsing blong Rusia,Valery Leontiev boen Maj em i man blong singsing blong Rusia
Mei Kurokawa (boen 13 Mei 1987) em i akta blong [[Japan]].,Mei Kurokawa boen Mei em i akta blong Japan,Mei Kurokawa boen Mei em i akta blong Japan
[[Korin]] i stap taon blong [[Gris]].,Korin i stap taon blong Gris,Korin i stap taon blong Gris
Lillian Diana Gish (14 Oktoba 1893 – 27 Februari 1993) i akta blong [[Yunaeted Stet blong Amerika]].,Lillian Diana Gish Oktoba Februari i akta blong Yunaeted Stet blong Amerika,Lillian Diana Gish Oktoba Februari i akta blong Yunaeted_Stet_blong_Amerika
Martin Van Buren (1782 - 1862) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Martin Van Buren i hed blong stet blong Yunaeted Stet blong Amerika,Martin Van Buren i hed blong stet blong Yunaeted_Stet_blong_Amerika
[[Kakao]] hem i sid blong kakao tri.,Kakao hem i sid blong kakao tri,Kakao hem i sid blong kakao tri
"[[Kakao]] hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu, kakao oli usum blong mekem chocolate mo fulap mo.",Kakao hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu kakao oli usum blong mekem chocolate mo fulap mo,Kakao hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu kakao oli usum blong mekem chocolate mo fulap mo
Histri.,Histri,Histri
[[Kakao]] tri mekem joklet mo kakao.,Kakao tri mekem joklet mo kakao,Kakao tri mekem joklet mo kakao
"[[Kakao]] tri [[kam]] long [[Andes]] bigfala hil, [[Amazon]] reva.",Kakao tri kam long Andes bigfala hil Amazon reva,Kakao tri kam long Andes bigfala hil Amazon reva
"Port Vila, o jes Vila, hem i kapital blong [[Vanuatu]].",Port Vila o jes Vila hem i kapital blong Vanuatu,Port Vila o jes Vila hem i kapital blong Vanuatu
Hem i stap long [[Efate]] aelan.,Hem i stap long Efate aelan,Hem i stap long Efate aelan
Gavman blong [[Vanuatu]] i stap long ples ia mo hed blong stet blong [[kaontri]] ia i stap long ples ia tu.,Gavman blong Vanuatu i stap long ples ia mo hed blong stet blong kaontri ia i stap long ples ia tu,Gavman blong Vanuatu i stap long ples ia mo hed blong stet blong kaontri ia i stap long ples ia tu
Peru i [[kaontri]] long [[Amerika]] we olgeta save tok tok long Spanish.,Peru i kaontri long Amerika we olgeta save tok tok long Spanish,Peru i kaontri long Amerika we olgeta save tok tok long Spanish
Kapital blong hem i Lima.,Kapital blong hem i Lima,Kapital blong hem i Lima
President blong Peru hemi Francisco Sagasti.,President blong Peru hemi Francisco Sagasti,President blong Peru hemi Francisco Sagasti
"Maket hemi wan ples wea people i save takem mani lem.yu save ko salem sam frut or island kakae.olsem [[kumala]],[[taro]],[[yam]] [[banana]],manioc...blo winim smol mani blo skul fee wetem kakae.",Maket hemi wan ples wea people i save takem mani lemyu save ko salem sam frut or island kakaeolsem kumalataroyam bananamaniocblo winim smol mani blo skul fee wetem kakae,Maket hemi wan ples wea people i save takem mani lemyu save ko salem sam frut or island kakaeolsem kumalataroyam bananamaniocblo winim smol mani blo skul fee wetem kakae
Guillermo Lasso em i hed blong stet (presidens) blong Ecuador.,Guillermo Lasso em i hed blong stet presidens blong Ecuador,Guillermo Lasso em i hed blong stet presidens blong Ecuador
"Avicenna o Ibn-Sīnā (Arabic: ابن سینا); (abaot 980 – Jun 1037) em i bin wan man blong [[saens]], [[filosofi]], mo [[medisin]] blong Persia.",Avicenna o IbnSīnā Arabic ابن سینا abaot Jun em i bin wan man blong saens filosofi mo medisin blong Persia,Avicenna o IbnSīnā Arabic ابن سینا abaot Jun em i bin wan man blong saens filosofi mo medisin blong Persia
"Tufala impoten buk blong em i ""Buk blong Stopem Sik"", wan insaeklopidia blong filosofi mo saens, ""Canon blong Medisin"", wan insaeklopidia blong medisin.",Tufala impoten buk blong em i Buk blong Stopem Sik wan insaeklopidia blong filosofi mo saens Canon blong Medisin wan insaeklopidia blong medisin,Tufala impoten buk blong em i Buk blong Stopem Sik wan insaeklopidia blong filosofi mo saens Canon blong Medisin wan insaeklopidia blong medisin
Sadako Sawamura (boen long 11 Novemba 1908 – ded long 16 Ogis 1996) em i bin akta blong [[Japan]].,Sadako Sawamura boen long Novemba ded long Ogis em i bin akta blong Japan,Sadako Sawamura boen long Novemba ded long Ogis em i bin akta blong Japan
Benjamin Franklin (1706 - 1790) i politikis blong [[Yunaeted Stet blong Amerika]].,Benjamin Franklin i politikis blong Yunaeted Stet blong Amerika,Benjamin Franklin i politikis blong Yunaeted_Stet_blong_Amerika
"Catherine ""Cate"" Élise Blanchett (boen 20 Mai 1967) em i akta blong [[Ostrelia]].",Catherine Cate Élise Blanchett boen Mai em i akta blong Ostrelia,Catherine Cate Élise Blanchett boen Mai em i akta blong Ostrelia
Marion Robert Morrison (26 Mei 1907 – 11 Jun 1979) i bin akta blong [[Yunaeted Stet blong Amerika]].,Marion Robert Morrison Mei Jun i bin akta blong Yunaeted Stet blong Amerika,Marion Robert Morrison Mei Jun i bin akta blong Yunaeted_Stet_blong_Amerika
Thaksin Shinawatra (boen 1949) i praem minista blong Thailand.,Thaksin Shinawatra boen i praem minista blong Thailand,Thaksin Shinawatra boen i praem minista blong Thailand
Bolivia i kaontri long [[Saot Amerika]] we olgeta save tok tok long Spanish.,Bolivia i kaontri long Saot Amerika we olgeta save tok tok long Spanish,Bolivia i kaontri long Saot_Amerika we olgeta save tok tok long Spanish
Kapital blong hem i Sucre.,Kapital blong hem i Sucre,Kapital blong hem i Sucre
Cherprang Areekul (boen 1996 − ) em i bin wan woman blong singsing blong Thailand.,Cherprang Areekul boen − em i bin wan woman blong singsing blong Thailand,Cherprang Areekul boen − em i bin wan woman blong singsing blong Thailand
Qin Shi Huang (259 B.K.-210 B.K.),Qin Shi Huang BK BK,Qin Shi Huang BK BK
i fas empra blong Jaena.,i fas empra blong Jaena,i fas empra blong Jaena
