	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Lè Jewova gade nou sou tè a, se pa koulè po moun li wè, men se moun li wè.	Lorsque Jéhovah nous regarde depuis les cieux, il ne voit qu’une seule race : la race humaine.	Beauté jwèt kanen 	950	291	False	0.78798294
1	Ti jwèt foutbòl sided fèt yo devlope tranzisyon rapid nan faz la atake nan peyi. Moutre sipò rapid alantou foutbòl la ak vann san preskripsyon atake taktik.	Petits jeux de football face conçues pour développer transition rapide dans la phase attaquant de possession. Coach soutien rapide autour du football et contre attaquer tactiques. 	Beauté jwèt kanen 	884	291	False	0.9049647
2	Materyèl Avant PU, tounen ak bò pvc	Matériel PU avant, arrière et pvc latéral 	Matériel PU avant, arrière et pvc latéral 	391	391	True	0.79262817
3	Gen kèk ti tradiktè ki opere dirèkteman siyal estasyon paran an pou yon lòt frekans pou retransmèt, san okenn lòt pwosesis siyal lokal oswa demodulasyon. W07BA (yon repeteur 16-Watt pou WSYR-TV nan Syracuse, New York) se te yon moso senp nan aparèy emisyon, chanjman siyal estasyon prensipal la soti nan chanèl nèf chanèl sèt yo kouvri yon ti fon nan DeWitt. Syracuse te vin tounen yon zile UHF, prensipal ABCsignal WSYR-TV te vin tounen yon 100 kW emisyon dijital sou kanal 17, e pa gen ankò yon siyal kanal 9 pou bay repeater a.	Certains petits traducteurs convertissent directement le signal d'une station mère en une autre fréquence pour la rediffusion, sans autre traitement ou démodulation de signal local. W07BA (un répéteur 16-watt pour WSYR-TV à Syracuse, New York) était un simple appareil de radiodiffusion, déplaçant le signal de la station principale du canal neuf au canal sept pour couvrir une petite vallée de DeWitt. Syracuse est devenue une île UHF, le signal principal ABC de WSYR-TV est devenu une émission numérique 100 kW sur le canal 17 et il n’ya plus de signal 9 sur la chaîne pour alimenter le répéteur. 	Certains petits traducteurs convertissent directement le signal d'une station mère en une autre fréquence pour la rediffusion, sans autre traitement ou démodulation de signal local. W07BA (un répéteur 16-watt pour WSYR-TV à Syracuse, New York) était un simple appareil de radiodiffusion, déplaçant le signal de la station principale du canal neuf au canal sept pour couvrir une petite vallée de DeWitt. Syracuse est devenue une île UHF, le signal principal ABC de WSYR-TV est devenu une émission numérique 100 kW sur le canal 17 et il n’ya plus de signal 9 sur la chaîne pour alimenter le répéteur. 	762	762	True	0.57333446
4	Men sa l di: “Gwo enkyetid m te genyen akoz tout nouvo responsablite sa yo m te dwe jere poukont mwen kounye a te twòp pou mwen.	Et l’argent n’était pas son seul sujet d’inquiétude. « Je croulais sous le poids de toutes les responsabilités qui, désormais, reposaient uniquement sur moi, se rappelle-​t-​elle.	Pleinement convaincus que Jéhovah réalisera ses promesses, nous pouvons en toute sérénité nous concentrer sur l’œuvre qu’il nous a confiée : prêcher la “ bonne nouvelle du royaume [...] dans toute la terre habitée ”.	300	83	False	0.78965056
5	Ki jan Jewova anseye pèp li a pou yo demontre kè sansib?	Comment Jéhovah nous apprend-​il à avoir de la compassion ?	Alors qu’il était âgé, comment Moïse a-​t-​il exprimé son désir d’affermir davantage ses relations avec Dieu ?	76	221	False	0.8073255
6	Jean-Yves Jason se tou Direktè Productions Kritik, yon konpayi ki espesyalize nan pwodiksyon gwo evènman atistik ak pwomosyon la ak atizay ayisyen.	Jean-Yves Jason est également le chef de la direction des Productions Kritik, une entreprise spécialisée dans la production de grands événements artistiques et la promotion de l'art haïtien et de l'artisanat. 	Jean-Yves Jason est également le chef de la direction des Productions Kritik, une entreprise spécialisée dans la production de grands événements artistiques et la promotion de l'art haïtien et de l'artisanat. 	269	269	True	0.75597596
7	Adonijah	Adonija 	Adonija 	526	526	True	0.44432402
8	Pa egzanp, tout moun konnen kè a menm kote nan kò tout moun, se sa k fè chirijyen yo konnen ki kote l ye nan kò chak moun y ap swaye.	Par exemple, normalement le cœur humain est toujours à la même place dans le corps ; ainsi, un chirurgien sait où trouver le cœur de chacun de ses malades.	Beauté jwèt kanen 	541	291	False	0.88296926
9	Sipòte pwodiksyon 2 RTMP (prensipal kouran, 2yèm kouran) nan diferan difizyon sèvè medya.	Prend en charge la sortie 2 RTMP (flux principal, 2e flux) vers un serveur de diffusion multimédia différent. 	Tendance CF est un Metatrader 4 (MT4) indicateur et l'essence de l'indicateur de forex est de transformer les données d'historique accumulée. 	545	734	False	0.9118316
10	Metòd tès: HPLC / UV	Méthode de détection: HPLC / UV 	Méthode de détection: HPLC / UV 	312	312	True	0.5778544
11	12 Menm jan an tou, Jewova ap beni jèn ki mete kouraj sou yo pou yo fikse objektif espirityèl e ki mete Wayòm nan an premye nan lavi yo.	12 Comme pour Moïse, Jéhovah bénira les jeunes qui, avec courage, se fixent des objectifs spirituels et donnent la priorité au Royaume de Dieu.	Nous ne voulons absolument pas « manquer le but » de la faveur imméritée de Jéhovah, et perdre l’espoir de vivre éternellement, au ciel ou sur la terre (2 Cor. 6:1).	849	228	False	0.8089638
12	Bakersfield	Bakersfield 	Bakersfield 	661	661	True	2.3841858e-07
13	Alonissos	Alonissos 	Alonissos 	494	494	True	3.5762787e-07
14	14 Pozisyon PhD nan Te an Ayiti Jeni ak Jeni seismoloji	14 Positions doctorat en génie sismique 	14 Positions doctorat en génie sismique 	89	89	True	0.7522545
15	Se Jezi Bondye te wenn, oubyen Bondye te chwazi pou l jwe yon wòl espesyal nan akonplisman pwomès Bondye fè yo.	Jésus a été oint, ou nommé par Dieu, pour jouer un rôle particulier dans l’accomplissement des promesses divines.	Beauté jwèt kanen 	200	291	False	0.932652
16	Giko	Giko 	Giko 	177	177	True	3.5762787e-07
17	Li te pran detèminasyon pou l obeyi Bondye ki te ba l enstriksyon ki te fè l jwenn anpil avantaj nan lavi a.	Il était déterminé à obéir au Dieu dont les ordres lui avaient valu tant de bienfaits.	Beauté jwèt kanen 	73	291	False	0.88042355
18	Sou 28 fevriye, Hamburg konfime premye ka : yon manm nan anplwaye pedyatrik nan Lopital Inivèsite Hamburg-Eppendorf [1] .	Le 28 février, Hambourg confirme un premier cas : un membre du personnel pédiatrique de l'hôpital universitaire de Hambourg-Eppendorf[41]. 	Le 28 février, Hambourg confirme un premier cas : un membre du personnel pédiatrique de l'hôpital universitaire de Hambourg-Eppendorf[41]. 	484	484	True	0.7638085
19	DERFLEX se pwodiktè nan fim vinil dekoratif pou fabrike nan plafon detire ak desen miray. Detire plafon plafon soti nan DERFLEX bay yon bon jan kalite sifas sipèb.Plis	DERFLEX est producteur de film vinyle décoratif pour la fabrication de plafonds tendus et de motifs muraux. Les films de plafond extensibles de DERFLEX offrent une superbe qualité de surface.Plus 	DERFLEX est producteur de film vinyle décoratif pour la fabrication de plafonds tendus et de motifs muraux. Les films de plafond extensibles de DERFLEX offrent une superbe qualité de surface.Plus 	372	372	True	0.71627915
20	kat: Nou aksepte tout gwo kredi ak kat debi ki gen ladan MasterCard ak Visa.	Cartes: Nous acceptons toutes les principales cartes de crédit et de débit, y compris MasterCard et Visa. 	Beauté jwèt kanen 	953	291	False	0.88516045
