text,text_preprocessed,LEN,label
Meka esa emportan citii en [[Islem]].,Meka esa emportan citii en Islem,6,68
Larnaka esa kuurort citii i' [[Siipris]].,Larnaka esa kuurort citii i Siipris,6,13
"Fak es a kohman tuhi werd yuusd i' meni laengwij, inkluuden [[Inglish]].",Fak es a kohman tuhi werd yuusd i meni laengwij inkluuden Inglish,12,12
"T' [[Norfuk]] werd kam fram t' Inglish translayshun, ""fuck"".",T Norfuk werd kam fram t Inglish translayshun fuck,9,10
Kraków () es t' sekan biges citii in [[Poeland]].,Kraków es t sekan biges citii in Poeland,8,29
Ets a' form o' [[transport]]: a weih f' getten araun an t' carrieh kargo.,Ets a form o transport a weih f getten araun an t carrieh kargo,14,57
"Dem Folklan Ailen ([[Inglish]]: ""Falkland Islands"") esa archipelago i' t' sowth paat o' t' [[Etlantic Oshen]].",Dem Folklan Ailen esa archipelago i t sowth paat o t Etlantic_Oshen,12,69
"""De facto"", ets auesii teritrii o' t' [[Yunitid Kingdum]], butth Arjentina consaaide daa Dem Folklan Ailen esa paat o' t' Arjentin prowiins Faeland.",De facto ets auesii teritrii o t Yunitid_Kingdum butth Arjentina consaaide daa Dem Folklan Ailen esa paat o t Arjentin prowiins Faeland,22,68
"Wiktoreya esa stait i' t' sowth a' eist o' [[Ostrielya]], sowth o' Niiw Sowth Waayls an eist o' [[Sowth Ostrielya]].",Wiktoreya esa stait i t sowth a eist o Ostrielya sowth o Niiw Sowth Waayls an eist o Sowth Ostrielya,20,22
T' kapitel citii es [[Melban]].,T kapitel citii es Melban,5,67
Leten Merika es wun region sityuuaitid i' [[Sowth Merika]] an' [[North Merika]].,Leten Merika es wun region sityuuaitid i Sowth_Merika an North Merika,11,12
"Alla Borisowna Pugachova (Ieprel 15, 1949, [[Moskou]]) esa wun [[Rushan]] singaa.",Alla Borisowna Pugachova esa wun Rushan singaa,7,10
Osheania ([[Inglish]]: Oceania; [[French]]: Océanie) esa [[kontenent]] kampoziid o' vereas gruups o' Pesifik Ailens an [[Ostrielya]].,Osheania esa kontenent kampoziid o vereas gruups o Pesifik Ailens an Ostrielya,12,49
"T' termin ""Osheania"" wos kreaytid i' 1831 b' [[French]] eksplora Dumont d'Urville.",T termin Osheania wos kreaytid i b French eksplora Dumont dUrville,11,9
T' termin es yuus'd teda i' mani laenghwij t' dinot a' kontenent kemprising [[Ostrielya]] an ajaysent Pesifik.,T termin es yuusd teda i mani laenghwij t dinot a kontenent kemprising Ostrielya an ajaysent Pesifik,17,68
"Rushan (""русский язык"") esa em [[laenghwij]] i' [[Rusha]].",Rushan esa em laenghwij i Rusha,6,2
Et es spoken mas i' [[Urup]] a' [[Asya]].,Et es spoken mas i Urup a Asya,8,57
Riigaa es kapitel citii a' [[Latwya]].,Riigaa es kapitel citii a Latwya,6,37
 esa kuntrii i' [[Urup]].,esa kuntrii i Urup,4,66
Afganistaan esa kuntrii i' [[Asya]].,Afganistaan esa kuntrii i Asya,5,33
 es a' ailen kuntriis a' [[Afreka]].,es a ailen kuntriis a Afreka,6,8
"Abaza ([[Rushan]]: Абаза) esa citii i' [[Rusha]], i' Khakassia.",Abaza esa citii i Rusha i Khakassia,7,20
 esa kuntrii i' [[Afreka]].,esa kuntrii i Afreka,4,39
 <ns>0</ns>  <revision></revision>  <timestamp>2021-12-12T13:09:51Z</timestamp>  <contributor></contributor>  <username>Alefar</username>    <comment>Redirected page to [[Entanashunal Fonetikl Elphabet]]</comment>  <model>wikitext</model>  <format>text/x-wiki</format>,nsns revisionrevision timestampTZtimestamp contributorcontributor usernameAlefarusername commentRedirected page to Entanashunal_Fonetikl_Elphabetcomment modelwikitextmodel formattextxwikiformat,11,31
Human enetomii es [[enetomii]] o' humans.,Human enetomii es enetomii o humans,6,12
