	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Septanm 17, 2015 at 11:51 menm	September 17, 2015 at 6:53 am 	Dodekanisos Express Ferries - Ferryto 	661	737	False	1
1	Li te batize nan ane 2003.	In 2003 she was baptized.	(James 1:17) Moved with gratitude for God’s numerous good gifts, the psalmist sang: “He is making green grass sprout for the beasts, and vegetation for the service of mankind, to cause food to go forth from the earth, and wine that makes the heart of mortal man rejoice, to make the face shine with oil, and bread that sustains the very heart of mortal man.”	129	511	False	1
2	Nou ka li Labib regilyèman epi n byen suiv prensip ki ladan l yo lè n jwenn eprèv.	We can read the Bible regularly and carefully apply its principles to the tests we face.	The barrel and screw is of building block type, full intermeshing type screw is easy to clean. The screws are able to arrange according to the different plastic material, has the advantages of interchangeability, strong adaptability, good mixing, plasticization and exhaust. 	823	33	False	1
3	Yon ajoute-sou ak yon modèl vòl ak modèl nan kalite siperyè konpatib nenpòt vèsyon an FSX. Gen ladan twa tèkstur: Ofisyèl House koulè, NWA Airlink, Amerik West Express. Asire ou li manyèl la apre enstalasyon yo.	An add-on with a flight model and modeling of high quality compatible any version of FSX. Includes three textures: Official House Colors, NWA Airlink, America West Express. Be sure to read the manual after installation. 	Home/Contact Tekna Hyperbaric Chamber Sales/Form Test – Hyperbaric Oxygen Therapy HBOT 	394	412	False	1
4	Bay twa konsèy nou jwenn nan Women 12:12 la.	What three admonitions are given at Romans 12:12?	The Magic of the Music-2 (Sanp de mizik-2) 	994	275	False	1
5	OSCE	OSCE 	Aliminyòm aliminyòm dra/Hydrophilic / 	318	193	False	1
6	paj dakèy > Pwodwi > Silo en > Brassage endistri Silo	Home > Products > Steel Silo > Brewing Industry Silo 	Features: 	46	703	False	1
7	Pawòl Viewer	Word Viewer 	"< start=""171.741"" dur=""1.466"">LIKE BARACK OBAMA SHOWED EARLY ENTHUSIASM THOSE GRASSROOTS.> "	217	659	False	1
8	Angle	English 	The French Air Force is proud to present its new texture called Flyboys 	353	633	False	1
9	Nou (136)	New (149) 	1) The freshly picked fruit is washed and slices and then frozen. 	867	161	False	1
10	[Kare/Foto nan paj 14]	[Box/Pictures on page 16]	kayak paddle for sale China Kayak Paddle Manufacturers and Factory - Wholesale Products - Weihai Xinbo Composite Products Co.,Ltd 	168	425	False	1
11	Ki rekonpans n ap jwenn lefètke n gen imilite?	What are the rewards for being humble?	He protects the righteous.	701	853	False	1
12	Ki sa petèt ki te lakòz lanmou kèk kretyen vin rafredi?	What may have caused the love of some Christians to grow cold?	Elderly Elderly patients should be started on lower doses of liothyronine. Plasma (T3) concentrations in this population are decreased by 25% to 40%.TSH must be routinely monitored since there is a risk of coronary artery disease, hyperthyroidism and excessive bone loss from inadequate or abnormal thyroid replacement. 	729	83	False	1
13	Gen lòt tèks toujou nan Ekriti grèk yo ki montre se Jezi ki Wen Bondye yo pale nan dezyèm sòm nan.	Other texts of the Christian Greek Scriptures also show that Jesus is God’s Anointed One referred to in the second psalm.	I am with you all the days until the conclusion of the system of things.”​—Matthew 28:19, 20.	822	768	False	1
14	MINIGRUE ANT.	MINI-CRANE ANT SO SMALL, 	Ancient shipbuilders used the liquid form; they would apply it directly to their vessels.	964	740	False	1
