Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
['Fwontyè', 'ant', 'Kiba', 'ak', 'Ayiti', 'se', 'antyèman', 'yon', 'maritim', 'ak', 'separe', 'zile', 'Kiba', 'ak', 'Ispayola', '.']	[2]	Kiba	Q241	[2]	Kiba	Q241	P17
['Majagua', 'se', 'yon', 'vil', 'nan', 'pwovens', 'Ciego', 'de', 'Ávila', ',', 'nan', 'peyi', 'Kiba', '.']	[6, 7, 8]	Ciego de Ávila	Q220692	[12]	Kiba	Q241	P17
['Pwovens', 'yo', 'nan', 'peyi', 'Kiba', 'divize', 'pa', '169', 'minisipalite', 'oubyen', 'municipios', ',', 'mannyè', 'yo', 'rele', 'l', 'Kiba', '.']	[4]	Kiba	Q241	[4]	Kiba	Q241	P17
['Clintwood', 'se', 'yon', 'vil', 'nan', 'eta', 'Vijini', ',', 'nan', 'Etazini', '.']	[6]	Vijini	Q1370	[9]	Etazini	Q30	P17
['Rory', 'Hugh', 'Culkin', ',', 'rele', 'Rory', 'Culkin', ',', 'ki', 'fèt', '21', 'jiyè', '1989', 'nan', 'vil', 'Nouyòk', 'nan', 'eta', 'Nou', 'Yòk', '(', 'Etazini', ')', ',', 'se', 'yon', 'aktè', 'ameriken', '.']	[15]	Nouyòk	Q60	[21]	Etazini	Q30	P17
['Sully', 'Obin', 'se', 'yon', 'atis', ',', 'yon', 'pent', 'ayisyen', '.']	[4]	atis	Q483501	[7]	pent	Q1028181	P279
['Spencer', 'Depas', 'se', 'yon', 'atis', ',', 'yon', 'pent', 'ayisyen', '.']	[4]	atis	Q483501	[7]	pent	Q1028181	P279
['Winston', 'Delano', 'Stewart', ',', 'rele', 'Delano', 'Stewart', ',', 'ki', 'fèt', '5', 'janvye', '1947', 'nan', 'Kinstòn', '(', 'Jamayik', ')', ',', 'se', 'yon', 'chantè', ',', 'mizisyen', 'rege', ',', 'raga', 'jamayiken', '.']	[14]	Kinstòn	Q34692	[16]	Jamayik	Q766	P17
['Urbanna', 'se', 'yon', 'vil', 'nan', 'eta', 'Vijini', ',', 'nan', 'Etazini', '.']	[6]	Vijini	Q1370	[9]	Etazini	Q30	P17
['Ronda', 'se', 'yon', 'komin', 'nan', 'pwovens', 'Málaga', ',', 'nan', 'kominote', 'otonòm', 'Andalouzi', ',', 'nan', 'peyi', 'Espay', '.']	[6]	Málaga	Q95028	[15]	Espay	Q29	P17
['Ronda', 'se', 'yon', 'komin', 'nan', 'pwovens', 'Málaga', ',', 'nan', 'kominote', 'otonòm', 'Andalouzi', ',', 'nan', 'peyi', 'Espay', '.']	[11]	Andalouzi	Q5783	[15]	Espay	Q29	P17
['Jorge', 'Barreiro', ',', 'ki', 'fèt', '14', 'mas', '1930', 'nan', 'Bwènozè', '(', 'Ajantin', ')', ',', 'se', 'yon', 'aktè', 'ajanten', '.']	[9]	Bwènozè	Q1486	[11]	Ajantin	Q414	P36
['Arnaud', 'Binard', ',', 'ki', 'fèt', '18', 'janvye', '1971', 'nan', 'vil', 'Bòdo', '(', 'Frans', ')', ',', 'se', 'yon', 'aktè', ',', 'reyalizatè', 'ak', 'pwodiktè', 'franse', '.']	[10]	Bòdo	Q1479	[12]	Frans	Q142	P17
['Nasim', 'Pedrad', ',', 'ki', 'fèt', '18', 'novanm', '1981', 'nan', 'Teheran', '(', 'Iran', ')', ',', 'se', 'yon', 'aktris', 'iranyèn', '-', 'amerikèn', '.']	[9]	Teheran	Q3616	[11]	Iran	Q794	P17
['Luis', 'Gnecco', ',', 'ki', 'fèt', '12', 'desanm', '1962', 'nan', 'Santyago', '(', 'Chili', ')', ',', 'se', 'yon', 'aktè', 'chilyen', '.']	[9]	Santyago	Q2887	[11]	Chili	Q298	P17
['Irène', 'Jacob', ',', 'ki', 'fèt', '15', 'jiyè', '1966', 'nan', 'Pari', '(', 'Frans', ')', ',', 'se', 'yon', 'aktris', 'fransèz', '-', 'swis', '.']	[9]	Pari	Q90	[11]	Frans	Q142	P17
['Li', 'gen', 'yon', 'lisans', 'nan', 'edikasyon', 'nan', 'Inivèsite', 'Barry', ',', 'Etazini', 'nan', 'lane', '1987', '.']	[1]	gen	Q5555008	[10]	Etazini	Q30	P17
['Li', 'gen', 'yon', 'lisans', 'nan', 'edikasyon', 'nan', 'Inivèsite', 'Barry', ',', 'Etazini', 'nan', 'lane', '1987', '.']	[8]	Barry	Q485235	[10]	Etazini	Q30	P17
['Langlois', 'se', 'yon', 'vil', 'nan', 'eta', 'Oregon', ',', 'nan', 'Etazini', '.']	[6]	Oregon	Q824	[9]	Etazini	Q30	P17
['Zèv', 'li', 'yo', 'te', 'ekspoze', 'nan', 'Pari', ',', 'nan', 'Nîmes', '(', 'Frans', ')', ',', 'nan', 'Ewòp', ',', 'nan', 'Meksiko', ',', 'nan', 'Jamayik', '.']	[6]	Pari	Q90	[11]	Frans	Q142	P17
['Dufur', 'se', 'yon', 'vil', 'nan', 'eta', 'Oregon', ',', 'nan', 'Etazini', '.']	[6]	Oregon	Q824	[9]	Etazini	Q30	P17
['Manuel', 'Alejandro', 'Gutiérrez', 'Perea', ',', 'rele', 'Álex', 'Perea', ',', 'ki', 'fèt', '27', 'septanm', '1989', 'nan', 'Meksiko', '(', 'Meksik', ')', ',', 'se', 'yon', 'aktè', 'meksiken', 'nan', 'telenovela', 'ak', 'sinema', '.']	[15]	Meksiko	Q1489	[17]	Meksik	Q96	P17
[' ', 'Sou', '20', 'mas', ',', 'vil', 'Nice', '(', 'majistra', 'Christian', 'Estrosi', 'soufri', 'de', 'Covid-19', ')', 'se', 'premye', 'komin', 'nan', 'Frans', 'pou', 'entwodui', 'yon', 'kouvrefe', 'apati', 'uitè', 'diswa', '.']	[6]	Nice	Q33959	[19]	Frans	Q142	P17
[' ', 'Sou', '20', 'mas', ',', 'vil', 'Nice', '(', 'majistra', 'Christian', 'Estrosi', 'soufri', 'de', 'Covid-19', ')', 'se', 'premye', 'komin', 'nan', 'Frans', 'pou', 'entwodui', 'yon', 'kouvrefe', 'apati', 'uitè', 'diswa', '.']	[9, 10]	Christian Estrosi	Q749029	[19]	Frans	Q142	P27
['   ', 'se', 'yon', 'komin', 'nan', 'pwovens', 'Jaén', ',', 'nan', 'kominote', 'otonòm', 'Andalouzi', ',', 'nan', 'peyi', 'Espay', '.']	[6]	Jaén	Q95025	[15]	Espay	Q29	P17
['   ', 'se', 'yon', 'komin', 'nan', 'pwovens', 'Jaén', ',', 'nan', 'kominote', 'otonòm', 'Andalouzi', ',', 'nan', 'peyi', 'Espay', '.']	[11]	Andalouzi	Q5783	[15]	Espay	Q29	P17
['Bison', 'se', 'yon', 'vil', 'nan', 'eta', 'Dakota', 'disid', ',', 'nan', 'Etazini', '.']	[6, 7]	Dakota disid	Q1211	[10]	Etazini	Q30	P17
['Pascal', 'Compere', 'se', 'yon', 'atis', ',', 'yon', 'pent', 'ayisyen', '.']	[4]	atis	Q483501	[7]	pent	Q1028181	P279
['María', 'de', 'Lourdes', 'Rojo', 'e', 'Incháustegui', ',', 'rele', 'María', 'Rojo', ',', 'ki', 'fèt', '15', 'out', '1943', 'nan', 'Meksiko', '(', 'Meksik', ')', ',', 'se', 'yon', 'aktè', 'ak', 'yon', 'politisyèn', 'meksiken', '.']	[17]	Meksiko	Q1489	[19]	Meksik	Q96	P17
['Susanne', 'Bier', ',', 'ki', 'fèt', '15', 'avril', '1960', 'nan', 'Kopènag', ',', '(', 'Danmak', ')', ',', 'se', 'yon', 'reyalizatris', 'danwa', '.']	[9]	Kopènag	Q1748	[12]	Danmak	Q35	P17
['Gérald', 'Thomassin', ',', 'ki', 'fèt', '8', 'septanm', '1974', 'nan', 'Pantin', 'nan', 'depatman', 'Seine', '-', 'Saint', '-', 'Denis', '(', 'Frans', ')', ',', 'se', 'yon', 'aktè', 'franse', '.']	[18]	Frans	Q142	[24]	franse	Q121842	P17
"['On', 'veut', 'alors', ""qu'il"", 'rentre', 'au', 'Mali', 'ce', ""qu'il"", 'refuse', 'voulant', 'coute', 'que', 'coute', 'faire', 'une', 'these', '.Il', 'perd', 'sa', 'bourse', 'alors', ""qu'il"", 'est', 'a', 'Grenoble', 'ou', 'il', 'est', 'inscrit', 'en', 'DEA', 'de', 'STATISTIQUE.Il', 'fait', 'alors', 'une', 'demande', 'de', 'bourse', 'a', 'la', 'France', 'et', 'obtient', 'une', 'bourse', 'FAC', ""jusqu'a"", 'la', 'soutenance', 'de', 'sa', 'these', 'de', 'troisieme', 'cycle', '.']"	[25]	Grenoble	Q1289	[42]	France	Q142	P17
['Lacomb', 'se', 'yon', 'vil', 'nan', 'eta', 'Oregon', ',', 'nan', 'Etazini', '.']	[6]	Oregon	Q824	[9]	Etazini	Q30	P17
['Clément', 'Manuel', ',', 'ki', 'fèt', '14', 'mas', '1982', 'nan', 'La', 'Ciotat', 'nan', 'Provence', '-', 'Alpes', '-', 'Côte', 'd’Azur', '(', 'Frans', ')', ',', 'se', 'yon', 'aktè', 'franse', '.']	[19]	Frans	Q142	[25]	franse	Q121842	P17
['Eau', 'Claire', 'se', 'yon', 'vil', 'nan', 'eta', 'Wiskonnsin', ',', 'nan', 'Etazini', '.']	[7]	Wiskonnsin	Q1537	[10]	Etazini	Q30	P17
['Perrydale', 'se', 'yon', 'vil', 'nan', 'eta', 'Oregon', ',', 'nan', 'Etazini', '.']	[6]	Oregon	Q824	[9]	Etazini	Q30	P17
['Jacques', 'Cadet', 'se', 'yon', 'atis', ',', 'yon', 'pent', 'ayisyen', '.']	[4]	atis	Q483501	[7]	pent	Q1028181	P279
['Andrea', 'Luna', 'Cisneros', ',', 'rele', 'Andrea', 'Luna', ',', 'ki', 'fèt', '19', 'fevriye', '1992', 'nan', 'Lima', '(', 'Pewou', ')', ',', 'se', 'yon', 'aktris', 'ak', 'modèl', 'pewouvyen', '.']	[14]	Lima	Q2868	[16]	Pewou	Q419	P36
