,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
7,Gentille Assih se yon reyalizatè [[sinema]] togolèz.,Gentille Assih se yon reyalizatè sinema togolèz,7,8,51.32142857142857,2,8-2
6,Li se pi piti sè [[Laetitia Casta]] a.,Li se pi piti sè Laetitia_Casta a,7,8,51.32142857142857,1,8-1
5,Scotia se yon vil nan eta [[Nebraska]] .,Scotia se yon vil nan eta Nebraska,7,8,51.32142857142857,1,8-1
4,Koray se yon [[vil]] nan [[peyi]] [[Ayiti]].,Koray se yon vil nan peyi Ayiti,7,8,51.32142857142857,1,8-1
3,Fwi se yon pati sikre nan [[plant]].,Fwi se yon pati sikre nan plant,7,8,51.32142857142857,1,8-1
2,The Roop se yon gwoup mizisyen [[Lityani]].,The Roop se yon gwoup mizisyen Lityani,7,8,51.32142857142857,1,8-1
1,[[Komin]] sa a sitiye nan [[awondisman]] Desalin.,Komin sa a sitiye nan awondisman Desalin,7,8,51.32142857142857,0,8-0
0,"Susan Fales-Hill se yon aktris, atis [[ayisyen]]",Susan FalesHill se yon aktris atis ayisyen,7,8,51.32142857142857,1,8-1
9,[[diulq]] ••••••••••••••••••••••••••••[[diulqei]]  [[kolon guètty manman ow hou!,diulq ••••••••••••••••••••••••••••diulqei kolon guètty manman ow hou,7,13,50.908496732026144,0,13-0
4,Li te gen yon relasyon avèk [[Aleksann Petyon]].,Li te gen yon relasyon avèk Aleksann_Petyon,7,13,50.908496732026144,1,13-1
5,Scobey se yon vil nan eta [[Montana]] .,Scobey se yon vil nan eta Montana,7,13,50.908496732026144,2,13-2
6,Atkinson se yon vil nan eta [[Nebraska]] .,Atkinson se yon vil nan eta Nebraska,7,13,50.908496732026144,2,13-2
7,Crystal se yon vil nan eta [[Nevada]] .,Crystal se yon vil nan eta Nevada,7,13,50.908496732026144,2,13-2
8,Rushville se yon vil nan eta [[Nebraska]] .,Rushville se yon vil nan eta Nebraska,7,13,50.908496732026144,2,13-2
13,"Duperrier se yon [[atis]], yon [[pent]] [[ayisyen]].",Duperrier se yon atis yon pent ayisyen,7,13,50.908496732026144,1,13-1
10,Neligh se yon vil nan eta [[Nebraska]] .,Neligh se yon vil nan eta Nebraska,7,13,50.908496732026144,2,13-2
11,Bassett se yon vil nan eta [[Nebraska]] .,Bassett se yon vil nan eta Nebraska,7,13,50.908496732026144,2,13-2
12,Richland se yon vil nan eta [[Nebraska]] .,Richland se yon vil nan eta Nebraska,7,13,50.908496732026144,2,13-2
2,Li ap jwe mizik sa : [[konpa]] ayisyen.,Li ap jwe mizik sa konpa ayisyen,7,13,50.908496732026144,1,13-1
14,"Domond se yon [[atis]], yon [[pent]] [[ayisyen]].",Domond se yon atis yon pent ayisyen,7,13,50.908496732026144,1,13-1
15,"Trina McGee-Davis se yon aktris, atis [[ayisyen]]",Trina McGeeDavis se yon aktris atis ayisyen,7,13,50.908496732026144,1,13-1
3,"Mikhael Leonidovitch Gromov se yon [[matematisyen]] [[franse]] (sitwayen peyi [[Risi]] ki natiralize franse depi 1992; nan ris ou ap ekri non li ""Михаил Леонидович Громов"").",Mikhael Leonidovitch Gromov se yon matematisyen franse,7,13,50.908496732026144,1,13-1
16,Anoka se yon vil nan eta [[Nebraska]] .,Anoka se yon vil nan eta Nebraska,7,13,50.908496732026144,2,13-2
1, se yon ekriven franse fèt nan [[Nouvèl Kaledoni]].,se yon ekriven franse fèt nan Nouvèl_Kaledoni,7,13,50.908496732026144,1,13-1
0,"Non syantifik li se ""Exostema caribæum [[Urb]]. """,Non syantifik li se Exostema caribæum Urb,7,13,50.908496732026144,1,13-1
17,Se pitit gason [[Darling Légitimus]] ak [[Étienne Légitimus]].,Se pitit gason Darling_Légitimus ak Étienne Légitimus,7,13,50.908496732026144,3,13-3
18,[[Michèle Montantin]] se pitit fi yon koup melanje.,Michèle_Montantin se pitit fi yon koup melanje,7,10,49.99080459770115,3,10-3
28,Holbrook se yon vil nan eta [[Nebraska]] .,Holbrook se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
27,Naponee se yon vil nan eta [[Nebraska]] .,Naponee se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
26,Lolita Cuevas te fèt nan [[Mayaguez]] an 1910.,Lolita Cuevas te fèt nan Mayaguez an,7,10,49.99080459770115,3,10-3
25,"], témoignages recueillis par [[Alain Brossat]] et Daniel Maragnès.",témoignages recueillis par Alain_Brossat et Daniel Maragnès,7,10,49.99080459770115,4,10-4
24,"[[Nan]] mòn yo, kiltivasyon tibèkil lajman domine.",Nan mòn yo kiltivasyon tibèkil lajman domine,7,10,49.99080459770115,3,10-3
23,Surprise se yon vil nan eta [[Nebraska]] .,Surprise se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
22,Exeter se yon vil nan eta [[Nebraska]] .,Exeter se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
21,Li monte sou depatman [[Nò]] ak Latibonit.,Li monte sou depatman Nò ak Latibonit,7,10,49.99080459770115,3,10-3
20,Kenesaw se yon vil nan eta [[Nebraska]] .,Kenesaw se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
29,"Li se yon seri derive seri ""[[El octavo mandamiento]]"".",Li se yon seri derive seri El_octavo_mandamiento,7,10,49.99080459770115,1,10-1
19,"Jawa (""Java"") se yon nan zile nan [[Endonezi]].",Jawa se yon nan zile nan Endonezi,7,10,49.99080459770115,3,10-3
5,Bonbadopolis se yon [[vil]] nan [[peyi]] [[Ayiti]].,Bonbadopolis se yon vil nan peyi Ayiti,7,10,49.99080459770115,2,10-2
2,"Calixtes se yon [[atis]], yon [[pent]] [[ayisyen]].",Calixtes se yon atis yon pent ayisyen,7,10,49.99080459770115,1,10-1
15,Richey se yon vil nan eta [[Montana]] .,Richey se yon vil nan eta Montana,7,10,49.99080459770115,2,10-2
14,Pisans piblik ann [[Ayiti]] nan epòk kolonyal.,Pisans piblik ann Ayiti nan epòk kolonyal,7,10,49.99080459770115,3,10-3
13,Li vin Prezidan Repiblik [[Ekwatè]] apati 24 me 2021.,Li vin Prezidan Repiblik Ekwatè apati me,7,10,49.99080459770115,3,10-3
12,Adachi se yon vil nan eta [[Tokyo]],Adachi se yon vil nan eta Tokyo,7,10,49.99080459770115,2,10-2
11,"Non syantifik li se ""Cassia emarginata [[L.]] """,Non syantifik li se Cassia emarginata L,7,10,49.99080459770115,3,10-3
0,Malmo se yon vil nan eta [[Nebraska]] .,Malmo se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
1,"LaForest se yon [[atis]], yon [[pent]] [[ayisyen]].",LaForest se yon atis yon pent ayisyen,7,10,49.99080459770115,1,10-1
3,Ralston se yon vil nan eta [[Nebraska]] .,Ralston se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
17,Gilbert Gratiant fèt nan Saint-Pierre nan [[Matinik]].,Gilbert Gratiant fèt nan SaintPierre nan Matinik,7,10,49.99080459770115,3,10-3
4,"""* Nou kapab ranplase pou li izopwopanòl 99,8% nan (7.515 [[L]]).""",Nou kapab ranplase pou li izopwopanòl nan,7,10,49.99080459770115,3,10-3
6,Greeley se yon vil nan eta [[Nebraska]] .,Greeley se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
7,Pilat se yon [[vil]] nan [[peyi]] [[Ayiti]].,Pilat se yon vil nan peyi Ayiti,7,10,49.99080459770115,2,10-2
8,Henry Seely White se yon [[matematisyen]] [[ameriken]].,Henry Seely White se yon matematisyen ameriken,7,10,49.99080459770115,1,10-1
9,Li fèt karyè li nan [[Frans]] depi 1960.,Li fèt karyè li nan Frans depi,7,10,49.99080459770115,3,10-3
10,Merriman se yon vil nan eta [[Nebraska]] .,Merriman se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
16,Louisville se yon vil nan eta [[Nebraska]] .,Louisville se yon vil nan eta Nebraska,7,10,49.99080459770115,0,10-0
11,Laurel se yon vil nan eta [[Nebraska]] .,Laurel se yon vil nan eta Nebraska,7,11,49.5514705882353,0,11-0
12,Charlie Murphy se frè pi vye [[Eddie Murphy]].,Charlie Murphy se frè pi vye Eddie_Murphy,7,11,49.5514705882353,5,11-5
0,Eagle se yon vil nan eta [[Nebraska]] .,Eagle se yon vil nan eta Nebraska,7,11,49.5514705882353,0,11-0
4,"Casimir se yon [[atis]], yon [[pent]] [[ayisyen]].",Casimir se yon atis yon pent ayisyen,7,11,49.5514705882353,3,11-3
9,"Gerard se yon [[atis]], yon [[pent]] [[ayisyen]].",Gerard se yon atis yon pent ayisyen,7,11,49.5514705882353,3,11-3
8,Guantánamo se yon pwovens nan peyi [[Kiba]].,Guantánamo se yon pwovens nan peyi Kiba,7,11,49.5514705882353,1,11-1
7,Arthur Moritz Schönflies se yon [[matematisyen]] [[alman]].,Arthur Moritz Schönflies se yon matematisyen alman,7,11,49.5514705882353,4,11-4
6,Norfolk se yon vil nan eta [[Nebraska]] .,Norfolk se yon vil nan eta Nebraska,7,11,49.5514705882353,0,11-0
5,Albertico Pujols Acosta se yon [[aktè]] kiben.,Albertico Pujols Acosta se yon aktè kiben,7,11,49.5514705882353,1,11-1
16,'Epiglòt se yon estrikti katilajinèz (katilaj elastik) pou [[larenks]].,Epiglòt se yon estrikti katilajinèz pou larenks,7,11,49.5514705882353,1,11-1
15,Holbrook Mann MacNeille se yon [[matematisyen]] [[ameriken]].,Holbrook Mann MacNeille se yon matematisyen ameriken,7,11,49.5514705882353,4,11-4
14,Li se yon vale toupre lavil [[Jerizalèm]].,Li se yon vale toupre lavil Jerizalèm,7,11,49.5514705882353,1,11-1
13,Rulx Léon se yon jounalis [[ayisyen]]    Referans.,Rulx Léon se yon jounalis ayisyen Referans,7,11,49.5514705882353,1,11-1
10,Lewistown se yon vil nan eta [[Montana]] .,Lewistown se yon vil nan eta Montana,7,11,49.5514705882353,0,11-0
1,"Eva Cedeño (ki fèt [[28 desanm]] 1989 nan [[Meksik]]) se yon aktris, boksè meksiken.",Eva Cedeño se yon aktris boksè meksiken,7,11,49.5514705882353,1,11-1
2,"Josephine Premice se yon aktris, atis [[ayisyen]]",Josephine Premice se yon aktris atis ayisyen,7,11,49.5514705882353,1,11-1
3,[[Literati ayisyen]] an ekri an sitou an [[franse]].,Literati_ayisyen an ekri an sitou an franse,7,11,49.5514705882353,2,11-2
33,"Tit se pou [[Janjak Desalin]], premye anperè [[Ayiti]].",Tit se pou Janjak_Desalin premye anperè Ayiti,7,15,49.41891891891892,2,15-2
19,Jorgito Miló Ávila se yon [[aktè]] kiben.,Jorgito Miló Ávila se yon aktè kiben,7,15,49.41891891891892,0,15-0
17,Chadron se yon vil nan eta [[Nebraska]] .,Chadron se yon vil nan eta Nebraska,7,15,49.41891891891892,3,15-3
16,Carleton se yon vil nan eta [[Nebraska]] .,Carleton se yon vil nan eta Nebraska,7,15,49.41891891891892,3,15-3
15,"Montagutelli se yon [[atis]], yon [[pent]] [[ayisyen]].",Montagutelli se yon atis yon pent ayisyen,7,15,49.41891891891892,0,15-0
14,"Perou se yon [[atis]], yon [[pent]] [[ayisyen]].",Perou se yon atis yon pent ayisyen,7,15,49.41891891891892,0,15-0
