	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Abierto el puerta.	The door is open.	Tom doesn't like beef.	505	726	False	0.006108165
1	Abordo si Tom naquel barco?	Is Tom aboard that ship?	How did you fall into the swamp? Someone shoved us.	265	84	False	0.0071868896
2	Agrio el fruta.	The fruit is sour.	I intend to stay there for a week.	533	216	False	0.007384777
3	Alás nueve ya acabá el party.	The party finished at nine.	She knows how to comb her hair.	92	458	False	0.006527543
4	Alcanzá cumigo el vino.	Give me the wine.	Just to watch it made me nervous.	697	256	False	0.006874442
5	Allergic yo na maíz.	I'm allergic to corn.	Many people were killed in the war.	965	146	False	0.004625678
6	Alto esté ponô.	This tree is tall.	You look exhausted.	892	165	False	0.006808758
7	Amó aquel de tuyo plano?	Was that your plan?	I intend to stay there for a week.	345	216	False	0.0067305565
8	Amó se cosa tu ya hablá?	Is that what you said?	He started washing his car.	348	314	False	0.004496813
9	Aparte de usted, todo kita pobre.	Apart from you, we are all poor.	My father has decided to quit smoking.	631	745	False	0.0063114166
10	Aquí yo ya dejá de mío bag.	I left my bag here.	How did you fall into the swamp? Someone shoved us.	778	84	False	0.0061820745
11	Aumentá un poco leche.	Add a little milk.	Encantadia is an upcoming Filipino fantasy television series to be broadcast by GMA Network.	226	540	False	0.0062372684
12	Ay cumprá yo un calendario.	I'll buy a calendar.	What I write is not English.	937	212	False	0.0053030252
13	Ay dale yo cuntigo un bike na de tuyo cumpleaños.	I will give you a bicycle for your birthday.	I don't want to read this book.	383	794	False	0.0069708824
14	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	Do you know where Tom is?	14	795	False	0.006521225
15	Ay quedá yo na casa.	I'll stay home.	Encantadia is an upcoming Filipino fantasy television series to be broadcast by GMA Network.	287	540	False	0.0034679174
16	Ayudá cumigo mové cuneste piedra.	Help me move this stone.	Just to watch it made me nervous.	512	256	False	0.0067988634
17	Baká vené si Jane.	Maybe Jane will come.	Plants breathe, too.	224	563	False	0.005671859
18	Barba cerrada si Tom.	Tom has a full beard.	I have a blue car.	255	304	False	0.004432678
19	Basta, salé aquí.	Just get out of here.	He started washing his car.	238	314	False	0.004920602
20	Bien diútay gayót este cuarto para kanamon.	This room is too small for us.		342	861	False	0.0056046247
21	Bien manada libro si Tom acerca del religión, pero nunca le ya lé kanila.	Tom has a lot of religious books, but he has never read them.	Count to ten.	161	839	False	0.008362412
22	Bien pronto crecí el ponô.	The tree grows very quickly.	You really believe in ghosts?	264	317	False	0.007814288
23	Bien suerte gayót kamó tres.	You three are very lucky.	I don't eat meat.	728	364	False	0.007424712
24	Bien suerte kitá.	We've been so lucky.	Are you still up?	159	307	False	0.0065766573
25	Borles el mujer.	The woman is naked.	He started washing his car.	756	314	False	0.0067067146
26	Buen gente tu.	You are a good person.	There is a dragonfly on the ceiling.	948	609	False	0.007137418
27	Cansáo ya yo de oí tuyo mga reclamo.	I'm tired of listening to your complaints.	Just to watch it made me nervous.	841	256	False	0.006370306
28	Colorao esté vino.	This wine is red.	Just to watch it made me nervous.	305	256	False	0.004754901
29	Comé cunel pan!	Eat the bread!	I gave him what little information I had.	704	260	False	0.0077269077
30	Comé kitá pakwán!	Let's eat a watermelon!	You look exhausted.	341	165	False	0.0043461323
31	Con cuidao! Bien caliente el caldo.	Be careful! The soup is very hot.	The room is too small.	615	363	False	0.005257249
32	Contento le cosa le ahora.	He is content with his present state.	What do you want to be when you grow up?	282	323	False	0.0037276745
33	Cosa el color de tuyo pelo?	What color is your hair?	I don't want to read this book.	612	794	False	0.009080291
34	Cosa el precio desté reloj?	What is the price of this watch?	Count to ten.	346	839	False	0.0068893433
35	Cosa sapatos tu ay usá?	Which shoes are you going to put on?	She knows how to comb her hair.	426	458	False	0.0074933767
36	Cosa silá ya preguntá cuntigo?	What did they ask you?	My father has decided to quit smoking.	446	745	False	0.0067192316
37	Cosa ta pasa alli arriba?	What is going on up there?	Do you go to school on foot?	804	705	False	0.0044983625
38	Cosa tu hacé luego de noche?	What are you going to do tonight?	Sanya Lopez as Sang'gre Danaya, the youngest of the sisters and the keeper of the earth gem.	192	328	False	0.0055351257
