text,text_preprocessed,LEN,label
Lesoto i kaontri long [[Afrika]].,Lesoto i kaontri long Afrika,5,33
Siera Leon i kaontri long [[Afrika]].,Siera Leon i kaontri long Afrika,6,33
Ajentina i kaontri long [[Saot Amerika]] we olgeta save tok tok long Spanish.,Ajentina i kaontri long Saot_Amerika we olgeta save tok tok long Spanish,12,2
Yoshirō Mori (boen 14 Julae 1937) i praem minista blong [[Japan]].,Yoshirō Mori i praem minista blong Japan,7,42
Nakatambol hem i wan fruit we fulap man vanuatu [[oli]] laekem blo kakae from hem i swit tumas.,Nakatambol hem i wan fruit we fulap man vanuatu oli laekem blo kakae from hem i swit tumas,18,0
Mei Kurokawa (boen 13 Mei 1987) em i akta blong [[Japan]].,Mei Kurokawa em i akta blong Japan,7,43
[[Korin]] i stap taon blong [[Gris]].,Korin i stap taon blong Gris,6,21
Lillian Diana Gish (14 Oktoba 1893 – 27 Februari 1993) i akta blong [[Yunaeted Stet blong Amerika]].,Lillian Diana Gish i akta blong Yunaeted_Stet_blong_Amerika,7,44
Martin Van Buren (1782 - 1862) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Martin Van Buren i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
[[Kakao]] hem i sid blong kakao tri.,Kakao hem i sid blong kakao tri,7,29
"[[Kakao]] hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu, kakao oli usum blong mekem chocolate mo fulap mo.",Kakao hemi wan tri frut we man e wantem kakae taem I rip cala blong hemi yelo hemi sweet mo nic yu kakao oli usum blong mekem chocolate mo fulap mo,31,40
[[Kakao]] tri mekem joklet mo kakao.,Kakao tri mekem joklet mo kakao,6,25
"[[Kakao]] tri [[kam]] long [[Andes]] bigfala hil, [[Amazon]] reva.",Kakao tri kam long Andes bigfala hil Amazon reva,9,40
"Port Vila, o jes Vila, hem i kapital blong [[Vanuatu]].",Port Vila o jes Vila hem i kapital blong Vanuatu,10,29
Hem i stap long [[Efate]] aelan.,Hem i stap long Efate aelan,6,45
Gavman blong [[Vanuatu]] i stap long ples ia mo hed blong stet blong [[kaontri]] ia i stap long ples ia tu.,Gavman blong Vanuatu i stap long ples ia mo hed blong stet blong kaontri ia i stap long ples ia tu,21,28
Peru i [[kaontri]] long [[Amerika]] we olgeta save tok tok long Spanish.,Peru i kaontri long Amerika we olgeta save tok tok long Spanish,12,2
"Maket hemi wan ples wea people i save takem mani lem.yu save ko salem sam frut or island kakae.olsem [[kumala]],[[taro]],[[yam]] [[banana]],manioc...blo winim smol mani blo skul fee wetem kakae.",Maket hemi wan ples wea people i save takem mani lemyu save ko salem sam frut or island kakaeolsem kumalataroyam bananamaniocblo winim smol mani blo skul fee wetem kakae,29,0
"Avicenna o Ibn-Sīnā (Arabic: ابن سینا); (abaot 980 – Jun 1037) em i bin wan man blong [[saens]], [[filosofi]], mo [[medisin]] blong Persia.",Avicenna o IbnSīnā em i bin wan man blong saens filosofi mo medisin blong Persia,15,1
Sadako Sawamura (boen long 11 Novemba 1908 – ded long 16 Ogis 1996) em i bin akta blong [[Japan]].,Sadako Sawamura em i bin akta blong Japan,8,43
Benjamin Franklin (1706 - 1790) i politikis blong [[Yunaeted Stet blong Amerika]].,Benjamin Franklin i politikis blong Yunaeted_Stet_blong_Amerika,6,27
"Catherine ""Cate"" Élise Blanchett (boen 20 Mai 1967) em i akta blong [[Ostrelia]].",Catherine Cate Élise Blanchett em i akta blong Ostrelia,9,8
Marion Robert Morrison (26 Mei 1907 – 11 Jun 1979) i bin akta blong [[Yunaeted Stet blong Amerika]].,Marion Robert Morrison i bin akta blong Yunaeted_Stet_blong_Amerika,8,44
Bolivia i kaontri long [[Saot Amerika]] we olgeta save tok tok long Spanish.,Bolivia i kaontri long Saot_Amerika we olgeta save tok tok long Spanish,12,2
"Hem bit sikis stet Qi, Chu, Yan, Zhao, Wei mo Han, bicem fas man yunity [[Jaena]].",Hem bit sikis stet Qi Chu Yan Zhao Wei mo Han bicem fas man yunity Jaena,16,25
Ekwado hem i wan kaontri long [[Saot Amerika]] we olgeta save toktok long Spanish.,Ekwado hem i wan kaontri long Saot_Amerika we olgeta save toktok long Spanish,13,2
"Betty Marion White Ludden (bon long 17 Januware 1922 - bin ded long 31 Desemba 2021), em i bin akta blong [[Yunaeted Stet blong Amerika]].",Betty Marion White Ludden em i bin akta blong Yunaeted_Stet_blong_Amerika,10,34
Dipsi i bigbig [[solwota]].,Dipsi i bigbig solwota,4,25
"Timothy Michael ""Tim"" Kaine (bon long yia 1958), em i man blong politik blong [[Yunaeted Stet blong Amerika]].",Timothy Michael Tim Kaine em i man blong politik blong Yunaeted_Stet_blong_Amerika,11,26
Wrocław i wan bigtaon long [[Polan]].,Wrocław i wan bigtaon long Polan,6,50
Eisaku Satō (27 Maj 1901 – 3 Jun 1975) i praem minista blong [[Japan]].,Eisaku Satō i praem minista blong Japan,7,42
Beijing hem i kapital blong [[Jaena]].,Beijing hem i kapital blong Jaena,6,36
Gabon i kaontri long [[Afrika]].,Gabon i kaontri long Afrika,5,33
"50 Cent (bon Curtis James Jackson III long 6 Julae 1975 long Queens long Bitaon blong New York), em i man blong singsing blong [[Yunaeted Stet blong Amerika]].",Cent em i man blong singsing blong Yunaeted_Stet_blong_Amerika,8,26
"Berlin, hem i kapitol blong [[Jemani]].",Berlin hem i kapitol blong Jemani,6,36
Taylor Alison Swift i bin wan woman blong singsing mo akta blong [[Amerika]].,Taylor Alison Swift i bin wan woman blong singsing mo akta blong Amerika,13,6
"Ronald Ernest ""Ron"" Paul (bon long 20 Ogis 1935) i politikis blong [[Yunaeted Stet blong Amerika]].",Ronald Ernest Ron Paul i politikis blong Yunaeted_Stet_blong_Amerika,8,27
Gary Cooper (7 Mei 1901 – 13 Mei 1961) em i akta blong [[Yunaeted Stet blong Amerika]].,Gary Cooper em i akta blong Yunaeted_Stet_blong_Amerika,7,34
Akane Haga (bon long yia 2002) em i woman blong singsing blong [[Japan]].,Akane Haga em i woman blong singsing blong Japan,9,3
Reina Tanaka (boen 1989) em i woman blong singsing blong [[Japan]].,Reina Tanaka em i woman blong singsing blong Japan,9,3
Coritiba Foot Ball Club i klub blong futbol blong [[Curitiba]] long Brazil.,Coritiba Foot Ball Club i klub blong futbol blong Curitiba long Brazil,12,40
Mark Elliot Zuckerberg (boen 14 Mei 1984) em i bisnesman blong [[Yunaeted Stet blong Amerika]].,Mark Elliot Zuckerberg em i bisnesman blong Yunaeted_Stet_blong_Amerika,8,49
John Fitzgerald Kennedy (29 Mei 1917 – 22 Novemba 1963) em i hed blong stet blong [[Yunaeted Stet blong Amerika]].,John Fitzgerald Kennedy em i hed blong stet blong Yunaeted_Stet_blong_Amerika,10,46
"Long July 2016, populaesen blong [[Arkansas]] i stap araon 2,988,248.",Long July populaesen blong Arkansas i stap araon,8,41
Park Chanyeol (1992 - ) em i wan man blong singsing blong [[Saot Koria]].,Park Chanyeol em i wan man blong singsing blong Saot_Koria,10,37
Gloria May Josephine Swanson (27 Maj 1899 – 4 Epril 1983) i akta blong [[Yunaeted Stet blong Amerika]].,Gloria May Josephine Swanson i akta blong Yunaeted_Stet_blong_Amerika,8,44
"Stamba ples blong hem, vilej blong ""Fortsenal"" long [[Santo aelan]] (Sanma provens).",Stamba ples blong hem vilej blong Fortsenal long Santo_aelan,9,35
Momoko Shimizu (boen 9 Oktoba 1997) em i akta blong [[Japan]].,Momoko Shimizu em i akta blong Japan,7,43
Liberia i kaontri long [[Afrika]].,Liberia i kaontri long Afrika,5,33
"Daejeon Swijyad Stesen i relwei stesen, stap long [[Daejeon]].",Daejeon Swijyad Stesen i relwei stesen stap long Daejeon,9,48
Joan Crawford (23 Maj 1904 – 10 Mei 1977) em i akta blong [[Yunaeted Stet blong Amerika]].,Joan Crawford em i akta blong Yunaeted_Stet_blong_Amerika,7,34
"Sandlewood hemi wan lo valuable tri long [[Vanuatu]] we hem i makem big money igo long [[economi]] blo countri, sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu.",Sandlewood hemi wan lo valuable tri long Vanuatu we hem i makem big money igo long economi blo countri sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu,34,35
"Hem i gat braun [[stampa]] mo grin lif,lif blong hem i luk smalsmal olsem naus.oli makem samting [[aut]] long hem olsem:Oil,perfume,soap mo fulap mo samting long hem.",Hem i gat braun stampa mo grin liflif blong hem i luk smalsmal olsem nausoli makem samting aut long hem olsemOilperfumesoap mo fulap mo samting long hem,27,40
"Everi bodi blong hem oli kat uses,studi i sowem se North [[Tanna]] hemi wan long [[island]] long [[Vanuatu]] i stap lead long sandlewood after long eromango .",Everi bodi blong hem oli kat usesstudi i sowem se North Tanna hemi wan long island long Vanuatu i stap lead long sandlewood after long eromango,26,28
Entomoloji em i saens blong ol [[insek]].,Entomoloji em i saens blong ol insek,7,28
Kakuei Tanaka (14 Mei 1918 – 16 Desemba 1993) i praem minista blong [[Japan]].,Kakuei Tanaka i praem minista blong Japan,7,42
Akari Hayami (boen 1995) em i woman blong singsing blong [[Japan]].,Akari Hayami em i woman blong singsing blong Japan,9,3
"I long Hungary, [[Romania]], [[Bulgaria]], [[Not Masedonia]], [[Albania]], Bosnia & Herzegovina.",I long Hungary Romania Bulgaria Not Masedonia Albania Bosnia Herzegovina,10,18
Céline Marie Claudette Dion (boen 30 Maj 1968) em i woman blong singsing blong [[Kanada]].,Céline Marie Claudette Dion em i woman blong singsing blong Kanada,11,37
"Raffaello Sanzio, o Raphael (6 Epril, 1483 - 6 Epril 1520) em i bin wan man blong at mo akiteksa blong [[Itali]] blong Renaissance.",Raffaello Sanzio o Raphael em i bin wan man blong at mo akiteksa blong Itali blong Renaissance,17,50
Samfala pitja we i bin pentem ol i stap long Vatican long [[Rome]].,Samfala pitja we i bin pentem ol i stap long Vatican long Rome,13,28
"Angela Merkel (Hamburg, 17 Juli 1954) i hed blong stet blong [[Jemani]].",Angela Merkel i hed blong stet blong Jemani,8,12
Esia i wan [[kontinen]] we i bik tumas.,Esia i wan kontinen we i bik tumas,8,0
Taelan i kaontri long [[Esia]].,Taelan i kaontri long Esia,5,10
Kapital blong hem i [[Bangkok]].,Kapital blong hem i Bangkok,5,4
Theodore Roosevelt Jr. (1858 - 1919) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Theodore Roosevelt Jr i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
Siria i kaontri long [[Esia]].,Siria i kaontri long Esia,5,10
"Astronomi i stadi blong plante kaen samting blong skae: [[san]], [[mun]], ol sta, ol plenet, ol galaksi, mo narafala kaen ol samting.",Astronomi i stadi blong plante kaen samting blong skae san mun ol sta ol plenet ol galaksi mo narafala kaen ol samting,22,28
Keizō Obuchi (25 Jun 1937 – 14 Mei 2000) i praem minista blong [[Japan]].,Keizō Obuchi i praem minista blong Japan,7,42
Saepras i kaontri long [[Yurop]].,Saepras i kaontri long Yurop,5,23
Fiji hem i wan kaontri long [[Pasifik]].,Fiji hem i wan kaontri long Pasifik,7,22
"I long Netherlands, [[Jemani]], Luxembourg, [[Franis]].",I long Netherlands Jemani Luxembourg Franis,6,18
Kapital blong hem i [[Brussels]].,Kapital blong hem i Brussels,5,4
"Long Julae 2015, populaesen blong [[Beljiom]] i stap araon 11 milien.",Long Julae populaesen blong Beljiom i stap araon milien,9,41
Kamatari Fujiwara (15 Januware 1905 – 21 Desemba 1985) i akta blong [[Japan]].,Kamatari Fujiwara i akta blong Japan,6,9
Isao Bitō (boen 1943) em i man blong singsing blong [[Japan]].,Isao Bitō em i man blong singsing blong Japan,9,3
Not Amerika em i wan [[kontinen]] long notwes pat blong [[wol]].,Not Amerika em i wan kontinen long notwes pat blong wol,11,50
"Long July 2016, populaesen blong [[Delaware]] i stap araon 952,065.",Long July populaesen blong Delaware i stap araon,8,41
Tafea i provens blong [[Vanuatu]].,Tafea i provens blong Vanuatu,5,5
Kapital blong Tafea i [[Isangel]].,Kapital blong Tafea i Isangel,5,4
"Justice, hem i miusik grup blong [[Franis]].",Justice hem i miusik grup blong Franis,7,31
Naejiria i kaontri long [[Afrika]].,Naejiria i kaontri long Afrika,5,33
"Sayaka Kanda (bon long 1 Oktoba 1986 long Tokyo – bin ded long 18 Desemba 2021 long Sapporo), em i bin wan akta blong [[Japan]].",Sayaka Kanda em i bin wan akta blong Japan,9,43
"Mizuki Fukumura (bon long yia 1996), em i woman blong singsing blong [[Japan]].",Mizuki Fukumura em i woman blong singsing blong Japan,9,3
"Em i gat wan holibuk, [[Baebol]].",Em i gat wan holibuk Baebol,6,0
"Niusilan, Niu Zilan, i [[kaontri]] long [[Pasifik]] we olgeta save tok tok long English mo Maori.",Niusilan Niu Zilan i kaontri long Pasifik we olgeta save tok tok long English mo Maori,16,2
Kween blong Niu Zilan hemi [[Elisabet II]].,Kween blong Niu Zilan hemi Elisabet_II,6,20
Busan Stesen i relwei stesen long [[Busan]].,Busan Stesen i relwei stesen long Busan,7,48
