Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
"William Bradley Brad Pitt ( Disemba 18 , 1963 ) es wun Merikan akter an film producer .",William Bradley Brad Pitt,akter,Q35332,Q10800557,P106,P106,True
"Taylor Lautner ( barn Febyuweri 11 , 1992 ) es wun Merikan akter .",Taylor Lautner,akter,Q23359,Q33999,P106,P106,True
"Alexandre Borges Corrêa ( Febyuweri 23 , 1966 ) es wun Breselyan akter .",Alexandre Borges Corrêa,akter,Q2670396,Q33999,P106,P106,True
"Andrew Garfield ( Orgas 20 , 1983 ) es wun Merikan akter .",Andrew Garfield,akter,Q23891,Q33999,P106,P106,True
"Lília Cabral Bertolli Figueiredo ( barn Juulai 13 , 1957 ) esa Breselyan aktress .",Lília Cabral Bertolli Figueiredo,aktress,Q2704200,Q33999,P106,P106,True
"Nathalia Timberg ( Orgas 5 , 1929 ) es wun Breselyan aktress .",Nathalia Timberg,aktress,Q116188,Q33999,P106,P106,True
"Kendall Nicole Jenner ( Nowemba 3 , 1995 ) es wun Merikan akter and model .",Kendall Nicole Jenner,akter,Q1375057,Q33999,P106,P106,True
"Abel Askoena ( Ieprel 1 , 1988 , Madrid ; fuul naem esa Abel Askoena Markuus ) esa wun Spanish akter .",Abel Askoena,akter,Q23907909,Q713200,P106,P2341,False
"Josh Duhamel ( Nowemba 14 , 1972 ) es wun Merikan akter .",Josh Duhamel,akter,Q19794,Q33999,P106,P106,True
Julien Doré ( 7 Juulai 1982 ) esa singer .,Julien Doré,singer,,Q568578,P106,P106,True
Anna Netrebko ( 18 Septemba 1971 ) esa singer .,Anna Netrebko,singer,Q78516,Q2865819,P106,P106,True
"Jason Bateman ( Jaenyuweri 14 , 1969 ) es wun Merikan akter .",Jason Bateman,akter,Q284636,Q33999,P106,P106,True
"Freddie Mercury esa singer , Ingland .",Freddie Mercury,singer,Q15869,Q177220,P106,P106,True
"Anastacia ( Septemba 17 , 1968 , Chicago ) esa Merikan singer .",Anastacia,singer,Q34584,Q177220,P106,P106,True
"Valerii Leontiev ( Maach 19 , 1949 ) esa Rushan singer .",Valerii Leontiev,singer,Q32927,Q177220,P106,P106,True
Lena Belkina ( 27 Nowemba 1987 ) esa singer .,Lena Belkina,singer,Q6522077,Q177220,P106,P106,True
Avril Lavigne esa Kanedan singer - songwriter .,Avril Lavigne,singer - songwriter,Q30449,Q177220,P106,P106,True
Goran Vishnich ( b. September 9 1972 ) es wun Kroayshan akter .,Goran Vishnich,akter,Q318158,Q33999,P106,P106,True
Hamburg esa big citii i ' Doichland .,Hamburg,Doichland,Q1055,Q183,P131,P131,True
Patio es t ' ofishol kapitel an t ' biges sett'l'ment a ' t ' ailen Tahaa i ' French Poliinesya .,Patio,Tahaa,Q39421306,Q926768,P131,P31,False
"Juuno es t ' kapitel a ' Alaska , Yunitid Staits .",Juuno,Alaska,Q29445,Q797,P1376,P106,False
Jakarta es t ' kapitel a ' biges citii o ' Endonesya .,Jakarta,Endonesya,Q3630,Q252,P1376,P1376,True
"Kanbra esa kapitel citii o ' Ostrielya , an kapitel a ' t ' Ostrielyan Kapitel Teritrii too .",Kanbra,Ostrielya,Q3114,Q408,P1376,P31,False
Alofi es t ' ofishol kapitel a ' t ' Pesifik ailen kuntrii o ' Niue .,Alofi,Niue,Q30966,Q34020,P1376,P31,False
Mogadisho es t ' kapitel a ' Somalia .,Mogadisho,Somalia,Q2449,Q1045,P1376,P17,False
"Vilnius es t ' kapitel a ' Lithyuanya , an its biges citii , wi ' a popyulashun a ' 535,091 ( 809,225 t'gether wi ' Vilnius County ) as a ' 2011 .",Vilnius,Lithyuanya,Q216,Q37,P1376,P131,False
Daun A'Taun es t ' ofishol kapitel a ' Norfuk Ailen .,Daun A'Taun,Norfuk Ailen,Q30963,Q31057,P1376,P31,False
Moskou es t ' kapitel an ' t ' biges citii a ' Rusha an ' t ' sekan biges citii a ' Urup ( aftaa Istanbuel ) .,Moskou,Rusha,Q649,Q159,P1376,P31,False
Kampala es t ' biges citii an kapitel a ' Yuganda .,Kampala,Yuganda,Q3894,Q1036,P1376,P131,False
Belgrade es kapitel citii a ' Serbya .,Belgrade,Serbya,Q3711,Q403,P1376,P131,False
Stokhoelm es t ' kapitel citii a ' Swiiden .,Stokhoelm,Swiiden,Q1754,Q34,P1376,P31,False
Berlin esa kapitel a ' Doichland .,Berlin,Doichland,Q64,Q183,P1376,P131,False
"Kopengagn es t ' kapitel a ' Denmark an ets t ' msa popyulous citii , wi ' an urban popyulayshun a ' 1,230,728 an a ' metropolitan popyulayshun a ' 1,956,278 .",Kopengagn,Denmark,Q1748,Q35,P1376,P131,False
Grenobel esa citii i ' Frans .,Grenobel,Frans,Q1289,Q142,P17,P361,False
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,Bulgeriya,Q7918,Q219,P17,P361,False
Serbyan esa major laenghwij a ' Serbya .,Serbyan,Serbya,Q9299,Q403,P17,P17,True
Brisbin esa citii i ' Ostrielya .,Brisbin,Ostrielya,Q34932,Q408,P17,P31,False
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,dem Faaro Ailen,Q25258,Q4628,P17,P2341,False
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,Pitkern Ailen,Q36554,Q35672,P17,P31,False
Kaluga esa citii i ' Rusha an center a ' t ' Kaluga Oblast .,Kaluga,Rusha,Q2837,Q159,P17,P31,False
"Coreca , esa citii i ' Italii , a ' es 4 km area .",Coreca,Italii,Q15220504,Q38,P17,P17,True
Hamburg esa big citii i ' Doichland .,Hamburg,Doichland,Q1055,Q183,P17,P131,False
Podolsk esa citii i ' Moscow Oblast i ' Rusha .,Podolsk,Rusha,Q19520,Q159,P17,P131,False
Sidni esa citii i ' Ostrielya .,Sidni,Ostrielya,Q3130,Q408,P17,P31,False
Hobart esa citii i ' Ostrielya .,Hobart,Ostrielya,Q40191,Q408,P17,P31,False
Osasco esa biges citii i ' Bresel .,Osasco,Bresel,Q4035,Q155,P17,P1376,False
Taatu esa citii i ' Estonya .,Taatu,Estonya,Q13972,Q191,P17,P17,True
Ufa esa citii i ' Rusha .,Ufa,Rusha,Q911,Q159,P17,P361,False
Maaori esa laenghwij mien spoken i ' Nyuu Ziilan .,Maaori,Nyuu Ziilan,Q36451,Q664,P17,P31,False
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,Samoa,Q34011,Q683,P17,P17,True
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,Pitkern Ailen,Q36554,Q35672,P2341,P31,False
T ' Hawayiian esa laenghwij tal'n i ' Hawayii ( Yunitid Staits ) .,T ' Hawayiian,Hawayii,Q33569,Q782,P2341,P361,False
Serbyan esa major laenghwij a ' Serbya .,Serbyan,Serbya,Q9299,Q403,P2341,P17,False
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,Bulgeriya,Q7918,Q219,P2341,P361,False
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,dem Faaro Ailen,Q25258,Q4628,P2341,P2341,True
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,Samoa,Q34011,Q683,P2341,P17,False
Norfuk es a kreol laenghwij spoekn mien orn Norfuk Ailen an es disendiid fram t ' Pitkern laenghwij a ' t ' setlas from Pitkern Ailen .,Norfuk,Norfuk Ailen Ailen,Q33797,Q31057,P2341,P31,False
Hungrii esa kuntrii i ' Urup .,Hungrii,Urup,Q28,Q46,P30,P1376,False
Morocco esa kuntrii i ' Afreka .,Morocco,Afreka,Q1028,Q15,P30,P1376,False
Spain esa kuntrii i ' Urup .,Spain,Urup,Q29,Q46,P30,P1376,False
Bulgeriya esa kuntrii i ' Urup .,Bulgeriya,Urup,Q219,Q46,P30,P131,False
Griese esa kuntrii i ' Urup .,Griese,Urup,Q41,Q46,P30,P131,False
Bresel esa kuntrii i ' Sowth Merika .,Bresel,Sowth Merika,Q155,Q18,P30,P31,False
Tailan esa kuntrii i ' Asya .,Tailan,Asya,Q869,Q48,P30,P30,True
Luksemborg esa kuntrii i ' Urup .,Luksemborg,Urup,Q32,Q46,P30,P131,False
Uruguay esa kuntrii i ' Sowth Merika .,Uruguay,Sowth Merika,Q77,Q18,P30,P2341,False
Liberia esa kuntrii i ' t ' west o ' Afreka .,Liberia,Afreka,Q1014,Q15,P30,P30,True
Sowth Afreka esa kuntrii i ' Afreka .,Sowth Afreka,Afreka,Q258,Q15,P30,P361,False
Niijiirya esa kuntrii i ' Afreka .,Niijiirya,Afreka,Q1033,Q15,P30,P31,False
Portugal esa kuntrii i ' Urup .,Portugal,Urup,Q45,Q46,P30,P1376,False
Aarmanya esa kuntrii i ' Asya .,Aarmanya,Asya,Q399,Q48,P30,P31,False
Cape Verde esa ailen kuntrii i ' Afreka .,Cape Verde,Afreka,Q1011,Q15,P30,P30,True
Algeria esa kuntrii i ' Afreka .,Algeria,Afreka,Q262,Q15,P30,P1376,False
Paraguay esa inlan kuntrii i ' Sowth Merika .,Paraguay,Sowth Merika,Q733,Q18,P30,P31,False
Endora esa kuntrii i ' Urup .,Endora,Urup,Q228,Q46,P30,P131,False
