text,text_clean,text_ents
Matematiks () em i pasin bilong lainim na save long ol samting bilong ol namba.,Matematiks em i pasin bilong lainim na save long ol samting bilong ol namba,Matematiks em i pasin bilong lainim na save long ol samting bilong ol namba
Woso () (Tok Polin: Warszawa) emi kapitol na big taun bilong kantri [[Polan]].,Woso Tok Polin Warszawa emi kapitol na big taun bilong kantri Polan,Woso Tok Polin Warszawa emi kapitol na big taun bilong kantri Polan
Igat olsem 1 726 581 (2014) manmeri.,Igat olsem manmeri,Igat olsem manmeri
Plak bilong [[Andora]] i mak olsem ofisel plak bilong kantri long 27 Ogas 1971.,Plak bilong Andora i mak olsem ofisel plak bilong kantri long Ogas,Plak bilong Andora i mak olsem ofisel plak bilong kantri long Ogas
" emi wanpela taun long León provins, Castile na León, [[Spen]].",emi wanpela taun long León provins Castile na León Spen,emi wanpela taun long León provins Castile na León Spen
"Nesenel Kapitol Distrik o NCD () emi sipesol distrik, olsem wanpela provins, bilong kapitol bilong [[Papua Niugini]], [[Pot Mosbi]].",Nesenel Kapitol Distrik o NCD emi sipesol distrik olsem wanpela provins bilong kapitol bilong Papua Niugini Pot Mosbi,Nesenel Kapitol Distrik o NCD emi sipesol distrik olsem wanpela provins bilong kapitol bilong Papua_Niugini Pot Mosbi
Long yia,Long yia,Long yia
Haus kaikai i bisnis i redim na givim kaikai na dring long manmeri i baim samting.,Haus kaikai i bisnis i redim na givim kaikai na dring long manmeri i baim samting,Haus kaikai i bisnis i redim na givim kaikai na dring long manmeri i baim samting
Sampela haus kaikai i givim take-out na arapela sevis i givim kaikai long pipol.,Sampela haus kaikai i givim takeout na arapela sevis i givim kaikai long pipol,Sampela haus kaikai i givim takeout na arapela sevis i givim kaikai long pipol
Arakain haus kaikai i givim arakain kaikai.,Arakain haus kaikai i givim arakain kaikai,Arakain haus kaikai i givim arakain kaikai
"Sampela haus kaikai i salim fast food, na arapela haus kaikai i gat bikpela prais long kaikai na sevis.",Sampela haus kaikai i salim fast food na arapela haus kaikai i gat bikpela prais long kaikai na sevis,Sampela haus kaikai i salim fast food na arapela haus kaikai i gat bikpela prais long kaikai na sevis
" emi wanpela taun long Burgos provins, Castile na León, [[Spen]].",emi wanpela taun long Burgos provins Castile na León Spen,emi wanpela taun long Burgos provins Castile na León Spen
"Narra em i ""First Class Municipality"" i stap long [[Palawan]] provins, [[Filipin]].",Narra em i First Class Municipality i stap long Palawan provins Filipin,Narra em i First Class Municipality i stap long Palawan provins Filipin
"2010 census i rit, Narra i kisim 65,264 manmeri.",census i rit Narra i kisim manmeri,census i rit Narra i kisim manmeri
"Narapla long spelim nem blong Pterocarpus Indicus (Diwai blong kantri long Filipin), Em i spelim tu National Resttlement Administration.",Narapla long spelim nem blong Pterocarpus Indicus Diwai blong kantri long Filipin Em i spelim tu National Resttlement Administration,Narapla long spelim nem blong Pterocarpus Indicus Diwai blong kantri long Filipin Em i spelim tu National Resttlement Administration
"Progrem ya, i bin wokim long namba sikis mun, 18, 1954, we manmeri blong Luzon ailan husat i nogat graun i senisim ples blong en long ya.",Progrem ya i bin wokim long namba sikis mun we manmeri blong Luzon ailan husat i nogat graun i senisim ples blong en long ya,Progrem ya i bin wokim long namba sikis mun we manmeri blong Luzon ailan husat i nogat graun i senisim ples blong en long ya
"Long namba sikis mun, 21, 1969, Municiplaity of Narra i bin wokim long Presiden Ferdinand Marcos.",Long namba sikis mun Municiplaity of Narra i bin wokim long Presiden Ferdinand Marcos,Long namba sikis mun Municiplaity of Narra i bin wokim long Presiden Ferdinand Marcos
"[[Narra]] i kisim narapla nem ""Rice Granary of [[Palawan]]"" as [[Narra]] em i nambawan ples we rais i wokim long [[Palawan]] ailan.",Narra i kisim narapla nem Rice Granary of Palawan as Narra em i nambawan ples we rais i wokim long Palawan ailan,Narra i kisim narapla nem Rice Granary of Palawan as Narra em i nambawan ples we rais i wokim long Palawan ailan
"Municiplaity ya i gat ""Anihan/Palay "" singsing, i save kamap long namba ten mun.",Municiplaity ya i gat AnihanPalay singsing i save kamap long namba ten mun,Municiplaity ya i gat AnihanPalay singsing i save kamap long namba ten mun
"Rasa ailan i stap long Narra, we ""[[Katala]]/Abukay/Kalangay"" (Narra i gat planti tok ples) o Red Vented Cockatoo pisin i stap.",Rasa ailan i stap long Narra we KatalaAbukayKalangay Narra i gat planti tok ples o Red Vented Cockatoo pisin i stap,Rasa ailan i stap long Narra we KatalaAbukayKalangay Narra i gat planti tok ples o Red Vented Cockatoo pisin i stap
"Na tu i stap narapla abus, binatang o pisin.",Na tu i stap narapla abus binatang o pisin,Na tu i stap narapla abus binatang o pisin
[[Barangay]] (Ol hap blong Narra).,Barangay Ol hap blong Narra,Barangay Ol hap blong Narra
Narra i gat 23 [[Barangay]] (liklik hap),Narra i gat Barangay liklik hap,Narra i gat Barangay liklik hap
Sol () emi [[kapitol]] na nambawan siti bilong Saut Korea.,Sol emi kapitol na nambawan siti bilong Saut Korea,Sol emi kapitol na nambawan siti bilong Saut Korea
Sol i bin kapitol bilong Korea istat long yia 1394.,Sol i bin kapitol bilong Korea istat long yia,Sol i bin kapitol bilong Korea istat long yia
