,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
5,A' Trien esa wieh a' raiil [[transport]].,A Trien esa wieh a raiil transport,7,5,47.2,1,5-1
4,Toloen esa citii i' [[Frans]].,Toloen esa citii i Frans,5,5,47.2,1,5-1
3,"Rushan (""русский язык"") esa em [[laenghwij]] i' [[Rusha]].",Rushan esa em laenghwij i Rusha,6,5,47.2,1,5-1
2,"Krestcherch ([[Inglish]]: ""Christchurch"", [[Maaori]]: ""Otautahi"") (ulla Kristcherch) es a citii i' [[Nyuu Ziilan]].",Krestcherch es a citii i Nyuu_Ziilan,6,5,47.2,1,5-1
1,T' Repablik a' (also spelt Belau) esa ailen kuntrii i' [[Pesifik Oshen]].,T Repablik a esa ailen kuntrii i Pesifik_Oshen,8,5,47.2,0,5-0
0,Uro (€; EUR) esa kurencii i' [[Urup]].,Uro esa kurencii i Urup,5,5,47.2,1,5-1
7,Barbados es a' letl ailen kuntrii en [[Sentril Merika]].,Barbados es a letl ailen kuntrii en Sentril_Merika,8,19,46.455882352941174,2,19-2
14," esa kuntrii i' t’ [[Medl Eist]], i' [[Asya]].",esa kuntrii i t ’ Medl_Eist i Asya,8,19,46.455882352941174,3,19-3
13,T' kapitel citii es [[Tirana]].,T kapitel citii es Tirana,5,19,46.455882352941174,4,19-4
12, esa repablik i' sentril [[Afreka]].,esa repablik i sentril Afreka,5,19,46.455882352941174,3,19-3
11,A' haus es a' part o' [[aarkitekchur]].,A haus es a part o aarkitekchur,7,19,46.455882352941174,4,19-4
10,Dem esa [[ailen]] kuntrii i' [[Asya]].,Dem esa ailen kuntrii i Asya,6,19,46.455882352941174,3,19-3
9,Griese esa kuntrii i' [[Urup]].,Griese esa kuntrii i Urup,5,19,46.455882352941174,3,19-3
8,Bresel esa kuntrii i' [[Sowth Merika]].,Bresel esa kuntrii i Sowth_Merika,5,19,46.455882352941174,3,19-3
4,"Alexandre Borges Corrêa ([[Febyuweri]] 23, 1966) es wun Breselyan akter.",Alexandre Borges Corrêa es wun Breselyan akter,7,19,46.455882352941174,1,19-1
6,T' kapitel citii es [[Brussels]].,T kapitel citii es Brussels,5,19,46.455882352941174,4,19-4
5,Brisbin esa citii i' [[Ostrielya]].,Brisbin esa citii i Ostrielya,5,19,46.455882352941174,4,19-4
15,S' es mein spoeken b' [[Jua]]s an' [[Esrail]]ies.,S es mein spoeken b Juas an Esrailies,8,19,46.455882352941174,4,19-4
3,Panama (ofishali Repablik a' Panama) esa kuntrii i' [[Sentril Merika]].,Panama esa kuntrii i Sentril_Merika,5,19,46.455882352941174,3,19-3
2,Korintuu esa toen i' [[Nicaragua]].,Korintuu esa toen i Nicaragua,5,19,46.455882352941174,3,19-3
1,Dem Faaro Ailen [[laenghwij]] esa [[Danish]] 'a [[Faaroyean]].,Dem Faaro Ailen laenghwij esa Danish a Faaroyean,8,19,46.455882352941174,0,19-0
0,T’ largest citii es [[Johannesburg]].,T ’ largest citii es Johannesburg,6,19,46.455882352941174,4,19-4
16,T' kapitel citii es [[Bogota]].,T kapitel citii es Bogota,5,19,46.455882352941174,4,19-4
1,"Freddie Mercury (Farrokh Bulsara; Gujarati: ફરોખ બલ્સારા‌, Pharōkh Balsārā‌; Zanzibar, 5 Septemba 1946 - [[London]], 24 Nowemba 1991) esa singer, [[Ingland]].",Freddie Mercury esa singer Ingland,5,6,45.628571428571426,3,6-3
0,Kaliningrad Oblast esa suubjekt o' [[Rusha]].,Kaliningrad Oblast esa suubjekt o Rusha,6,6,45.628571428571426,3,6-3
9,T' ofisholi laenghwijes es Abkasiyan an [[Rushan]].,T ofisholi laenghwijes es Abkasiyan an Rushan,7,6,45.628571428571426,1,6-1
14,Naant ulla Naat esa citii i' [[Frans]].,Naant ulla Naat esa citii i Frans,7,6,45.628571428571426,3,6-3
13,Pirth esa citii i' [[Ostrielya]].,Pirth esa citii i Ostrielya,5,6,45.628571428571426,3,6-3
12,Tailan esa kuntrii i' [[Asya]].,Tailan esa kuntrii i Asya,5,6,45.628571428571426,2,6-2
11,Niijiirya esa kuntrii i' [[Afreka]].,Niijiirya esa kuntrii i Afreka,5,6,45.628571428571426,2,6-2
10,Luksemborg esa kuntrii i' [[Urup]].,Luksemborg esa kuntrii i Urup,5,6,45.628571428571426,2,6-2
8,Nicaragua esa kuntrii i' [[Sentril Merika]].,Nicaragua esa kuntrii i Sentril_Merika,5,6,45.628571428571426,2,6-2
7,"I' waas paat o' t' [[Yunitid Kingdum]], until 1997.",I waas paat o t Yunitid_Kingdum until,7,6,45.628571428571426,3,6-3
6,T' kapitel an laarjist citii es [[Caracas]].,T kapitel an laarjist citii es Caracas,7,6,45.628571428571426,3,6-3
5,Uruguay esa kuntrii i' [[Sowth Merika]].,Uruguay esa kuntrii i Sowth_Merika,5,6,45.628571428571426,2,6-2
4,"Et bordas [[Angola]], [[Sowth Afreka]], [[Botswana]] an [[Zambia]].",Et bordas Angola Sowth Afreka Botswana an Zambia,8,6,45.628571428571426,0,6-0
3,[[Erabek]] es t' ofishol laenghwij.,Erabek es t ofishol laenghwij,5,6,45.628571428571426,3,6-3
2,North Merika esa [[kontenent]].,North Merika esa kontenent,4,6,45.628571428571426,3,6-3
